"","date","CCIV"
"1","2020-09-18",9.89
"2","2020-09-21",9.86
"3","2020-09-22",9.88
"4","2020-09-23",9.85
"5","2020-09-24",9.77
"6","2020-09-25",9.81
"7","2020-09-28",9.83
"8","2020-09-29",9.78
"9","2020-09-30",9.78
"10","2020-10-01",9.76
"11","2020-10-02",9.74
"12","2020-10-05",9.71
"13","2020-10-06",9.68
"14","2020-10-07",9.71
"15","2020-10-08",9.717
"16","2020-10-09",9.75
"17","2020-10-12",9.73
"18","2020-10-13",9.7
"19","2020-10-14",9.68
"20","2020-10-15",9.68
"21","2020-10-16",9.68
"22","2020-10-19",9.68
"23","2020-10-20",9.67
"24","2020-10-21",9.66
"25","2020-10-22",9.65
"26","2020-10-23",9.63
"27","2020-10-26",9.65
"28","2020-10-27",9.65
"29","2020-10-28",9.65
"30","2020-10-29",9.65
"31","2020-10-30",9.63
"32","2020-11-02",9.63
"33","2020-11-03",9.69
"34","2020-11-04",9.69
"35","2020-11-05",9.77
"36","2020-11-06",9.72
"37","2020-11-09",9.67
"38","2020-11-10",9.7
"39","2020-11-11",9.68
"40","2020-11-12",9.7
"41","2020-11-13",9.69
"42","2020-11-16",9.7
"43","2020-11-17",9.71
"44","2020-11-18",9.74
"45","2020-11-19",9.72
"46","2020-11-20",9.71
"47","2020-11-23",9.75
"48","2020-11-24",9.76
"49","2020-11-25",9.76
"50","2020-11-27",9.83
