"","date","PRPL"
"1","2015-10-29",9.5
"2","2015-10-30",9.45
"3","2015-11-02",9.45
"4","2015-11-03",9.45
"5","2015-11-04",9.45
"6","2015-11-05",9.45
"7","2015-11-06",9.45
"8","2015-11-09",9.45
"9","2015-11-10",9.45
"10","2015-11-11",9.45
"11","2015-11-12",9.45
"12","2015-11-13",9.45
"13","2015-11-16",9.45
"14","2015-11-17",9.75
"15","2015-11-18",9.75
"16","2015-11-19",9.75
"17","2015-11-20",9.75
"18","2015-11-23",9.75
"19","2015-11-24",9.75
"20","2015-11-25",9.75
"21","2015-11-27",9.75
"22","2015-11-30",9.82
"23","2015-12-01",9.82
"24","2015-12-02",9.82
"25","2015-12-03",9.82
"26","2015-12-04",9.82
"27","2015-12-07",9.82
"28","2015-12-08",9.82
"29","2015-12-09",9.82
"30","2015-12-10",9.82
"31","2015-12-11",9.82
"32","2015-12-14",9.82
"33","2015-12-15",9.6
"34","2015-12-16",9.6
"35","2015-12-17",9.6
"36","2015-12-18",9.74
"37","2015-12-21",9.78
"38","2015-12-22",9.84
"39","2015-12-23",9.54
"40","2015-12-24",9.54
"41","2015-12-28",9.54
"42","2015-12-29",9.54
"43","2015-12-30",9.54
"44","2015-12-31",9.9
"45","2016-01-04",9.66
"46","2016-01-05",9.66
"47","2016-01-06",9.66
"48","2016-01-07",9.66
"49","2016-01-08",9.66
"50","2016-01-11",9.66
"51","2016-01-12",9.66
"52","2016-01-13",9.66
"53","2016-01-14",9.56
"54","2016-01-15",9.56
"55","2016-01-19",9.56
"56","2016-01-20",9.56
"57","2016-01-21",9.56
"58","2016-01-22",9.71
"59","2016-01-25",10
"60","2016-01-26",10
"61","2016-01-27",10
"62","2016-01-28",9.82
"63","2016-01-29",9.82
"64","2016-02-01",9.82
"65","2016-02-02",9.82
"66","2016-02-03",9.82
"67","2016-02-04",9.82
"68","2016-02-05",9.82
"69","2016-02-08",9.82
"70","2016-02-09",9.82
"71","2016-02-10",9.82
"72","2016-02-11",9.82
"73","2016-02-12",9.82
"74","2016-02-16",9.82
"75","2016-02-17",9.82
"76","2016-02-18",9.82
"77","2016-02-19",9.82
"78","2016-02-22",9.82
"79","2016-02-23",9.82
"80","2016-02-24",9.82
"81","2016-02-25",9.82
"82","2016-02-26",9.82
"83","2016-02-29",9.82
"84","2016-03-01",9.82
"85","2016-03-02",9.82
"86","2016-03-03",9.82
"87","2016-03-04",9.82
"88","2016-03-07",10
"89","2016-03-08",9.62
"90","2016-03-09",9.82
"91","2016-03-10",9.82
"92","2016-03-11",9.82
"93","2016-03-14",9.82
"94","2016-03-15",9.82
"95","2016-03-16",9.82
"96","2016-03-17",9.82
"97","2016-03-18",9.82
"98","2016-03-21",9.82
"99","2016-03-22",9.82
"100","2016-03-23",9.82
"101","2016-03-24",9.82
"102","2016-03-28",9.82
"103","2016-03-29",9.82
"104","2016-03-30",9.82
"105","2016-03-31",9.82
"106","2016-04-01",9.68
"107","2016-04-04",9.85
"108","2016-04-05",9.85
"109","2016-04-06",9.85
"110","2016-04-07",9.85
"111","2016-04-08",9.65
"112","2016-04-11",9.65
"113","2016-04-12",9.65
"114","2016-04-13",9.68
"115","2016-04-14",9.77
"116","2016-04-15",9.58
"117","2016-04-18",9.51
"118","2016-04-19",9.51
"119","2016-04-20",9.6
"120","2016-04-21",9.6
"121","2016-04-22",9.6
"122","2016-04-25",9.85
"123","2016-04-26",9.85
"124","2016-04-27",9.85
"125","2016-04-28",9.6
"126","2016-04-29",9.84
"127","2016-05-02",9.84
"128","2016-05-03",9.84
"129","2016-05-04",9.84
"130","2016-05-05",9.86
"131","2016-05-06",9.86
"132","2016-05-09",9.86
"133","2016-05-10",9.61
"134","2016-05-11",9.63
"135","2016-05-12",9.63
"136","2016-05-13",9.705
"137","2016-05-16",9.541
"138","2016-05-17",9.67
"139","2016-05-18",9.67
"140","2016-05-19",9.67
"141","2016-05-20",9.67
"142","2016-05-23",9.67
"143","2016-05-24",9.8
"144","2016-05-25",9.8
"145","2016-05-26",9.8
"146","2016-05-27",9.8
"147","2016-05-31",9.8
"148","2016-06-01",9.8
"149","2016-06-02",9.8
"150","2016-06-03",9.8
"151","2016-06-06",9.8
"152","2016-06-07",9.8
"153","2016-06-08",9.8
"154","2016-06-09",9.8
"155","2016-06-10",9.8
"156","2016-06-13",9.8
"157","2016-06-14",9.8
"158","2016-06-15",9.8
"159","2016-06-16",9.8
"160","2016-06-17",9.8
"161","2016-06-20",9.8
"162","2016-06-21",9.8
"163","2016-06-22",9.8
"164","2016-06-23",9.8
"165","2016-06-24",9.8
"166","2016-06-27",9.8
"167","2016-06-28",9.8
"168","2016-06-29",9.8
"169","2016-06-30",9.8
"170","2016-07-01",9.8
"171","2016-07-05",9.8
"172","2016-07-06",9.8
"173","2016-07-07",9.8
"174","2016-07-08",9.8
"175","2016-07-11",9.8
"176","2016-07-12",9.8
"177","2016-07-13",9.8
"178","2016-07-14",9.8
"179","2016-07-15",9.8
"180","2016-07-18",9.74
"181","2016-07-19",9.65
"182","2016-07-20",9.65
"183","2016-07-21",9.65
"184","2016-07-22",9.65
"185","2016-07-25",9.8
"186","2016-07-26",9.8
