"","date","MOTS"
"1","2018-02-14",4.38
"2","2018-02-15",4.3
"3","2018-02-16",4
"4","2018-02-20",4.11
"5","2018-02-21",4.25
"6","2018-02-22",4.48
"7","2018-02-23",4.53
"8","2018-02-26",4.756
"9","2018-02-27",5
"10","2018-02-28",5
"11","2018-03-01",4.95
"12","2018-03-02",4.83
"13","2018-03-05",4.85
"14","2018-03-06",4.89
"15","2018-03-07",5
"16","2018-03-08",4.94
"17","2018-03-09",4.98
"18","2018-03-12",4.81
"19","2018-03-13",4.79
"20","2018-03-14",4.84
"21","2018-03-15",4.78
"22","2018-03-16",4.75
"23","2018-03-19",4.85
"24","2018-03-20",4.925
"25","2018-03-21",4.83
"26","2018-03-22",4.84
"27","2018-03-23",4.626
"28","2018-03-26",4.67
"29","2018-03-27",4.58
"30","2018-03-28",4.41
"31","2018-03-29",4.48
"32","2018-04-02",4.57
"33","2018-04-03",4.45
"34","2018-04-04",4.485
"35","2018-04-05",4.507
"36","2018-04-06",4.45
"37","2018-04-09",4.5
"38","2018-04-10",4.53
"39","2018-04-11",4.501
"40","2018-04-12",4.5
"41","2018-04-13",4.5
"42","2018-04-16",4.565
"43","2018-04-17",4.3
"44","2018-04-18",4.526
"45","2018-04-19",4.3
"46","2018-04-20",4.35
"47","2018-04-23",4.339
"48","2018-04-24",4.28
"49","2018-04-25",4.26
"50","2018-04-26",4.276
"51","2018-04-27",4.265
"52","2018-04-30",4.36
"53","2018-05-01",4.32
"54","2018-05-02",4.31
"55","2018-05-03",4.35
"56","2018-05-04",4.447
"57","2018-05-07",4.36
"58","2018-05-08",4.456
"59","2018-05-09",4.599
"60","2018-05-10",4.333
"61","2018-05-11",4.48
"62","2018-05-14",4.51
"63","2018-05-15",4.65
"64","2018-05-16",5
"65","2018-05-17",5.19
"66","2018-05-18",5.34
"67","2018-05-21",4.98
"68","2018-05-22",4.73
"69","2018-05-23",4.648
"70","2018-05-24",4.55
"71","2018-05-25",4.7
"72","2018-05-29",4.61
"73","2018-05-30",5.39
"74","2018-05-31",5.47
"75","2018-06-01",5.88
"76","2018-06-04",6.2
"77","2018-06-05",6.64
"78","2018-06-06",6.47
"79","2018-06-07",6.22
"80","2018-06-08",6.11
"81","2018-06-11",6.17
"82","2018-06-12",6.13
"83","2018-06-13",5.92
"84","2018-06-14",5.86
"85","2018-06-15",5.95
"86","2018-06-18",6.15
"87","2018-06-19",6.07
"88","2018-06-20",6.15
"89","2018-06-21",6.35
"90","2018-06-22",6.71
"91","2018-06-25",7.25
"92","2018-06-26",7.14
"93","2018-06-27",7.12
"94","2018-06-28",7.27
"95","2018-06-29",7.19
"96","2018-07-02",7.39
"97","2018-07-03",7.43
"98","2018-07-05",8.52
"99","2018-07-06",9.69
"100","2018-07-09",9.5
"101","2018-07-10",8.36
"102","2018-07-11",8.26
"103","2018-07-12",7.99
"104","2018-07-13",8.21
"105","2018-07-16",7.19
"106","2018-07-17",7.65
"107","2018-07-18",7.42
"108","2018-07-19",7.59
"109","2018-07-20",7.47
"110","2018-07-23",7.72
"111","2018-07-24",7.62
"112","2018-07-25",7.61
"113","2018-07-26",7.56
"114","2018-07-27",7.41
"115","2018-07-30",7.03
"116","2018-07-31",6.75
"117","2018-08-01",6.61
"118","2018-08-02",6.5
"119","2018-08-03",6.17
"120","2018-08-06",6.3
"121","2018-08-07",5.3
"122","2018-08-08",5.6
"123","2018-08-09",5.75
"124","2018-08-10",5.99
"125","2018-08-13",5.68
"126","2018-08-14",5.41
"127","2018-08-15",5.398
"128","2018-08-16",5.41
"129","2018-08-17",5.46
"130","2018-08-20",5.44
"131","2018-08-21",5.3
"132","2018-08-22",4.99
"133","2018-08-23",4.89
"134","2018-08-24",4.88
"135","2018-08-27",4.7
"136","2018-08-28",5
"137","2018-08-29",5.26
"138","2018-08-30",5.8
"139","2018-08-31",6.4
"140","2018-09-04",6.83
"141","2018-09-05",6.75
"142","2018-09-06",6.11
"143","2018-09-07",5.89
"144","2018-09-10",5.43
"145","2018-09-11",5.77
"146","2018-09-12",5.57
"147","2018-09-13",5.85
"148","2018-09-14",5.53
"149","2018-09-17",5.4
"150","2018-09-18",5.32
"151","2018-09-19",5.3
"152","2018-09-20",5.235
"153","2018-09-21",5.29
"154","2018-09-24",5.2
"155","2018-09-25",5.18
"156","2018-09-26",5.08
"157","2018-09-27",5.09
"158","2018-09-28",5.1
"159","2018-10-01",4.91
"160","2018-10-02",4.96
"161","2018-10-03",4.82
"162","2018-10-04",4.79
"163","2018-10-05",4.75
"164","2018-10-08",4.7
"165","2018-10-09",4.64
"166","2018-10-10",4.5
"167","2018-10-11",4.46
"168","2018-10-12",4.45
"169","2018-10-15",4.35
"170","2018-10-16",4.26
"171","2018-10-17",4.15
"172","2018-10-18",4.372
"173","2018-10-19",4.44
"174","2018-10-22",4.41
"175","2018-10-23",4.405
"176","2018-10-24",4.27
"177","2018-10-25",4.18
"178","2018-10-26",4.07
"179","2018-10-29",4
"180","2018-10-30",3.88
"181","2018-10-31",3.99
"182","2018-11-01",3.88
"183","2018-11-02",3.86
"184","2018-11-05",3.92
"185","2018-11-06",3.99
"186","2018-11-07",3.83
"187","2018-11-08",3.781
"188","2018-11-09",3.65
"189","2018-11-12",3.422
"190","2018-11-13",3.42
"191","2018-11-14",3.38
"192","2018-11-15",3.39
"193","2018-11-16",3.39
"194","2018-11-19",3.3
"195","2018-11-20",3.05
"196","2018-11-21",3.18
"197","2018-11-23",3.39
"198","2018-11-26",3.21
"199","2018-11-27",3.35
"200","2018-11-28",3.37
"201","2018-11-29",3.45
"202","2018-11-30",3.42
"203","2018-12-03",3.32
"204","2018-12-04",3.327
"205","2018-12-06",3.35
"206","2018-12-07",3.39
"207","2018-12-10",3.22
"208","2018-12-11",3.37
"209","2018-12-12",3.29
"210","2018-12-13",3.23
"211","2018-12-14",3.39
"212","2018-12-17",3.2
"213","2018-12-18",2.75
"214","2018-12-19",2.81
"215","2018-12-20",2.76
"216","2018-12-21",2.62
"217","2018-12-24",2.71
"218","2018-12-26",2.67
"219","2018-12-27",2.76
"220","2018-12-28",2.78
"221","2018-12-31",3.11
"222","2019-01-02",3.35
"223","2019-01-03",3.29
"224","2019-01-04",3.36
"225","2019-01-07",3.41
"226","2019-01-08",3.805
"227","2019-01-09",4.19
"228","2019-01-10",4.34
"229","2019-01-11",4.38
"230","2019-01-14",4.28
