"","date","EAT"
"1","2007-01-03",29.59
"2","2007-01-04",29.92
"3","2007-01-05",30.299999
"4","2007-01-08",29.74
"5","2007-01-09",29.809999
"6","2007-01-10",30.07
"7","2007-01-11",30.559999
"8","2007-01-12",31.299999
"9","2007-01-16",30.84
"10","2007-01-17",30.98
"11","2007-01-18",30.58
"12","2007-01-19",30.360001
"13","2007-01-22",30.549999
"14","2007-01-23",30.83
"15","2007-01-24",31.99
"16","2007-01-25",31.129999
"17","2007-01-26",31.190001
"18","2007-01-29",31.24
"19","2007-01-30",31.33
"20","2007-01-31",31.549999
"21","2007-02-01",32.169998
"22","2007-02-02",32.169998
"23","2007-02-05",32.68
"24","2007-02-06",33.09
"25","2007-02-07",32.830002
"26","2007-02-08",33.779999
"27","2007-02-09",33.34
"28","2007-02-12",33.119999
"29","2007-02-13",35.189999
"30","2007-02-14",35.189999
"31","2007-02-15",34.950001
"32","2007-02-16",35.279999
"33","2007-02-20",35.5
"34","2007-02-21",35.209999
"35","2007-02-22",34.959999
"36","2007-02-23",35.240002
"37","2007-02-26",35.169998
"38","2007-02-27",34.060001
"39","2007-02-28",33.970001
"40","2007-03-01",33.799999
"41","2007-03-02",32.990002
"42","2007-03-05",32.029999
"43","2007-03-06",32.5
"44","2007-03-07",32.880001
"45","2007-03-08",32.259998
"46","2007-03-09",32.75
"47","2007-03-12",33.25
"48","2007-03-13",32.02
"49","2007-03-14",32
"50","2007-03-15",32.07
"51","2007-03-16",31.76
"52","2007-03-19",31.809999
"53","2007-03-20",32.310001
"54","2007-03-21",32.540001
"55","2007-03-22",32.810001
"56","2007-03-23",33.040001
"57","2007-03-26",32.669998
"58","2007-03-27",32.610001
"59","2007-03-28",32.490002
"60","2007-03-29",32.32
"61","2007-03-30",32.700001
"62","2007-04-02",32.48
"63","2007-04-03",33.130001
"64","2007-04-04",33.150002
"65","2007-04-05",33.279999
"66","2007-04-09",33.389999
"67","2007-04-10",33.360001
"68","2007-04-11",33.099998
"69","2007-04-12",32.849998
"70","2007-04-13",32.98
"71","2007-04-16",33.490002
"72","2007-04-17",33.599998
"73","2007-04-18",33.189999
"74","2007-04-19",32.849998
"75","2007-04-20",33.23
"76","2007-04-23",32.68
"77","2007-04-24",31.74
"78","2007-04-25",31
"79","2007-04-26",31.65
"80","2007-04-27",31.77
"81","2007-04-30",31.1
"82","2007-05-01",31.51
"83","2007-05-02",32.18
"84","2007-05-03",32.099998
"85","2007-05-04",32.419998
"86","2007-05-07",33.150002
"87","2007-05-08",33.450001
"88","2007-05-09",33.43
"89","2007-05-10",33.009998
"90","2007-05-11",33.419998
"91","2007-05-14",33.400002
"92","2007-05-15",33.189999
"93","2007-05-16",33.220001
"94","2007-05-17",32.580002
"95","2007-05-18",33.639999
"96","2007-05-21",34.16
"97","2007-05-22",33.5
"98","2007-05-23",32.799999
"99","2007-05-24",32.119999
"100","2007-05-25",32.439999
"101","2007-05-29",32.220001
"102","2007-05-30",32.029999
"103","2007-05-31",31.959999
"104","2007-06-01",33.290001
"105","2007-06-04",33.220001
"106","2007-06-05",33.040001
"107","2007-06-06",32.34
"108","2007-06-07",31.450001
"109","2007-06-08",32.200001
"110","2007-06-11",31.34
"111","2007-06-12",30.66
"112","2007-06-13",30.860001
"113","2007-06-14",30.49
"114","2007-06-15",30.530001
"115","2007-06-18",30.559999
"116","2007-06-19",30.27
"117","2007-06-20",29.709999
"118","2007-06-21",29.440001
"119","2007-06-22",28.82
"120","2007-06-25",28.860001
"121","2007-06-26",29.01
"122","2007-06-27",29.290001
"123","2007-06-28",29.09
"124","2007-06-29",29.27
"125","2007-07-02",29.370001
"126","2007-07-03",29.790001
"127","2007-07-05",29.84
"128","2007-07-06",30.01
"129","2007-07-09",28.700001
"130","2007-07-10",28.52
"131","2007-07-11",28.15
"132","2007-07-12",28.43
"133","2007-07-13",28.41
"134","2007-07-16",27.950001
"135","2007-07-17",27.700001
"136","2007-07-18",27.17
"137","2007-07-19",27.07
"138","2007-07-20",27.24
"139","2007-07-23",27.629999
"140","2007-07-24",27.26
"141","2007-07-25",27
"142","2007-07-26",26.42
"143","2007-07-27",26.98
"144","2007-07-30",27.52
"145","2007-07-31",26.940001
"146","2007-08-01",27.139999
"147","2007-08-02",27.08
"148","2007-08-03",26.309999
"149","2007-08-06",26.6
"150","2007-08-07",27.75
"151","2007-08-08",26.309999
"152","2007-08-09",26.209999
"153","2007-08-10",27.16
"154","2007-08-13",28.98
"155","2007-08-14",28.780001
"156","2007-08-15",28.129999
"157","2007-08-16",27.629999
"158","2007-08-17",27.799999
"159","2007-08-20",27.75
"160","2007-08-21",27.889999
"161","2007-08-22",29.469999
"162","2007-08-23",29.389999
"163","2007-08-24",30.139999
"164","2007-08-27",29.6
"165","2007-08-28",28.76
"166","2007-08-29",28.65
"167","2007-08-30",28.299999
"168","2007-08-31",28.84
"169","2007-09-04",29.5
"170","2007-09-05",29.129999
"171","2007-09-06",29.33
"172","2007-09-07",28.719999
"173","2007-09-10",28.68
"174","2007-09-11",28.530001
"175","2007-09-12",27.469999
"176","2007-09-13",27.52
"177","2007-09-14",27.709999
"178","2007-09-17",27.27
"179","2007-09-18",27.969999
"180","2007-09-19",28.52
"181","2007-09-20",28.59
"182","2007-09-21",28.799999
"183","2007-09-24",28.24
"184","2007-09-25",27.41
"185","2007-09-26",28.1
"186","2007-09-27",27.629999
"187","2007-09-28",27.440001
"188","2007-10-01",27.9
"189","2007-10-02",28.129999
