"","date","TNC"
"1","2007-01-03",28.57
"2","2007-01-04",29
"3","2007-01-05",27.84
"4","2007-01-08",28.639999
"5","2007-01-09",28.889999
"6","2007-01-10",28.559999
"7","2007-01-11",29.200001
"8","2007-01-12",29.610001
"9","2007-01-16",29.450001
"10","2007-01-17",29.82
"11","2007-01-18",28.879999
"12","2007-01-19",29.059999
"13","2007-01-22",29.469999
"14","2007-01-23",29.879999
"15","2007-01-24",29.85
"16","2007-01-25",29.4
"17","2007-01-26",30.639999
"18","2007-01-29",30.030001
"19","2007-01-30",30.9
"20","2007-01-31",30.92
"21","2007-02-01",31.809999
"22","2007-02-02",31.639999
"23","2007-02-05",31.309999
"24","2007-02-06",31.450001
"25","2007-02-07",32.060001
"26","2007-02-08",32.049999
"27","2007-02-09",30.24
"28","2007-02-12",30.98
"29","2007-02-13",31.33
"30","2007-02-14",31.67
"31","2007-02-15",31.27
"32","2007-02-16",31
"33","2007-02-20",31.58
"34","2007-02-21",31.309999
"35","2007-02-22",31.16
"36","2007-02-23",30.860001
"37","2007-02-26",32.349998
"38","2007-02-27",31.25
"39","2007-02-28",30.780001
"40","2007-03-01",30.299999
"41","2007-03-02",30.440001
"42","2007-03-05",29.93
"43","2007-03-06",31.25
"44","2007-03-07",31.17
"45","2007-03-08",31.68
"46","2007-03-09",31.82
"47","2007-03-12",32.080002
"48","2007-03-13",31.66
"49","2007-03-14",31.690001
"50","2007-03-15",32.119999
"51","2007-03-16",32.07
"52","2007-03-19",32.82
"53","2007-03-20",32.220001
"54","2007-03-21",32.509998
"55","2007-03-22",31.67
"56","2007-03-23",32.349998
"57","2007-03-26",32.009998
"58","2007-03-27",31.389999
"59","2007-03-28",31.35
"60","2007-03-29",30.91
"61","2007-03-30",31.49
"62","2007-04-02",31.940001
"63","2007-04-03",31.799999
"64","2007-04-04",33.009998
"65","2007-04-05",32.959999
"66","2007-04-09",32.580002
"67","2007-04-10",33.099998
"68","2007-04-11",32.150002
"69","2007-04-12",32.540001
"70","2007-04-13",32.77
"71","2007-04-16",33.650002
"72","2007-04-17",33.189999
"73","2007-04-18",32.580002
"74","2007-04-19",32.549999
"75","2007-04-20",33.970001
"76","2007-04-23",33.330002
"77","2007-04-24",33.060001
"78","2007-04-25",33.599998
"79","2007-04-26",32.919998
"80","2007-04-27",32.279999
"81","2007-04-30",32.02
"82","2007-05-01",31.469999
"83","2007-05-02",31.74
"84","2007-05-03",32.169998
"85","2007-05-04",32.130001
"86","2007-05-07",31.780001
"87","2007-05-08",31.700001
"88","2007-05-09",32.25
"89","2007-05-10",31.620001
"90","2007-05-11",32.34
"91","2007-05-14",31.92
"92","2007-05-15",31.860001
"93","2007-05-16",31.57
"94","2007-05-17",31.16
"95","2007-05-18",31.190001
"96","2007-05-21",31.700001
"97","2007-05-22",32.349998
"98","2007-05-23",32.139999
"99","2007-05-24",31.879999
"100","2007-05-25",31.84
"101","2007-05-29",32.139999
"102","2007-05-30",32.330002
"103","2007-05-31",32.52
"104","2007-06-01",32.720001
"105","2007-06-04",33.09
"106","2007-06-05",32.84
"107","2007-06-06",32.900002
"108","2007-06-07",32.900002
"109","2007-06-08",36.169998
"110","2007-06-11",36.25
"111","2007-06-12",35.299999
"112","2007-06-13",35.75
"113","2007-06-14",35.860001
"114","2007-06-15",36.490002
"115","2007-06-18",36.59
"116","2007-06-19",36.740002
"117","2007-06-20",36.43
"118","2007-06-21",37.209999
"119","2007-06-22",36.91
"120","2007-06-25",36.439999
"121","2007-06-26",36.709999
"122","2007-06-27",37.139999
"123","2007-06-28",37.310001
"124","2007-06-29",36.5
"125","2007-07-02",37.34
"126","2007-07-03",36.970001
"127","2007-07-05",37.029999
"128","2007-07-06",36.939999
"129","2007-07-09",36.970001
"130","2007-07-10",36.650002
"131","2007-07-11",37.060001
"132","2007-07-12",37.75
"133","2007-07-13",37.290001
"134","2007-07-16",37.720001
"135","2007-07-17",37.799999
