"","date","DOC"
"1","2013-07-19",11.5
"2","2013-07-22",11.62
"3","2013-07-23",11.75
"4","2013-07-24",11.65
"5","2013-07-25",11.64
"6","2013-07-26",11.5
"7","2013-07-29",11.58
"8","2013-07-30",11.53
"9","2013-07-31",11.5
"10","2013-08-01",11.6
"11","2013-08-02",11.55
"12","2013-08-05",11.63
"13","2013-08-06",11.6
"14","2013-08-07",11.45
"15","2013-08-08",11.6
"16","2013-08-09",11.56
"17","2013-08-12",11.62
"18","2013-08-13",11.67
"19","2013-08-14",11.73
"20","2013-08-15",11.79
"21","2013-08-16",11.49
"22","2013-08-19",11.46
"23","2013-08-20",11.5
"24","2013-08-21",11.56
"25","2013-08-22",11.51
"26","2013-08-23",11.47
"27","2013-08-26",11.36
"28","2013-08-27",11.43
"29","2013-08-28",11.5
"30","2013-08-29",11.22
"31","2013-08-30",11.26
"32","2013-09-03",11.51
"33","2013-09-04",11.64
"34","2013-09-05",11.54
"35","2013-09-06",11.49
"36","2013-09-09",11.67
"37","2013-09-10",11.69
"38","2013-09-11",11.66
"39","2013-09-12",11.67
"40","2013-09-13",11.85
"41","2013-09-16",11.94
"42","2013-09-17",12.22
"43","2013-09-18",12.22
"44","2013-09-19",12.27
"45","2013-09-20",11.98
"46","2013-09-23",12.02
"47","2013-09-24",11.99
"48","2013-09-25",12.07
"49","2013-09-26",12.1
"50","2013-09-27",12.07
"51","2013-09-30",12.12
"52","2013-10-01",12.38
"53","2013-10-02",12.64
"54","2013-10-03",12.41
"55","2013-10-04",12.49
"56","2013-10-07",12.49
"57","2013-10-08",12.31
"58","2013-10-09",12.48
"59","2013-10-10",12.76
"60","2013-10-11",12.76
"61","2013-10-14",12.85
"62","2013-10-15",12.88
"63","2013-10-16",12.81
"64","2013-10-17",12.87
"65","2013-10-18",12.8
"66","2013-10-21",12.8
"67","2013-10-22",12.8
"68","2013-10-23",12.8
"69","2013-10-24",12.76
"70","2013-10-25",12.82
"71","2013-10-28",12.77
"72","2013-10-29",12.8
"73","2013-10-30",12.56
"74","2013-10-31",12.56
"75","2013-11-01",12.45
"76","2013-11-04",12.78
"77","2013-11-05",12.71
"78","2013-11-06",12.59
"79","2013-11-07",12.21
"80","2013-11-08",12.19
"81","2013-11-11",12.45
"82","2013-11-12",12.69
"83","2013-11-13",12.45
"84","2013-11-14",12.38
"85","2013-11-15",12.32
"86","2013-11-18",12.23
"87","2013-11-19",12.23
"88","2013-11-20",12.09
"89","2013-11-21",12.13
"90","2013-11-22",12.06
"91","2013-11-25",12.02
"92","2013-11-26",11.96
"93","2013-11-27",11.98
"94","2013-11-29",11.95
"95","2013-12-02",11.46
"96","2013-12-03",11.24
"97","2013-12-04",11.26
"98","2013-12-05",11.51
"99","2013-12-06",11.68
"100","2013-12-09",11.62
"101","2013-12-10",11.64
"102","2013-12-11",11.67
"103","2013-12-12",11.6
"104","2013-12-13",11.56
"105","2013-12-16",11.95
"106","2013-12-17",12
"107","2013-12-18",12.33
"108","2013-12-19",12.41
"109","2013-12-20",12.7
"110","2013-12-23",12.8
"111","2013-12-24",12.71
"112","2013-12-26",12.7
"113","2013-12-27",12.68
"114","2013-12-30",12.46
"115","2013-12-31",12.74
"116","2014-01-02",12.57
"117","2014-01-03",12.84
"118","2014-01-06",12.78
"119","2014-01-07",12.88
"120","2014-01-08",12.84
"121","2014-01-09",12.8
"122","2014-01-10",12.85
"123","2014-01-13",12.84
"124","2014-01-14",13
"125","2014-01-15",13.13
"126","2014-01-16",13.15
"127","2014-01-17",13
"128","2014-01-21",13.1
"129","2014-01-22",12.55
"130","2014-01-23",12.68
"131","2014-01-24",12.5
"132","2014-01-27",12.42
"133","2014-01-28",12.54
"134","2014-01-29",12.33
"135","2014-01-30",12.36
"136","2014-01-31",12.39
"137","2014-02-03",12.09
"138","2014-02-04",12.29
"139","2014-02-05",12.14
"140","2014-02-06",12.42
"141","2014-02-07",12.46
"142","2014-02-10",12.75
"143","2014-02-11",12.76
"144","2014-02-12",12.74
"145","2014-02-13",12.68
"146","2014-02-14",12.71
"147","2014-02-18",12.87
"148","2014-02-19",12.88
"149","2014-02-20",12.96
"150","2014-02-21",13.02
"151","2014-02-24",13.32
"152","2014-02-25",13.24
"153","2014-02-26",13.39
"154","2014-02-27",13.37
"155","2014-02-28",13.39
