"","date","CTIC"
"1","2007-01-03",21360
"2","2007-01-04",21480
"3","2007-01-05",20880
"4","2007-01-08",20880
"5","2007-01-09",20640
"6","2007-01-10",21480
"7","2007-01-11",21240
"8","2007-01-12",21360
"9","2007-01-16",21000
"10","2007-01-17",20640
"11","2007-01-18",20400
"12","2007-01-19",20760
"13","2007-01-22",20880
"14","2007-01-23",20880
"15","2007-01-24",21000
"16","2007-01-25",20760
"17","2007-01-26",20280
"18","2007-01-29",19800
"19","2007-01-30",20160
"20","2007-01-31",20160
"21","2007-02-01",19440
"22","2007-02-02",19200
"23","2007-02-05",18720
"24","2007-02-06",18960
"25","2007-02-07",19320
"26","2007-02-08",19560
"27","2007-02-09",18960
"28","2007-02-12",19200
"29","2007-02-13",19080
"30","2007-02-14",18960
"31","2007-02-15",18960
"32","2007-02-16",18960
"33","2007-02-20",18720
"34","2007-02-21",18360
"35","2007-02-22",18360
"36","2007-02-23",18600
"37","2007-02-26",18960
"38","2007-02-27",18600
"39","2007-02-28",18000
"40","2007-03-01",18240
"41","2007-03-02",17400
"42","2007-03-05",17160
"43","2007-03-06",17880
"44","2007-03-07",18120
"45","2007-03-08",18480
"46","2007-03-09",18360
"47","2007-03-12",18240
"48","2007-03-13",19440
"49","2007-03-14",20640
"50","2007-03-15",19920
"51","2007-03-16",19200
"52","2007-03-19",18960
"53","2007-03-20",19440
"54","2007-03-21",19440
"55","2007-03-22",19560
"56","2007-03-23",19680
"57","2007-03-26",19200
"58","2007-03-27",18840
"59","2007-03-28",19320
"60","2007-03-29",19080
"61","2007-03-30",19080
"62","2007-04-02",19320
"63","2007-04-03",19440
"64","2007-04-04",19320
"65","2007-04-05",20280
"66","2007-04-09",20400
"67","2007-04-10",19440
"68","2007-04-11",21960
"69","2007-04-12",17760
"70","2007-04-13",18480
"71","2007-04-16",17850
"72","2007-04-17",17520
"73","2007-04-18",17550
"74","2007-04-19",17160
"75","2007-04-20",16500
"76","2007-04-23",16590
"77","2007-04-24",16620
"78","2007-04-25",16650
"79","2007-04-26",16620
"80","2007-04-27",16890
"81","2007-04-30",16650
"82","2007-05-01",16530
"83","2007-05-02",16740
"84","2007-05-03",16380
"85","2007-05-04",16500
"86","2007-05-07",16710
"87","2007-05-08",16290
"88","2007-05-09",16290
"89","2007-05-10",16080
"90","2007-05-11",16260
"91","2007-05-14",16500
"92","2007-05-15",16050
"93","2007-05-16",15000
"94","2007-05-17",15780
"95","2007-05-18",15390
"96","2007-05-21",15180
"97","2007-05-22",15360
"98","2007-05-23",15390
"99","2007-05-24",15150
"100","2007-05-25",15120
"101","2007-05-29",15060
"102","2007-05-30",14520
"103","2007-05-31",14850
"104","2007-06-01",14040
"105","2007-06-04",12510
"106","2007-06-05",12690
"107","2007-06-06",12390
"108","2007-06-07",11460
"109","2007-06-08",10680
"110","2007-06-11",10680
"111","2007-06-12",10440
"112","2007-06-13",10170
"113","2007-06-14",10320
"114","2007-06-15",10620
"115","2007-06-18",10350
"116","2007-06-19",10230
"117","2007-06-20",9270
"118","2007-06-21",8790
"119","2007-06-22",9090
"120","2007-06-25",8910
"121","2007-06-26",9510
"122","2007-06-27",9390
"123","2007-06-28",9210
"124","2007-06-29",9150
"125","2007-07-02",9030
"126","2007-07-03",9060
"127","2007-07-05",10470
"128","2007-07-06",11160
"129","2007-07-09",12540
"130","2007-07-10",13080
"131","2007-07-11",13560
"132","2007-07-12",12630
"133","2007-07-13",12000
"134","2007-07-16",13770
"135","2007-07-17",14310
"136","2007-07-18",14220
"137","2007-07-19",14400
"138","2007-07-20",13890
"139","2007-07-23",13950
"140","2007-07-24",13500
"141","2007-07-25",13650
"142","2007-07-26",12030
"143","2007-07-27",11820
"144","2007-07-30",11640
"145","2007-07-31",12120
"146","2007-08-01",11850
"147","2007-08-02",11730
"148","2007-08-03",11250
"149","2007-08-06",11160
"150","2007-08-07",10680
"151","2007-08-08",10650
"152","2007-08-09",10740
"153","2007-08-10",10590
"154","2007-08-13",10350
"155","2007-08-14",10770
"156","2007-08-15",10410
"157","2007-08-16",10440
"158","2007-08-17",11250
"159","2007-08-20",11070
"160","2007-08-21",11190
"161","2007-08-22",11520
"162","2007-08-23",11610
"163","2007-08-24",11670
"164","2007-08-27",11610
"165","2007-08-28",11700
"166","2007-08-29",11700
"167","2007-08-30",11490
"168","2007-08-31",11460
"169","2007-09-04",11490
"170","2007-09-05",11130
"171","2007-09-06",11700
"172","2007-09-07",11580
"173","2007-09-10",10890
"174","2007-09-11",11130
"175","2007-09-12",11880
"176","2007-09-13",11490
"177","2007-09-14",11760
"178","2007-09-17",11190
"179","2007-09-18",11370
"180","2007-09-19",11430
"181","2007-09-20",11220
"182","2007-09-21",11220
"183","2007-09-24",11490
"184","2007-09-25",11250
"185","2007-09-26",11130
"186","2007-09-27",11220
"187","2007-09-28",11010
"188","2007-10-01",10950
"189","2007-10-02",11040
"190","2007-10-03",11130
"191","2007-10-04",10920
"192","2007-10-05",11250
"193","2007-10-08",11220
"194","2007-10-09",11280
"195","2007-10-10",11490
"196","2007-10-11",11550
"197","2007-10-12",11550
"198","2007-10-15",11610
"199","2007-10-16",11220
"200","2007-10-17",11160
"201","2007-10-18",11130
"202","2007-10-19",10680
"203","2007-10-22",10560
"204","2007-10-23",10620
"205","2007-10-24",10950
"206","2007-10-25",10950
"207","2007-10-26",11100
"208","2007-10-29",10860
"209","2007-10-30",10860
"210","2007-10-31",10740
"211","2007-11-01",10470
"212","2007-11-02",10380
"213","2007-11-05",9510
"214","2007-11-06",9300
"215","2007-11-07",9180
"216","2007-11-08",8730
"217","2007-11-09",8850
"218","2007-11-12",9000
"219","2007-11-13",8700
"220","2007-11-14",8850
"221","2007-11-15",8790
"222","2007-11-16",8520
"223","2007-11-19",8130
"224","2007-11-20",7650
"225","2007-11-21",7140
"226","2007-11-23",7500
"227","2007-11-26",7950
"228","2007-11-27",8100
"229","2007-11-28",8100
"230","2007-11-29",7650
"231","2007-11-30",7770
"232","2007-12-03",7830
"233","2007-12-04",7710
"234","2007-12-05",7860
"235","2007-12-06",7740
"236","2007-12-07",7800
"237","2007-12-10",7050
"238","2007-12-11",7440
"239","2007-12-12",7530
"240","2007-12-13",6000
"241","2007-12-14",6060
"242","2007-12-17",5940
"243","2007-12-18",6540
"244","2007-12-19",6060
"245","2007-12-20",5670
"246","2007-12-21",5580
"247","2007-12-24",5580
"248","2007-12-26",5550
"249","2007-12-27",5670
"250","2007-12-28",5820
"251","2007-12-31",5640
"252","2008-01-02",5910
"253","2008-01-03",5670
"254","2008-01-04",5430
"255","2008-01-07",5370
"256","2008-01-08",5130
"257","2008-01-09",5070
"258","2008-01-10",4980
"259","2008-01-11",4890
"260","2008-01-14",5010
"261","2008-01-15",4590
"262","2008-01-16",4500
"263","2008-01-17",4560
"264","2008-01-18",4560
"265","2008-01-22",4500
"266","2008-01-23",4290
"267","2008-01-24",4410
"268","2008-01-25",4410
"269","2008-01-28",4470
"270","2008-01-29",4560
"271","2008-01-30",4320
"272","2008-01-31",4980
"273","2008-02-01",5160
"274","2008-02-04",4920
"275","2008-02-05",4770
"276","2008-02-06",4800
"277","2008-02-07",4800
"278","2008-02-08",4680
"279","2008-02-11",4740
"280","2008-02-12",4980
"281","2008-02-13",5010
"282","2008-02-14",4140
"283","2008-02-15",4260
"284","2008-02-19",4230
"285","2008-02-20",4260
"286","2008-02-21",4230
"287","2008-02-22",4200
"288","2008-02-25",4200
"289","2008-02-26",4140
"290","2008-02-27",4170
"291","2008-02-28",4080
"292","2008-02-29",3990
"293","2008-03-03",3870
"294","2008-03-04",2220
"295","2008-03-05",2550
"296","2008-03-06",2460
"297","2008-03-07",2190
"298","2008-03-10",2100
"299","2008-03-11",2070
"300","2008-03-12",1950
"301","2008-03-13",1890
"302","2008-03-14",1770
"303","2008-03-17",1680
"304","2008-03-18",1680
"305","2008-03-19",1440
"306","2008-03-20",1830
"307","2008-03-24",1920
"308","2008-03-25",2070
"309","2008-03-26",2040
"310","2008-03-27",2130
"311","2008-03-28",1980
"312","2008-03-31",1980
"313","2008-04-01",2010
"314","2008-04-02",2520
"315","2008-04-03",2580
"316","2008-04-04",2490
"317","2008-04-07",2520
"318","2008-04-08",2460
"319","2008-04-09",2550
"320","2008-04-10",2460
"321","2008-04-11",2340
"322","2008-04-14",2370
"323","2008-04-15",2340
"324","2008-04-16",2520
"325","2008-04-17",2400
"326","2008-04-18",2400
"327","2008-04-21",2550
"328","2008-04-22",2490
"329","2008-04-23",2520
"330","2008-04-24",2430
"331","2008-04-25",2400
"332","2008-04-28",2430
"333","2008-04-29",2370
"334","2008-04-30",2340
"335","2008-05-01",2160
"336","2008-05-02",2220
"337","2008-05-05",2160
"338","2008-05-06",2160
"339","2008-05-07",2160
"340","2008-05-08",2130
"341","2008-05-09",2010
"342","2008-05-12",1920
"343","2008-05-13",1830
"344","2008-05-14",1890
"345","2008-05-15",1920
"346","2008-05-16",1890
"347","2008-05-19",1860
"348","2008-05-20",1770
"349","2008-05-21",1800
"350","2008-05-22",1800
"351","2008-05-23",1920
"352","2008-05-27",1800
"353","2008-05-28",1860
"354","2008-05-29",1800
"355","2008-05-30",1770
"356","2008-06-02",1770
"357","2008-06-03",1770
"358","2008-06-04",1740
"359","2008-06-05",1740
"360","2008-06-06",1740
"361","2008-06-09",1740
"362","2008-06-10",1590
"363","2008-06-11",1530
"364","2008-06-12",1500
"365","2008-06-13",1530
"366","2008-06-16",1560
"367","2008-06-17",1560
"368","2008-06-18",1560
"369","2008-06-19",1530
"370","2008-06-20",1500
"371","2008-06-23",1440
"372","2008-06-24",1410
"373","2008-06-25",1440
"374","2008-06-26",1470
"375","2008-06-27",1440
"376","2008-06-30",1440
"377","2008-07-01",1440
"378","2008-07-02",1410
"379","2008-07-03",1410
"380","2008-07-07",1380
"381","2008-07-08",1410
"382","2008-07-09",1350
"383","2008-07-10",1350
"384","2008-07-11",1350
"385","2008-07-14",1290
"386","2008-07-15",1200
"387","2008-07-16",1110
"388","2008-07-17",1170
"389","2008-07-18",1140
"390","2008-07-21",1110
"391","2008-07-22",1110
"392","2008-07-23",1080
"393","2008-07-24",1080
"394","2008-07-25",1080
"395","2008-07-28",1080
