"","date","PHUN"
"1","2016-10-28",9.88
"2","2016-10-31",9.88
"3","2016-11-01",9.88
"4","2016-11-02",9.88
"5","2016-11-03",9.88
"6","2016-11-04",9.88
"7","2016-11-07",9.88
"8","2016-11-08",9.9
"9","2016-11-09",9.9
"10","2016-11-10",9.9
"11","2016-11-11",9.88
"12","2016-11-14",9.88
"13","2016-11-15",9.88
"14","2016-11-16",9.88
"15","2016-11-17",9.88
"16","2016-11-18",9.91
"17","2016-11-21",9.91
"18","2016-11-22",9.91
"19","2016-11-23",9.95
"20","2016-11-25",9.95
"21","2016-11-28",9.95
"22","2016-11-29",9.95
"23","2016-11-30",9.95
"24","2016-12-01",10
"25","2016-12-02",10
"26","2016-12-05",10
"27","2016-12-06",9.91
"28","2016-12-07",9.9
"29","2016-12-08",9.9
"30","2016-12-09",9.9
"31","2016-12-12",9.9
"32","2016-12-13",9.9
"33","2016-12-14",9.95
"34","2016-12-15",9.9
"35","2016-12-16",9.95
"36","2016-12-19",9.95
"37","2016-12-20",9.95
"38","2016-12-21",10
"39","2016-12-22",10
"40","2016-12-23",10
"41","2016-12-27",10
"42","2016-12-28",10
"43","2016-12-29",10
"44","2016-12-30",10
"45","2017-01-03",10
"46","2017-01-04",10
"47","2017-01-05",10.02
"48","2017-01-06",10.02
"49","2017-01-09",10.03
"50","2017-01-10",10.01
"51","2017-01-11",10.01
"52","2017-01-12",10.01
"53","2017-01-13",10.01
"54","2017-01-17",10.01
"55","2017-01-18",10.01
"56","2017-01-19",10.01
"57","2017-01-20",10.01
"58","2017-01-23",10.01
"59","2017-01-24",10.01
"60","2017-01-25",10.16
"61","2017-01-26",10.16
"62","2017-01-27",10.16
"63","2017-01-30",10.16
"64","2017-01-31",10.01
"65","2017-02-01",10.01
"66","2017-02-02",10.01
"67","2017-02-03",10.01
"68","2017-02-06",10.01
"69","2017-02-07",10.01
"70","2017-02-08",10.01
"71","2017-02-09",10.01
"72","2017-02-10",10.01
"73","2017-02-13",10.01
"74","2017-02-14",10.01
"75","2017-02-15",10.01
"76","2017-02-16",10.01
"77","2017-02-17",10.01
"78","2017-02-21",10.01
"79","2017-02-22",10.01
"80","2017-02-23",10
"81","2017-02-24",10
"82","2017-02-27",10
"83","2017-02-28",10
"84","2017-03-01",10
"85","2017-03-02",10
"86","2017-03-03",10
"87","2017-03-06",10
"88","2017-03-07",10
"89","2017-03-08",10.12
"90","2017-03-09",10.18
"91","2017-03-10",10.18
"92","2017-03-13",10.18
"93","2017-03-14",10.18
"94","2017-03-15",10.2
"95","2017-03-16",10.2
"96","2017-03-17",10.2
"97","2017-03-20",10.2
"98","2017-03-21",10.2
"99","2017-03-22",10.2
"100","2017-03-23",10.2
"101","2017-03-24",10.2
"102","2017-03-27",10.2
"103","2017-03-28",10.2
"104","2017-03-29",10.2
"105","2017-03-30",10.18
"106","2017-03-31",10.18
"107","2017-04-03",10.18
"108","2017-04-04",10.18
"109","2017-04-05",10.17
"110","2017-04-06",10.2
"111","2017-04-07",10.2
"112","2017-04-10",10.2
"113","2017-04-11",10.2
"114","2017-04-12",10.2
"115","2017-04-13",10.2
"116","2017-04-17",10.2
"117","2017-04-18",10.2
"118","2017-04-19",10.2
"119","2017-04-20",10.2
"120","2017-04-21",10.2
"121","2017-04-24",10.2
"122","2017-04-25",10.2
"123","2017-04-26",10.2
"124","2017-04-27",10.19
"125","2017-04-28",10.19
"126","2017-05-01",10.19
"127","2017-05-02",10.19
"128","2017-05-03",10.19
"129","2017-05-04",10.19
"130","2017-05-05",10.19
"131","2017-05-08",10.19
"132","2017-05-09",10.19
"133","2017-05-10",10.19
"134","2017-05-11",10.19
"135","2017-05-12",10.19
"136","2017-05-15",10.19
"137","2017-05-16",10.19
"138","2017-05-17",10.19
"139","2017-05-18",10.19
"140","2017-05-19",10.19
"141","2017-05-22",10.19
"142","2017-05-23",10.19
"143","2017-05-24",10
"144","2017-05-25",10.03
"145","2017-05-26",10.03
"146","2017-05-30",10.03
"147","2017-05-31",10.03
"148","2017-06-01",10.03
"149","2017-06-02",10.03
"150","2017-06-05",10.03
"151","2017-06-06",10.03
"152","2017-06-07",10.03
"153","2017-06-08",10.03
"154","2017-06-09",10.03
"155","2017-06-12",10.03
"156","2017-06-13",10.03
"157","2017-06-14",10.03
"158","2017-06-15",10.02
"159","2017-06-16",10.01
"160","2017-06-19",10
"161","2017-06-20",10.05
"162","2017-06-21",10.05
"163","2017-06-22",10.05
"164","2017-06-23",10.05
"165","2017-06-26",10
"166","2017-06-27",10.04
"167","2017-06-28",10.11
"168","2017-06-29",10.047
"169","2017-06-30",10.047
"170","2017-07-03",10.1
"171","2017-07-05",10.1
"172","2017-07-06",10.1
"173","2017-07-07",10.1
"174","2017-07-10",10.1
"175","2017-07-11",10
"176","2017-07-12",10.07
"177","2017-07-13",10.06
"178","2017-07-14",10.06
"179","2017-07-17",10.05
"180","2017-07-18",10.05
"181","2017-07-19",10.05
"182","2017-07-20",10.05
"183","2017-07-21",10.05
"184","2017-07-24",10
"185","2017-07-25",10
"186","2017-07-26",10
"187","2017-07-27",10
"188","2017-07-28",10
"189","2017-07-31",10.04
"190","2017-08-01",10.04
"191","2017-08-02",10
"192","2017-08-03",10.05
"193","2017-08-04",10.05
"194","2017-08-07",10.05
"195","2017-08-08",10.05
"196","2017-08-09",10.05
"197","2017-08-10",10.05
"198","2017-08-11",10.05
"199","2017-08-14",10.05
"200","2017-08-15",10.08
"201","2017-08-16",10.1
"202","2017-08-17",10.121
"203","2017-08-18",10.2
"204","2017-08-21",10.21
"205","2017-08-22",10.2
"206","2017-08-23",10.2
"207","2017-08-24",10.2
"208","2017-08-25",10.17
"209","2017-08-28",10.22
"210","2017-08-29",10.22
"211","2017-08-30",10.22
