"","date","SXI"
"1","2007-01-03",30.280001
"2","2007-01-04",30.959999
"3","2007-01-05",29.17
"4","2007-01-08",28.35
"5","2007-01-09",28.67
"6","2007-01-10",28.780001
"7","2007-01-11",29.24
"8","2007-01-12",29.24
"9","2007-01-16",29.18
"10","2007-01-17",29.02
"11","2007-01-18",28.639999
"12","2007-01-19",28.84
"13","2007-01-22",28.5
"14","2007-01-23",29.139999
"15","2007-01-24",29.559999
"16","2007-01-25",29.209999
"17","2007-01-26",29.41
"18","2007-01-29",29.030001
"19","2007-01-30",29.18
"20","2007-01-31",29.139999
"21","2007-02-01",29.030001
"22","2007-02-02",29.35
"23","2007-02-05",28.879999
"24","2007-02-06",29
"25","2007-02-07",28.969999
"26","2007-02-08",29.15
"27","2007-02-09",28.66
"28","2007-02-12",28.48
"29","2007-02-13",28.74
"30","2007-02-14",28.299999
"31","2007-02-15",28.030001
"32","2007-02-16",28.16
"33","2007-02-20",28.6
"34","2007-02-21",28.879999
"35","2007-02-22",29
"36","2007-02-23",28.17
"37","2007-02-26",28.24
"38","2007-02-27",27.799999
"39","2007-02-28",28.059999
"40","2007-03-01",27.74
"41","2007-03-02",27.01
"42","2007-03-05",26.16
"43","2007-03-06",27.35
"44","2007-03-07",26.52
"45","2007-03-08",26.24
"46","2007-03-09",26.23
"47","2007-03-12",26.780001
"48","2007-03-13",25.860001
"49","2007-03-14",26.700001
"50","2007-03-15",26.969999
"51","2007-03-16",25.959999
"52","2007-03-19",26.77
"53","2007-03-20",27
"54","2007-03-21",28.370001
"55","2007-03-22",28.25
"56","2007-03-23",28.540001
"57","2007-03-26",28.6
"58","2007-03-27",27.559999
"59","2007-03-28",27.67
"60","2007-03-29",27.540001
"61","2007-03-30",28.51
"62","2007-04-02",28.309999
"63","2007-04-03",28.75
"64","2007-04-04",28.74
"65","2007-04-05",28.610001
"66","2007-04-09",28.190001
"67","2007-04-10",28.219999
"68","2007-04-11",27.77
"69","2007-04-12",28.02
"70","2007-04-13",28.58
"71","2007-04-16",29.01
"72","2007-04-17",28.57
"73","2007-04-18",28.75
"74","2007-04-19",28.24
"75","2007-04-20",28.709999
"76","2007-04-23",29.09
"77","2007-04-24",29.15
"78","2007-04-25",29.290001
"79","2007-04-26",27.9
"80","2007-04-27",27.559999
"81","2007-04-30",27.360001
"82","2007-05-01",27.34
"83","2007-05-02",28.25
"84","2007-05-03",27.940001
"85","2007-05-04",27.92
"86","2007-05-07",27.34
"87","2007-05-08",27.27
"88","2007-05-09",27.34
"89","2007-05-10",26.67
"90","2007-05-11",27.25
"91","2007-05-14",26.98
"92","2007-05-15",26.91
"93","2007-05-16",27.1
"94","2007-05-17",27.01
"95","2007-05-18",27.25
"96","2007-05-21",27.280001
"97","2007-05-22",28.049999
"98","2007-05-23",28.09
"99","2007-05-24",28.09
"100","2007-05-25",28.32
"101","2007-05-29",28.66
"102","2007-05-30",28.690001
"103","2007-05-31",28.530001
"104","2007-06-01",28.690001
"105","2007-06-04",29.4
"106","2007-06-05",29.27
"107","2007-06-06",29.059999
"108","2007-06-07",28.74
"109","2007-06-08",28.969999
"110","2007-06-11",28.84
