"","date","FANG"
"1","2012-10-12",17.5
"2","2012-10-15",17.75
"3","2012-10-16",17.790001
"4","2012-10-17",17.700001
"5","2012-10-18",17.700001
"6","2012-10-19",17.41
"7","2012-10-22",17.030001
"8","2012-10-23",17.129999
"9","2012-10-24",17.389999
"10","2012-10-25",17.030001
"11","2012-10-26",17.139999
"12","2012-10-31",17.030001
"13","2012-11-01",17.23
"14","2012-11-02",17
"15","2012-11-05",16.709999
"16","2012-11-06",17.01
"17","2012-11-07",17.059999
"18","2012-11-08",16.75
"19","2012-11-09",16.549999
"20","2012-11-12",16.5
"21","2012-11-13",16.040001
"22","2012-11-14",16.049999
"23","2012-11-15",16.700001
"24","2012-11-16",16.82
"25","2012-11-19",17.120001
"26","2012-11-20",17.129999
"27","2012-11-21",17.200001
"28","2012-11-23",17.32
"29","2012-11-26",17.26
"30","2012-11-27",17.23
"31","2012-11-28",17.25
"32","2012-11-29",18.16
"33","2012-11-30",18
"34","2012-12-03",18.1
"35","2012-12-04",17.83
"36","2012-12-05",17.98
"37","2012-12-06",17.620001
"38","2012-12-07",17.75
"39","2012-12-10",17.620001
"40","2012-12-11",17.540001
"41","2012-12-12",17.639999
"42","2012-12-13",17.879999
"43","2012-12-14",17.57
"44","2012-12-17",17.98
"45","2012-12-18",18.799999
"46","2012-12-19",19.18
"47","2012-12-20",19.02
"48","2012-12-21",18.98
"49","2012-12-24",18.639999
"50","2012-12-26",18.65
"51","2012-12-27",18.540001
"52","2012-12-28",18.780001
"53","2012-12-31",19.120001
"54","2013-01-02",19.24
"55","2013-01-03",19.139999
"56","2013-01-04",20.049999
"57","2013-01-07",20.77
"58","2013-01-08",20.6
"59","2013-01-09",20.469999
"60","2013-01-10",21.629999
"61","2013-01-11",21.67
"62","2013-01-14",21.799999
"63","2013-01-15",21.719999
"64","2013-01-16",21.280001
"65","2013-01-17",21.120001
"66","2013-01-18",20.540001
"67","2013-01-22",21.790001
"68","2013-01-23",21.43
"69","2013-01-24",21.43
"70","2013-01-25",22
"71","2013-01-28",21.639999
"72","2013-01-29",22.129999
"73","2013-01-30",22.67
"74","2013-01-31",22.42
"75","2013-02-01",22.700001
"76","2013-02-04",22.540001
"77","2013-02-05",22.629999
"78","2013-02-06",22.629999
"79","2013-02-07",22.42
"80","2013-02-08",22.049999
"81","2013-02-11",21.559999
"82","2013-02-12",21.57
"83","2013-02-13",21.559999
"84","2013-02-14",22
"85","2013-02-15",22.299999
"86","2013-02-19",22.82
"87","2013-02-20",21.280001
"88","2013-02-21",20.73
"89","2013-02-22",20.98
"90","2013-02-25",19.74
"91","2013-02-26",20.049999
"92","2013-02-27",20.959999
"93","2013-02-28",22.709999
"94","2013-03-01",22.34
"95","2013-03-04",22.389999
"96","2013-03-05",23.700001
"97","2013-03-06",23.549999
"98","2013-03-07",24.51
"99","2013-03-08",24.9
"100","2013-03-11",24.49
"101","2013-03-12",24.93
"102","2013-03-13",25.75
"103","2013-03-14",24.860001
"104","2013-03-15",24.15
"105","2013-03-18",23.99
"106","2013-03-19",23.76
"107","2013-03-20",24
"108","2013-03-21",24.309999
"109","2013-03-22",24.549999
"110","2013-03-25",25.200001
"111","2013-03-26",25.65
"112","2013-03-27",26.110001
"113","2013-03-28",26.84
"114","2013-04-01",27.4
"115","2013-04-02",27.040001
"116","2013-04-03",24.92
"117","2013-04-04",25.049999
"118","2013-04-05",25.18
