"","date","LFACU"
"1","2018-06-20",10
"2","2018-06-21",10
"3","2018-06-22",10
"4","2018-06-25",10.01
"5","2018-06-26",10.01
"6","2018-06-27",10.02
"7","2018-06-28",10.04
"8","2018-06-29",10.07
"9","2018-07-02",10.08
"10","2018-07-03",10.1
"11","2018-07-05",10.14
"12","2018-07-06",10.14
"13","2018-07-09",10.14
"14","2018-07-10",10.15
"15","2018-07-11",10.18
"16","2018-07-12",10.18
"17","2018-07-13",10.18
"18","2018-07-16",10.15
"19","2018-07-17",10.18
"20","2018-07-18",10.18
"21","2018-07-19",10.15
"22","2018-07-20",10.15
"23","2018-07-23",10.15
"24","2018-07-24",10.15
"25","2018-07-25",10.15
"26","2018-07-26",10.15
"27","2018-07-27",10.17
"28","2018-07-30",10.17
"29","2018-07-31",10.12
"30","2018-08-01",10.12
"31","2018-08-02",10.12
"32","2018-08-03",10.12
"33","2018-08-06",10.15
"34","2018-08-07",10.12
"35","2018-08-08",10.12
"36","2018-08-09",10.1
"37","2018-08-10",10.08
"38","2018-08-13",10.08
"39","2018-08-14",10.09
"40","2018-08-15",10.09
"41","2018-08-16",10.06
"42","2018-08-17",10.06
"43","2018-08-20",10.07
"44","2018-08-21",10.05
"45","2018-08-22",10.08
"46","2018-08-23",10.08
"47","2018-08-24",10.08
"48","2018-08-27",10.1
"49","2018-08-28",10.1
"50","2018-08-29",10.1
"51","2018-08-30",10.07
"52","2018-08-31",10.094
"53","2018-09-04",10.07
"54","2018-09-05",10.07
"55","2018-09-06",10.08
"56","2018-09-07",10.12
"57","2018-09-10",10.12
"58","2018-09-11",10.1
"59","2018-09-12",10.11
"60","2018-09-13",10.07
"61","2018-09-14",10.15
"62","2018-09-17",10.115
"63","2018-09-18",10.115
"64","2018-09-19",10.115
"65","2018-09-20",10.081
"66","2018-09-21",10.05
"67","2018-09-24",10.05
"68","2018-09-25",10.115
"69","2018-09-26",10.12
"70","2018-09-27",10.12
"71","2018-09-28",10.12
"72","2018-10-01",10.173
"73","2018-10-02",10.18
"74","2018-10-03",10.159
"75","2018-10-04",10.09
"76","2018-10-05",10.09
"77","2018-10-08",10.09
"78","2018-10-09",10.1
"79","2018-10-10",10.1
"80","2018-10-11",10.11
"81","2018-10-12",10.12
"82","2018-10-15",10.14
"83","2018-10-16",10.12
"84","2018-10-17",10.1
"85","2018-10-18",10.09
"86","2018-10-19",10.09
"87","2018-10-22",10.09
"88","2018-10-23",10.08
"89","2018-10-24",10.07
"90","2018-10-25",10.07
"91","2018-10-26",10.06
"92","2018-10-29",10.06
"93","2018-10-30",10.03
"94","2018-10-31",10.04
"95","2018-11-01",10.04
"96","2018-11-02",10.07
"97","2018-11-05",10.07
"98","2018-11-06",10.02
"99","2018-11-07",10.02
"100","2018-11-08",10.03
"101","2018-11-09",10.02
"102","2018-11-12",10.02
"103","2018-11-13",10.02
"104","2018-11-14",10.04
"105","2018-11-15",10.04
"106","2018-11-16",10.05
"107","2018-11-19",10.06
"108","2018-11-20",10.06
"109","2018-11-21",10.06
"110","2018-11-23",10.06
"111","2018-11-26",10.05
"112","2018-11-27",10.05
"113","2018-11-28",10.01
"114","2018-11-29",10.05
"115","2018-11-30",10.01
"116","2018-12-03",10.01
"117","2018-12-04",10.07
"118","2018-12-06",10.09
"119","2018-12-07",10.1
"120","2018-12-10",10.099
"121","2018-12-11",10.099
"122","2018-12-12",10.099
"123","2018-12-13",10.099
"124","2018-12-14",10.099
"125","2018-12-17",10.099
"126","2018-12-18",10.099
"127","2018-12-19",10.05
"128","2018-12-20",10.05
"129","2018-12-21",10.06
"130","2018-12-24",10.06
"131","2018-12-26",10.06
"132","2018-12-27",10.06
"133","2018-12-28",10.15
"134","2018-12-31",10.15
"135","2019-01-02",10.18
"136","2019-01-03",10.18
"137","2019-01-04",10.15
"138","2019-01-07",10.1
"139","2019-01-08",10.1
"140","2019-01-09",10.1
"141","2019-01-10",10.1
"142","2019-01-11",10.1
"143","2019-01-14",10.1
"144","2019-01-15",10.1
"145","2019-01-16",10.1
"146","2019-01-17",10.1
"147","2019-01-18",10.1
"148","2019-01-22",10.1
"149","2019-01-23",10.16
"150","2019-01-24",10.16
"151","2019-01-25",10.2
"152","2019-01-28",10.2
"153","2019-01-29",10.2
"154","2019-01-30",10.2
"155","2019-01-31",10.21
"156","2019-02-01",10.21
"157","2019-02-04",10.2
"158","2019-02-05",10.21
"159","2019-02-06",10.21
"160","2019-02-07",10.26
"161","2019-02-08",10.3
"162","2019-02-11",10.26
"163","2019-02-12",10.26
"164","2019-02-13",10.26
"165","2019-02-14",10.3
"166","2019-02-15",10.3
"167","2019-02-19",10.3
"168","2019-02-20",10.26
"169","2019-02-21",10.26
"170","2019-02-22",10.31
"171","2019-02-25",10.31
"172","2019-02-26",10.31
