"","date","EGBN"
"187","2007-09-28",10.958677
"188","2007-10-01",11.041323
"189","2007-10-02",11.23967
"190","2007-10-03",11.190083
"191","2007-10-04",11.107438
"192","2007-10-05",11.280992
"193","2007-10-08",11.404959
"194","2007-10-09",11.446281
"195","2007-10-10",11.446281
"196","2007-10-11",11.23967
"197","2007-10-12",11.115703
"198","2007-10-15",11.049587
"199","2007-10-16",11.066115
"200","2007-10-17",11.057851
"201","2007-10-18",10.743802
"202","2007-10-19",10.68595
"203","2007-10-22",10.479339
"204","2007-10-23",10.198347
"205","2007-10-24",9.818182
"206","2007-10-25",9.884297
"207","2007-10-26",10.057851
"208","2007-10-29",10.181818
"209","2007-10-30",10.396694
"210","2007-10-31",10.347108
"211","2007-11-01",10.438017
"212","2007-11-02",10.743802
"213","2007-11-05",10.743802
"214","2007-11-06",10.801653
"215","2007-11-07",10.677686
"216","2007-11-08",10.785124
"217","2007-11-09",10.561983
"218","2007-11-12",10.330579
"219","2007-11-13",10.520661
"220","2007-11-14",10.123967
"221","2007-11-15",9.545455
"222","2007-11-16",10.23967
"223","2007-11-19",10.305785
"224","2007-11-20",10.305785
"225","2007-11-21",10.297521
"226","2007-11-23",10.181818
"227","2007-11-26",10.330579
"228","2007-11-27",10.322314
"229","2007-11-28",10.247934
"230","2007-11-29",10.330579
"231","2007-11-30",10.338843
"232","2007-12-03",11.07438
"233","2007-12-04",11
"234","2007-12-05",10.917356
"235","2007-12-06",10.917356
"236","2007-12-07",10.942149
"237","2007-12-10",10.876033
"238","2007-12-11",10.76033
"239","2007-12-12",10.743802
"240","2007-12-13",10.743802
"241","2007-12-14",10.92562
"242","2007-12-17",10.46281
"243","2007-12-18",10.520661
"244","2007-12-19",10.330579
"245","2007-12-20",10.280992
"246","2007-12-21",10.280992
"247","2007-12-24",10.338843
"248","2007-12-26",10.330579
"249","2007-12-27",9.958677
"250","2007-12-28",10.016529
"251","2007-12-31",10
"252","2008-01-02",10
"253","2008-01-03",9.917356
"254","2008-01-04",10.545455
"255","2008-01-07",10.694215
"256","2008-01-08",10.809917
"257","2008-01-09",10.942149
"258","2008-01-10",10.991735
"259","2008-01-11",11.07438
"260","2008-01-14",11.07438
"261","2008-01-15",10.909091
"262","2008-01-16",10.892562
"263","2008-01-17",10.892562
"264","2008-01-18",11.024794
"265","2008-01-22",10.413223
"266","2008-01-23",9.826447
