"","date","AMHC"
"1","2020-01-10",9.82
"2","2020-01-13",9.82
"3","2020-01-14",9.82
"4","2020-01-15",9.82
"5","2020-01-16",9.82
"6","2020-01-17",9.82
"7","2020-01-21",9.82
"8","2020-01-22",9.85
"9","2020-01-23",9.85
"10","2020-01-24",9.88
"11","2020-01-27",9.88
"12","2020-01-28",9.85
"13","2020-01-29",9.85
"14","2020-01-30",9.87
"15","2020-01-31",9.87
"16","2020-02-03",9.87
"17","2020-02-04",9.87
"18","2020-02-05",9.87
"19","2020-02-06",9.85
"20","2020-02-07",9.85
"21","2020-02-10",9.94
"22","2020-02-11",9.94
"23","2020-02-12",9.94
"24","2020-02-13",9.84
"25","2020-02-14",9.84
"26","2020-02-18",9.84
"27","2020-02-19",9.932
"28","2020-02-20",9.932
"29","2020-02-21",9.932
"30","2020-02-24",9.932
"31","2020-02-25",9.88
"32","2020-02-26",9.88
"33","2020-02-27",9.87
"34","2020-02-28",9.87
"35","2020-03-02",9.88
"36","2020-03-03",9.88
"37","2020-03-04",9.86
"38","2020-03-05",9.86
"39","2020-03-06",9.86
"40","2020-03-09",9.76
"41","2020-03-10",9.76
"42","2020-03-11",9.76
"43","2020-03-12",9.7
"44","2020-03-13",9.94
"45","2020-03-16",9.94
"46","2020-03-17",9.5
"47","2020-03-18",9.5
"48","2020-03-19",9.5
"49","2020-03-20",9.553
"50","2020-03-23",9.45
"51","2020-03-24",9.45
"52","2020-03-25",9.45
"53","2020-03-26",9.502
"54","2020-03-27",9.55
"55","2020-03-30",9.5
"56","2020-03-31",9.5
"57","2020-04-01",9.65
"58","2020-04-02",9.65
"59","2020-04-03",9.65
"60","2020-04-06",9.5
"61","2020-04-07",9.5
"62","2020-04-08",9.5
"63","2020-04-09",9.5
"64","2020-04-13",9.5
"65","2020-04-14",9.65
"66","2020-04-15",9.65
"67","2020-04-16",9.65
"68","2020-04-17",9.65
"69","2020-04-20",9.705
"70","2020-04-21",9.705
"71","2020-04-22",9.705
"72","2020-04-23",9.7
"73","2020-04-24",9.7
"74","2020-04-27",9.7
