"","date","AXTA"
"1","2014-11-12",20.75
"2","2014-11-13",21.5
"3","2014-11-14",21.98
"4","2014-11-17",22.33
"5","2014-11-18",21.879999
"6","2014-11-19",22.24
"7","2014-11-20",22.290001
"8","2014-11-21",22.559999
"9","2014-11-24",22.41
"10","2014-11-25",22.99
"11","2014-11-26",22.98
"12","2014-11-28",23.799999
"13","2014-12-01",23.73
"14","2014-12-02",24.41
"15","2014-12-03",25.16
"16","2014-12-04",25.030001
"17","2014-12-05",25.030001
"18","2014-12-08",24.719999
"19","2014-12-09",25.01
"20","2014-12-10",24.700001
"21","2014-12-11",26.379999
"22","2014-12-12",26.030001
"23","2014-12-15",26.07
"24","2014-12-16",26.27
"25","2014-12-17",26.66
"26","2014-12-18",26.75
"27","2014-12-19",26.940001
"28","2014-12-22",27.450001
"29","2014-12-23",27.01
"30","2014-12-24",26.74
"31","2014-12-26",26.629999
"32","2014-12-29",26.75
"33","2014-12-30",26.18
"34","2014-12-31",26.02
"35","2015-01-02",26.24
"36","2015-01-05",26.68
"37","2015-01-06",27.709999
"38","2015-01-07",26.860001
"39","2015-01-08",27.440001
"40","2015-01-09",26.92
"41","2015-01-12",26.99
"42","2015-01-13",27.66
"43","2015-01-14",27.1
"44","2015-01-15",26.43
"45","2015-01-16",26.889999
"46","2015-01-20",26.65
"47","2015-01-21",26.940001
"48","2015-01-22",27.129999
"49","2015-01-23",26.92
"50","2015-01-26",26.35
"51","2015-01-27",25.82
"52","2015-01-28",25.49
"53","2015-01-29",26
"54","2015-01-30",25.67
"55","2015-02-02",25.280001
"56","2015-02-03",25.16
"57","2015-02-04",25.16
"58","2015-02-05",25.059999
"59","2015-02-06",25.200001
"60","2015-02-09",24.98
"61","2015-02-10",24.99
"62","2015-02-11",25.459999
"63","2015-02-12",25.639999
"64","2015-02-13",25.26
"65","2015-02-17",25.49
"66","2015-02-18",25.950001
"67","2015-02-19",26.780001
"68","2015-02-20",26.93
"69","2015-02-23",28.200001
"70","2015-02-24",28.040001
"71","2015-02-25",28.190001
"72","2015-02-26",27.889999
"73","2015-02-27",28.4
"74","2015-03-02",28.129999
"75","2015-03-03",27.459999
"76","2015-03-04",27.280001
"77","2015-03-05",27.389999
"78","2015-03-06",27.299999
"79","2015-03-09",27.790001
"80","2015-03-10",27.549999
"81","2015-03-11",28.25
"82","2015-03-12",28.57
"83","2015-03-13",28.48
"84","2015-03-16",29.25
"85","2015-03-17",27.85
"86","2015-03-18",28.52
"87","2015-03-19",28.209999
"88","2015-03-20",28.139999
"89","2015-03-23",27.860001
"90","2015-03-24",27.879999
"91","2015-03-25",27.549999
"92","2015-03-26",27.25
"93","2015-03-27",27.35
"94","2015-03-30",27.32
"95","2015-03-31",27.620001
"96","2015-04-01",28.639999
"97","2015-04-02",27.93
"98","2015-04-06",28.33
"99","2015-04-07",31.110001
"100","2015-04-08",31.209999
"101","2015-04-09",31.27
"102","2015-04-10",31.9
"103","2015-04-13",32
"104","2015-04-14",31.379999
"105","2015-04-15",30.780001
"106","2015-04-16",30.690001
"107","2015-04-17",31.360001
"108","2015-04-20",31.33
"109","2015-04-21",31.559999
"110","2015-04-22",30.99
"111","2015-04-23",31.450001
"112","2015-04-24",31.16
"113","2015-04-27",30.530001
"114","2015-04-28",30.58
"115","2015-04-29",31
"116","2015-04-30",30.68
"117","2015-05-01",31.459999
"118","2015-05-04",31.59
"119","2015-05-05",30.889999
"120","2015-05-06",32.299999
"121","2015-05-07",32.200001
"122","2015-05-08",32.799999
"123","2015-05-11",32.259998
"124","2015-05-12",32.5
"125","2015-05-13",33.299999
"126","2015-05-14",33.779999
"127","2015-05-15",34.389999
"128","2015-05-18",34.5
"129","2015-05-19",34.400002
