"","date","STAG"
"1","2011-04-15",12.25
"2","2011-04-18",12.15
"3","2011-04-19",12.18
"4","2011-04-20",12.21
"5","2011-04-21",12.14
"6","2011-04-25",12
"7","2011-04-26",12.52
"8","2011-04-27",12.62
"9","2011-04-28",12.55
"10","2011-04-29",12.7
"11","2011-05-02",12.91
"12","2011-05-03",12.86
"13","2011-05-04",12.85
"14","2011-05-05",12.85
"15","2011-05-06",12.89
"16","2011-05-09",12.87
"17","2011-05-10",12.9
"18","2011-05-11",12.86
"19","2011-05-12",12.9
"20","2011-05-13",12.75
"21","2011-05-16",12.88
"22","2011-05-17",12.79
"23","2011-05-18",12.79
"24","2011-05-19",12.82
"25","2011-05-20",12.7
"26","2011-05-23",12.28
"27","2011-05-24",12.77
"28","2011-05-25",12.65
"29","2011-05-26",12.67
"30","2011-05-27",12.7
"31","2011-05-31",12.7
"32","2011-06-01",12.32
"33","2011-06-02",12.2
"34","2011-06-03",12.24
"35","2011-06-06",12.29
"36","2011-06-07",12.31
"37","2011-06-08",12.24
"38","2011-06-09",12.25
"39","2011-06-10",12.28
"40","2011-06-13",12.3
"41","2011-06-14",12.11
"42","2011-06-15",12.11
"43","2011-06-16",12.15
"44","2011-06-17",12.15
"45","2011-06-20",12.22
"46","2011-06-21",12.59
"47","2011-06-22",12.58
"48","2011-06-23",12.53
"49","2011-06-24",12.24
"50","2011-06-27",12.26
"51","2011-06-28",12.23
"52","2011-06-29",12.16
"53","2011-06-30",12.25
"54","2011-07-01",12.35
"55","2011-07-05",12.48
"56","2011-07-06",12.71
"57","2011-07-07",12.74
"58","2011-07-08",12.71
"59","2011-07-11",12.68
"60","2011-07-12",12.72
"61","2011-07-13",12.67
"62","2011-07-14",12.59
"63","2011-07-15",12.62
"64","2011-07-18",12.53
"65","2011-07-19",12.57
"66","2011-07-20",12.4
"67","2011-07-21",12.6
"68","2011-07-22",12.42
"69","2011-07-25",12.45
"70","2011-07-26",12.51
"71","2011-07-27",12.2
"72","2011-07-28",12.29
"73","2011-07-29",12.29
"74","2011-08-01",12.28
"75","2011-08-02",12
"76","2011-08-03",11.76
"77","2011-08-04",10.74
"78","2011-08-05",10.96
"79","2011-08-08",9.72
"80","2011-08-09",10.34
"81","2011-08-10",9.91
"82","2011-08-11",10.36
"83","2011-08-12",9.98
"84","2011-08-15",10.14
"85","2011-08-16",10.48
"86","2011-08-17",10.49
"87","2011-08-18",10.33
"88","2011-08-19",10.23
"89","2011-08-22",10.08
"90","2011-08-23",10.53
"91","2011-08-24",10.53
"92","2011-08-25",10.26
"93","2011-08-26",10.55
"94","2011-08-29",10.69
"95","2011-08-30",10.67
"96","2011-08-31",10.76
"97","2011-09-01",10.64
"98","2011-09-02",10.24
"99","2011-09-06",10.33
"100","2011-09-07",11
"101","2011-09-08",10.56
"102","2011-09-09",10.47
"103","2011-09-12",10.31
"104","2011-09-13",10.44
"105","2011-09-14",10.58
"106","2011-09-15",10.82
"107","2011-09-16",11.84
"108","2011-09-19",11.37
"109","2011-09-20",11.01
"110","2011-09-21",10.37
"111","2011-09-22",10.18
"112","2011-09-23",10.46
