"","date","MBOT"
"1","2007-01-03",43092
"2","2007-01-04",50382
"3","2007-01-05",53784
"4","2007-01-08",57024
"5","2007-01-09",55728
"6","2007-01-10",55566
"7","2007-01-11",54270
"8","2007-01-12",49248
"9","2007-01-16",50868
"10","2007-01-17",50544
"11","2007-01-18",48924
"12","2007-01-19",48600
"13","2007-01-22",48276
"14","2007-01-23",47304
"15","2007-01-24",45846
"16","2007-01-25",46008
"17","2007-01-26",46980
"18","2007-01-29",47790
"19","2007-01-30",46332
"20","2007-01-31",45846
"21","2007-02-01",47466
"22","2007-02-02",47952
"23","2007-02-05",47466
"24","2007-02-06",47142
"25","2007-02-07",46980
"26","2007-02-08",46494
"27","2007-02-09",46170
"28","2007-02-12",45684
"29","2007-02-13",45360
"30","2007-02-14",46008
"31","2007-02-15",45360
"32","2007-02-16",45360
"33","2007-02-20",48114
"34","2007-02-21",47790
"35","2007-02-22",46980
"36","2007-02-23",46494
"37","2007-02-26",45846
"38","2007-02-27",43416
"39","2007-02-28",42444
"40","2007-03-01",41472
"41","2007-03-02",41310
"42","2007-03-05",38880
"43","2007-03-06",41472
"44","2007-03-07",41958
"45","2007-03-08",41634
"46","2007-03-09",40986
"47","2007-03-12",40986
"48","2007-03-13",39852
"49","2007-03-14",39366
"50","2007-03-15",39366
"51","2007-03-16",39366
"52","2007-03-19",39042
"53","2007-03-20",38718
"54","2007-03-21",39690
"55","2007-03-22",39690
"56","2007-03-23",39204
"57","2007-03-26",42768
"58","2007-03-27",40500
"59","2007-03-28",41634
"60","2007-03-29",41310
"61","2007-03-30",40824
"62","2007-04-02",48276
"63","2007-04-03",45360
"64","2007-04-04",44712
"65","2007-04-05",47628
"66","2007-04-09",46332
"67","2007-04-10",46818
"68","2007-04-11",46332
"69","2007-04-12",44712
"70","2007-04-13",45198
"71","2007-04-16",44064
"72","2007-04-17",43740
"73","2007-04-18",44064
"74","2007-04-19",43254
"75","2007-04-20",43092
"76","2007-04-23",42930
"77","2007-04-24",42930
"78","2007-04-25",42282
"79","2007-04-26",41634
"80","2007-04-27",40986
"81","2007-04-30",40662
"82","2007-05-01",39690
"83","2007-05-02",40662
"84","2007-05-03",40986
"85","2007-05-04",40662
"86","2007-05-07",42282
"87","2007-05-08",41310
"88","2007-05-09",41148
"89","2007-05-10",40662
"90","2007-05-11",40824
"91","2007-05-14",41310
"92","2007-05-15",40662
"93","2007-05-16",41472
"94","2007-05-17",42282
"95","2007-05-18",41472
"96","2007-05-21",41310
"97","2007-05-22",41310
"98","2007-05-23",41634
"99","2007-05-24",40662
"100","2007-05-25",40500
"101","2007-05-29",40500
"102","2007-05-30",40014
"103","2007-05-31",39690
"104","2007-06-01",39366
"105","2007-06-04",39204
"106","2007-06-05",39528
"107","2007-06-06",40986
"108","2007-06-07",40986
"109","2007-06-08",40500
"110","2007-06-11",40338
"111","2007-06-12",39690
"112","2007-06-13",39366
"113","2007-06-14",39528
"114","2007-06-15",39852
"115","2007-06-18",40986
"116","2007-06-19",41148
"117","2007-06-20",40176
"118","2007-06-21",39690
"119","2007-06-22",39204
"120","2007-06-25",39366
"121","2007-06-26",38880
"122","2007-06-27",38232
"123","2007-06-28",37260
"124","2007-06-29",37422
"125","2007-07-02",37908
"126","2007-07-03",37260
"127","2007-07-05",37746
"128","2007-07-06",37422
"129","2007-07-09",37746
"130","2007-07-10",39690
"131","2007-07-11",38880
"132","2007-07-12",38556
"133","2007-07-13",38718
"134","2007-07-16",37908
"135","2007-07-17",37908
"136","2007-07-18",37260
"137","2007-07-19",38070
"138","2007-07-20",38232
"139","2007-07-23",37584
"140","2007-07-24",36936
"141","2007-07-25",36450
"142","2007-07-26",35478
"143","2007-07-27",35316
"144","2007-07-30",34020
"145","2007-07-31",33210
"146","2007-08-01",32076
"147","2007-08-02",32076
"148","2007-08-03",31266
"149","2007-08-06",31590
"150","2007-08-07",32238
"151","2007-08-08",33858
"152","2007-08-09",34830
"153","2007-08-10",37584
"154","2007-08-13",35802
"155","2007-08-14",34992
"156","2007-08-15",34992
"157","2007-08-16",33048
"158","2007-08-17",35316
"159","2007-08-20",34020
"160","2007-08-21",34992
"161","2007-08-22",35316
"162","2007-08-23",35802
"163","2007-08-24",35154
"164","2007-08-27",36450
"165","2007-08-28",35316
"166","2007-08-29",35478
"167","2007-08-30",34830
"168","2007-08-31",34992
"169","2007-09-04",35964
"170","2007-09-05",35478
"171","2007-09-06",35154
"172","2007-09-07",34830
"173","2007-09-10",34020
"174","2007-09-11",33534
"175","2007-09-12",33210
"176","2007-09-13",33372
"177","2007-09-14",34020
"178","2007-09-17",33210
"179","2007-09-18",33858
"180","2007-09-19",33048
"181","2007-09-20",33372
"182","2007-09-21",33858
"183","2007-09-24",33696
"184","2007-09-25",34506
"185","2007-09-26",34830
"186","2007-09-27",34830
"187","2007-09-28",34182
"188","2007-10-01",34020
"189","2007-10-02",35154
"190","2007-10-03",39852
"191","2007-10-04",37746
"192","2007-10-05",38232
"193","2007-10-08",38232
"194","2007-10-09",38556
"195","2007-10-10",38232
"196","2007-10-11",37422
"197","2007-10-12",37260
"198","2007-10-15",37098
"199","2007-10-16",35964
"200","2007-10-17",37098
"201","2007-10-18",36774
"202","2007-10-19",35640
"203","2007-10-22",35640
"204","2007-10-23",35154
"205","2007-10-24",35640
"206","2007-10-25",34344
"207","2007-10-26",34992
"208","2007-10-29",35154
"209","2007-10-30",34992
"210","2007-10-31",35478
"211","2007-11-01",34830
"212","2007-11-02",34182
"213","2007-11-05",33048
"214","2007-11-06",32886
"215","2007-11-07",32400
"216","2007-11-08",31752
"217","2007-11-09",31266
"218","2007-11-12",31914
"219","2007-11-13",31914
"220","2007-11-14",31914
"221","2007-11-15",31914
"222","2007-11-16",31590
"223","2007-11-19",30942
"224","2007-11-20",29160
"225","2007-11-21",33696
"226","2007-11-23",32562
"227","2007-11-26",31590
"228","2007-11-27",30132
"229","2007-11-28",31590
"230","2007-11-29",29322
"231","2007-11-30",31428
"232","2007-12-03",31752
"233","2007-12-04",30456
"234","2007-12-05",30618
"235","2007-12-06",30618
"236","2007-12-07",31104
"237","2007-12-10",30618
"238","2007-12-11",29322
"239","2007-12-12",29484
"240","2007-12-13",29160
"241","2007-12-14",28512
"242","2007-12-17",27702
"243","2007-12-18",26082
"244","2007-12-19",26244
"245","2007-12-20",25596
"246","2007-12-21",24948
"247","2007-12-24",24786
"248","2007-12-26",24786
"249","2007-12-27",24462
"250","2007-12-28",24300
"251","2007-12-31",24300
"252","2008-01-02",25110
"253","2008-01-03",24462
"254","2008-01-04",23490
"255","2008-01-07",23328
"256","2008-01-08",24138
"257","2008-01-09",22356
"258","2008-01-10",22356
"259","2008-01-11",22518
"260","2008-01-14",22032
"261","2008-01-15",22194
"262","2008-01-16",21546
"263","2008-01-17",20088
"264","2008-01-18",19764
"265","2008-01-22",17820
"266","2008-01-23",16848
"267","2008-01-24",18144
"268","2008-01-25",18144
"269","2008-01-28",17820
"270","2008-01-29",21222
"271","2008-01-30",21870
"272","2008-01-31",21708
"273","2008-02-01",24786
"274","2008-02-04",27540
"275","2008-02-05",29970
"276","2008-02-06",25758
"277","2008-02-07",26730
"278","2008-02-08",24786
"279","2008-02-11",27216
"280","2008-02-12",27054
"281","2008-02-13",27378
"282","2008-02-14",26730
"283","2008-02-15",25434
"284","2008-02-19",25920
"285","2008-02-20",27378
"286","2008-02-21",27378
"287","2008-02-22",26082
"288","2008-02-25",26244
"289","2008-02-26",26568
"290","2008-02-27",26406
"291","2008-02-28",25920
"292","2008-02-29",24462
"293","2008-03-03",24300
"294","2008-03-04",24138
"295","2008-03-05",23814
"296","2008-03-06",22356
"297","2008-03-07",22356
"298","2008-03-10",20412
"299","2008-03-11",21870
"300","2008-03-12",22680
"301","2008-03-13",21870
"302","2008-03-14",22518
"303","2008-03-17",20412
"304","2008-03-18",20574
"305","2008-03-19",21384
"306","2008-03-20",22032
"307","2008-03-24",22680
"308","2008-03-25",22356
"309","2008-03-26",24138
"310","2008-03-27",23976
"311","2008-03-28",25272
"312","2008-03-31",25434
"313","2008-04-01",25596
"314","2008-04-02",24948
"315","2008-04-03",24786
"316","2008-04-04",24786
"317","2008-04-07",25110
"318","2008-04-08",25434
"319","2008-04-09",24462
"320","2008-04-10",23490
"321","2008-04-11",23328
"322","2008-04-14",22680
"323","2008-04-15",23328
"324","2008-04-16",22680
"325","2008-04-17",23166
"326","2008-04-18",22842
"327","2008-04-21",22032
"328","2008-04-22",22194
"329","2008-04-23",27378
"330","2008-04-24",26244
"331","2008-04-25",25758
"332","2008-04-28",25596
"333","2008-04-29",25110
"334","2008-04-30",24462
"335","2008-05-01",25110
"336","2008-05-02",25920
"337","2008-05-05",27054
"338","2008-05-06",25272
"339","2008-05-07",24138
"340","2008-05-08",22842
"341","2008-05-09",23976
"342","2008-05-12",24138
"343","2008-05-13",24138
"344","2008-05-14",23166
"345","2008-05-15",23166
"346","2008-05-16",23652
"347","2008-05-19",22842
"348","2008-05-20",23814
"349","2008-05-21",23328
"350","2008-05-22",22680
"351","2008-05-23",23166
"352","2008-05-27",22680
"353","2008-05-28",22356
"354","2008-05-29",22680
"355","2008-05-30",22842
"356","2008-06-02",22842
"357","2008-06-03",22680
"358","2008-06-04",22356
"359","2008-06-05",22680
"360","2008-06-06",23652
"361","2008-06-09",23004
"362","2008-06-10",22518
"363","2008-06-11",22194
"364","2008-06-12",21546
"365","2008-06-13",21708
"366","2008-06-16",22194
"367","2008-06-17",22032
"368","2008-06-18",21060
"369","2008-06-19",20898
"370","2008-06-20",21060
"371","2008-06-23",20574
"372","2008-06-24",19926
"373","2008-06-25",19440
"374","2008-06-26",20412
"375","2008-06-27",19440
"376","2008-06-30",20250
"377","2008-07-01",18954
"378","2008-07-02",18306
"379","2008-07-03",17820
"380","2008-07-07",17172
"381","2008-07-08",19926
"382","2008-07-09",19440
"383","2008-07-10",18792
"384","2008-07-11",18144
"385","2008-07-14",17982
"386","2008-07-15",18306
"387","2008-07-16",18468
"388","2008-07-17",19926
"389","2008-07-18",20088
"390","2008-07-21",21222
"391","2008-07-22",23166
"392","2008-07-23",22356
"393","2008-07-24",22194
"394","2008-07-25",21708
"395","2008-07-28",21546
"396","2008-07-29",20412
"397","2008-07-30",21222
"398","2008-07-31",21870
"399","2008-08-01",22194
"400","2008-08-04",21060
"401","2008-08-05",21708
"402","2008-08-06",21870
"403","2008-08-07",18630
"404","2008-08-08",20250
"405","2008-08-11",21222
"406","2008-08-12",20736
"407","2008-08-13",20412
"408","2008-08-14",20412
"409","2008-08-15",20412
"410","2008-08-18",20412
"411","2008-08-19",20412
"412","2008-08-20",20250
"413","2008-08-21",19926
"414","2008-08-22",20088
"415","2008-08-25",19440
"416","2008-08-26",19116
"417","2008-08-27",18954
"418","2008-08-28",19764
"419","2008-08-29",19764
"420","2008-09-02",19764
"421","2008-09-03",18954
"422","2008-09-04",19116
"423","2008-09-05",18792
"424","2008-09-08",18792
"425","2008-09-09",19116
"426","2008-09-10",18630
"427","2008-09-11",18144
"428","2008-09-12",17982
"429","2008-09-15",18144
"430","2008-09-16",17982
"431","2008-09-17",17010
"432","2008-09-18",17334
"433","2008-09-19",18954
"434","2008-09-22",17982
"435","2008-09-23",17820
"436","2008-09-24",17982
"437","2008-09-25",17010
"438","2008-09-26",17496
"439","2008-09-29",17010
"440","2008-09-30",16686
"441","2008-10-01",16686
"442","2008-10-02",16848
"443","2008-10-03",16200
"444","2008-10-06",13770
"445","2008-10-07",12636
"446","2008-10-08",12960
"447","2008-10-09",11502
"448","2008-10-10",12636
"449","2008-10-13",15228
"450","2008-10-14",16038
"451","2008-10-15",15552
"452","2008-10-16",16524
"453","2008-10-17",17010
"454","2008-10-20",18144
"455","2008-10-21",19116
"456","2008-10-22",18306
"457","2008-10-23",17982
"458","2008-10-24",16686
"459","2008-10-27",16038
"460","2008-10-28",16200
"461","2008-10-29",16848
"462","2008-10-30",19278
"463","2008-10-31",23328
"464","2008-11-03",32562
