"","date","IMBI"
"1","2007-01-03",12920
"2","2007-01-04",12650
"3","2007-01-05",12390
"4","2007-01-08",12500
"5","2007-01-09",12710
"6","2007-01-10",12690
"7","2007-01-11",12780
"8","2007-01-12",12820
"9","2007-01-16",12720
"10","2007-01-17",12520
"11","2007-01-18",12660
"12","2007-01-19",12600
"13","2007-01-22",12350
"14","2007-01-23",12480
"15","2007-01-24",12420
"16","2007-01-25",12030
"17","2007-01-26",12040
"18","2007-01-29",12030
"19","2007-01-30",12050
"20","2007-01-31",12260
"21","2007-02-01",12340
"22","2007-02-02",12410
"23","2007-02-05",12120
"24","2007-02-06",12320
"25","2007-02-07",12520
"26","2007-02-08",12260
"27","2007-02-09",12240
"28","2007-02-12",12500
"29","2007-02-13",12800
"30","2007-02-14",12670
"31","2007-02-15",12650
"32","2007-02-16",12640
"33","2007-02-20",12840
"34","2007-02-21",12780
"35","2007-02-22",12750
"36","2007-02-23",12810
"37","2007-02-26",12700
"38","2007-02-27",12300
"39","2007-02-28",12510
"40","2007-03-01",12510
"41","2007-03-02",12070
"42","2007-03-05",11990
"43","2007-03-06",12000
"44","2007-03-07",11760
"45","2007-03-08",11740
"46","2007-03-09",11970
"47","2007-03-12",11990
"48","2007-03-13",11610
"49","2007-03-14",11610
"50","2007-03-15",11790
"51","2007-03-16",11670
"52","2007-03-19",12080
"53","2007-03-20",12200
"54","2007-03-21",11900
"55","2007-03-22",12090
"56","2007-03-23",12110
"57","2007-03-26",12110
"58","2007-03-27",12010
"59","2007-03-28",11990
"60","2007-03-29",12140
"61","2007-03-30",12360
"62","2007-04-02",12680
"63","2007-04-03",12490
"64","2007-04-04",12380
"65","2007-04-05",12230
"66","2007-04-09",12080
"67","2007-04-10",12370
"68","2007-04-11",12330
"69","2007-04-12",12320
"70","2007-04-13",12240
"71","2007-04-16",12400
"72","2007-04-17",12400
"73","2007-04-18",12110
"74","2007-04-19",12100
"75","2007-04-20",12090
"76","2007-04-23",11920
"77","2007-04-24",11840
"78","2007-04-25",11820
"79","2007-04-26",11920
"80","2007-04-27",11590
"81","2007-04-30",11310
"82","2007-05-01",11140
"83","2007-05-02",11350
"84","2007-05-03",11130
"85","2007-05-04",11020
"86","2007-05-07",11300
"87","2007-05-08",10980
"88","2007-05-09",10850
"89","2007-05-10",10480
"90","2007-05-11",10510
"91","2007-05-14",10270
"92","2007-05-15",9980
"93","2007-05-16",10140
"94","2007-05-17",10240
"95","2007-05-18",10260
"96","2007-05-21",10400
"97","2007-05-22",10070
"98","2007-05-23",10250
"99","2007-05-24",10480
"100","2007-05-25",11140
"101","2007-05-29",11090
"102","2007-05-30",11260
"103","2007-05-31",11170
"104","2007-06-01",11390
"105","2007-06-04",11230
"106","2007-06-05",11310
"107","2007-06-06",11050
"108","2007-06-07",10770
"109","2007-06-08",11090
"110","2007-06-11",10940
"111","2007-06-12",10760
"112","2007-06-13",11270
"113","2007-06-14",11280
"114","2007-06-15",11610
"115","2007-06-18",11620
"116","2007-06-19",11640
"117","2007-06-20",11340
"118","2007-06-21",11420
"119","2007-06-22",11280
"120","2007-06-25",11160
"121","2007-06-26",11210
"122","2007-06-27",11490
"123","2007-06-28",11470
"124","2007-06-29",11320
"125","2007-07-02",11570
"126","2007-07-03",11500
"127","2007-07-05",11550
"128","2007-07-06",11740
"129","2007-07-09",11750
"130","2007-07-10",11340
"131","2007-07-11",11510
"132","2007-07-12",11770
"133","2007-07-13",11650
"134","2007-07-16",11460
"135","2007-07-17",11480
"136","2007-07-18",11390
"137","2007-07-19",11400
"138","2007-07-20",11140
"139","2007-07-23",10860
"140","2007-07-24",10090
"141","2007-07-25",10210
"142","2007-07-26",9580
"143","2007-07-27",8980
"144","2007-07-30",8980
"145","2007-07-31",9110
"146","2007-08-01",9210
"147","2007-08-02",9730
"148","2007-08-03",8940
"149","2007-08-06",9200
"150","2007-08-07",9290
"151","2007-08-08",9090
"152","2007-08-09",8420
"153","2007-08-10",8400
"154","2007-08-13",8720
"155","2007-08-14",8320
"156","2007-08-15",8070
"157","2007-08-16",8200
"158","2007-08-17",8210
"159","2007-08-20",8240
"160","2007-08-21",8330
"161","2007-08-22",8250
"162","2007-08-23",8060
"163","2007-08-24",8030
"164","2007-08-27",8060
"165","2007-08-28",7810
"166","2007-08-29",7830
"167","2007-08-30",8240
"168","2007-08-31",8430
"169","2007-09-04",8270
"170","2007-09-05",8200
"171","2007-09-06",8240
"172","2007-09-07",7900
"173","2007-09-10",7810
"174","2007-09-11",8080
"175","2007-09-12",7910
"176","2007-09-13",7880
"177","2007-09-14",7890
"178","2007-09-17",7810
"179","2007-09-18",8060
"180","2007-09-19",7990
"181","2007-09-20",7740
"182","2007-09-21",7510
"183","2007-09-24",7020
"184","2007-09-25",6940
"185","2007-09-26",7100
"186","2007-09-27",7270
"187","2007-09-28",7410
"188","2007-10-01",7870
"189","2007-10-02",7650
"190","2007-10-03",7460
"191","2007-10-04",7380
"192","2007-10-05",8000
"193","2007-10-08",7770
"194","2007-10-09",7510
"195","2007-10-10",7260
"196","2007-10-11",7430
"197","2007-10-12",7520
"198","2007-10-15",7180
"199","2007-10-16",7050
"200","2007-10-17",7000
"201","2007-10-18",6950
"202","2007-10-19",6630
"203","2007-10-22",6710
"204","2007-10-23",6700
"205","2007-10-24",6480
"206","2007-10-25",6460
"207","2007-10-26",5350
"208","2007-10-29",5280
"209","2007-10-30",5110
"210","2007-10-31",5170
"211","2007-11-01",5190
"212","2007-11-02",5130
"213","2007-11-05",5050
"214","2007-11-06",4870
"215","2007-11-07",4780
"216","2007-11-08",4660
"217","2007-11-09",4540
"218","2007-11-12",4680
"219","2007-11-13",5210
"220","2007-11-14",5070
"221","2007-11-15",4930
"222","2007-11-16",4950
"223","2007-11-19",4980
"224","2007-11-20",5410
"225","2007-11-21",6270
"226","2007-11-23",6410
"227","2007-11-26",6400
"228","2007-11-27",6320
"229","2007-11-28",6620
"230","2007-11-29",6490
"231","2007-11-30",6580
"232","2007-12-03",6480
"233","2007-12-04",6440
"234","2007-12-05",6670
"235","2007-12-06",6580
"236","2007-12-07",6950
"237","2007-12-10",6920
"238","2007-12-11",6470
"239","2007-12-12",6290
"240","2007-12-13",6480
"241","2007-12-14",6290
"242","2007-12-17",6360
"243","2007-12-18",6600
"244","2007-12-19",6530
"245","2007-12-20",6670
"246","2007-12-21",6880
"247","2007-12-24",7190
"248","2007-12-26",6710
"249","2007-12-27",6390
"250","2007-12-28",6210
"251","2007-12-31",6290
"252","2008-01-02",6100
"253","2008-01-03",6060
"254","2008-01-04",5580
"255","2008-01-07",5210
"256","2008-01-08",5110
"257","2008-01-09",5210
"258","2008-01-10",5060
"259","2008-01-11",4960
"260","2008-01-14",4880
"261","2008-01-15",5250
"262","2008-01-16",5460
"263","2008-01-17",5610
"264","2008-01-18",5400
"265","2008-01-22",5500
"266","2008-01-23",5780
"267","2008-01-24",5660
"268","2008-01-25",5120
"269","2008-01-28",5810
"270","2008-01-29",6110
"271","2008-01-30",6260
"272","2008-01-31",6280
"273","2008-02-01",6130
"274","2008-02-04",6000
"275","2008-02-05",5950
"276","2008-02-06",5720
"277","2008-02-07",5970
"278","2008-02-08",6030
"279","2008-02-11",5970
"280","2008-02-12",6240
"281","2008-02-13",6100
"282","2008-02-14",5860
"283","2008-02-15",6000
"284","2008-02-19",5790
"285","2008-02-20",5870
"286","2008-02-21",5790
"287","2008-02-22",5740
"288","2008-02-25",5980
"289","2008-02-26",5770
"290","2008-02-27",5690
"291","2008-02-28",5650
"292","2008-02-29",5260
"293","2008-03-03",5190
"294","2008-03-04",4850
"295","2008-03-05",4970
"296","2008-03-06",4570
"297","2008-03-07",4580
"298","2008-03-10",4500
"299","2008-03-11",5010
"300","2008-03-12",4670
"301","2008-03-13",4830
"302","2008-03-14",4830
"303","2008-03-17",4550
"304","2008-03-18",4830
"305","2008-03-19",4560
"306","2008-03-20",7200
"307","2008-03-24",6000
"308","2008-03-25",6010
"309","2008-03-26",5270
"310","2008-03-27",5400
"311","2008-03-28",5300
"312","2008-03-31",5540
"313","2008-04-01",5740
"314","2008-04-02",5580
"315","2008-04-03",5390
"316","2008-04-04",5380
"317","2008-04-07",5460
"318","2008-04-08",5050
"319","2008-04-09",4920
"320","2008-04-10",4950
"321","2008-04-11",4880
"322","2008-04-14",4990
"323","2008-04-15",4990
