"","date","NCNO"
"1","2020-07-14",91.589996
"2","2020-07-15",72.339996
"3","2020-07-16",68.239998
"4","2020-07-17",74
"5","2020-07-20",74.099998
"6","2020-07-21",74.970001
"7","2020-07-22",74.800003
"8","2020-07-23",71.57
"9","2020-07-24",73.839996
"10","2020-07-27",71.599998
"11","2020-07-28",72.129997
"12","2020-07-29",72.510002
"13","2020-07-30",76.669998
"14","2020-07-31",79.099998
"15","2020-08-03",77.279999
"16","2020-08-04",76
"17","2020-08-05",77.18
"18","2020-08-06",75.330002
"19","2020-08-07",75.370003
"20","2020-08-10",76.790001
"21","2020-08-11",78.879997
"22","2020-08-12",82.389999
"23","2020-08-13",84.599998
"24","2020-08-14",80.25
"25","2020-08-17",84.5
"26","2020-08-18",81.989998
"27","2020-08-19",78.25
"28","2020-08-20",82.760002
"29","2020-08-21",82.599998
"30","2020-08-24",84.800003
"31","2020-08-25",89.230003
"32","2020-08-26",86.709999
"33","2020-08-27",83.379997
"34","2020-08-28",88.480003
"35","2020-08-31",92.949997
"36","2020-09-01",98.040001
"37","2020-09-02",97.580002
"38","2020-09-03",87
"39","2020-09-04",79.260002
"40","2020-09-08",77.480003
"41","2020-09-09",79.07
"42","2020-09-10",84.199997
"43","2020-09-11",77.690002
"44","2020-09-14",76.57
"45","2020-09-15",77.190002
"46","2020-09-16",75.68
"47","2020-09-17",74.260002
"48","2020-09-18",75.550003
"49","2020-09-21",80.059998
"50","2020-09-22",80.349998
"51","2020-09-23",82.190002
"52","2020-09-24",78.800003
"53","2020-09-25",79.790001
"54","2020-09-28",82.129997
"55","2020-09-29",80.010002
"56","2020-09-30",79.68
"57","2020-10-01",78.959999
"58","2020-10-02",77.209999
"59","2020-10-05",75.639999
"60","2020-10-06",71.089996
"61","2020-10-07",76.300003
"62","2020-10-08",78.68
"63","2020-10-09",79.860001
"64","2020-10-12",80.400002
"65","2020-10-13",78.190002
"66","2020-10-14",76.489998
"67","2020-10-15",77.480003
"68","2020-10-16",77.080002
"69","2020-10-19",79.889999
"70","2020-10-20",81.5
"71","2020-10-21",81.860001
"72","2020-10-22",76.57
"73","2020-10-23",73.160004
"74","2020-10-26",71.889999
"75","2020-10-27",73.459999
"76","2020-10-28",72.300003
"77","2020-10-29",72.059998
"78","2020-10-30",70.519997
"79","2020-11-02",69.199997
"80","2020-11-03",72.559998
"81","2020-11-04",75.599998
"82","2020-11-05",77.669998
"83","2020-11-06",76.75
"84","2020-11-09",73
"85","2020-11-10",71.010002
"86","2020-11-11",71.489998
"87","2020-11-12",73.5
"88","2020-11-13",73.290001
"89","2020-11-16",72.029999
"90","2020-11-17",73.089996
"91","2020-11-18",73.449997
"92","2020-11-19",76.809998
"93","2020-11-20",77.589996
"94","2020-11-23",79.440002
"95","2020-11-24",76.75
"96","2020-11-25",79.730003
"97","2020-11-27",81.790001
