"","date","LAZY"
"1","2018-03-20",10.7
"2","2018-03-21",10.8
"3","2018-03-22",10.5
"4","2018-03-23",10.4
"5","2018-03-26",10.07
"6","2018-03-27",10.05
"7","2018-03-28",10.1
"8","2018-03-29",10.05
"9","2018-04-02",10
"10","2018-04-03",9.99
"11","2018-04-04",9.96
"12","2018-04-05",9.97
"13","2018-04-06",9.87
"14","2018-04-09",9.8
"15","2018-04-10",10.3
"16","2018-04-11",10.45
"17","2018-04-12",10.35
"18","2018-04-13",10.236
"19","2018-04-16",9.95
"20","2018-04-17",10
"21","2018-04-18",10.019
"22","2018-04-19",9.602
"23","2018-04-20",9.44
"24","2018-04-23",9.5
"25","2018-04-24",9.405
"26","2018-04-25",9.35
"27","2018-04-26",9.25
"28","2018-04-27",9.5
"29","2018-04-30",9.94
"30","2018-05-01",9.9
"31","2018-05-02",9.9
"32","2018-05-03",9.86
"33","2018-05-04",9.727
"34","2018-05-07",9.447
"35","2018-05-08",9.222
"36","2018-05-09",9
"37","2018-05-10",8.9
"38","2018-05-11",8.9
"39","2018-05-14",8.74
"40","2018-05-15",8.78
"41","2018-05-16",8.54
"42","2018-05-17",8.7
"43","2018-05-18",8.31
"44","2018-05-21",8.86
"45","2018-05-22",9.463
"46","2018-05-23",9.3
"47","2018-05-24",9.2
"48","2018-05-25",9.03
"49","2018-05-29",9.23
"50","2018-05-30",9.25
"51","2018-05-31",8.99
"52","2018-06-01",8.79
"53","2018-06-04",8.99
"54","2018-06-05",8.89
"55","2018-06-06",8.83
"56","2018-06-07",8.75
"57","2018-06-08",8.66
"58","2018-06-11",8.88
"59","2018-06-12",8.71
"60","2018-06-13",8.5
"61","2018-06-14",8.19
"62","2018-06-15",7.61
"63","2018-06-18",7.27
"64","2018-06-19",7.43
"65","2018-06-20",8.47
"66","2018-06-21",8.21
"67","2018-06-22",8.73
"68","2018-06-25",8.41
"69","2018-06-26",8.59
"70","2018-06-27",8.31
"71","2018-06-28",8.59
"72","2018-06-29",8.89
"73","2018-07-02",8.51
"74","2018-07-03",8.76
"75","2018-07-05",8.65
"76","2018-07-06",8.75
"77","2018-07-09",8.93
"78","2018-07-10",8.9
"79","2018-07-11",9.22
"80","2018-07-12",9.34
"81","2018-07-13",9.37
"82","2018-07-16",9.2
"83","2018-07-17",9.325
"84","2018-07-18",9.23
"85","2018-07-19",9.265
"86","2018-07-20",9.2
"87","2018-07-23",9.07
"88","2018-07-24",8.937
"89","2018-07-25",8.8
"90","2018-07-26",9.07
"91","2018-07-27",9.07
"92","2018-07-30",8.92
"93","2018-07-31",8.95
"94","2018-08-01",8.82
"95","2018-08-02",8.9
"96","2018-08-03",9
"97","2018-08-06",9
"98","2018-08-07",9
"99","2018-08-08",8.61
"100","2018-08-09",8.303
"101","2018-08-10",7.917
"102","2018-08-13",8.61
"103","2018-08-14",8.27
"104","2018-08-15",7.86
"105","2018-08-16",8.25
"106","2018-08-17",8.4
"107","2018-08-20",7.9
"108","2018-08-21",8.01
"109","2018-08-22",7.8
"110","2018-08-23",7.9
"111","2018-08-24",8
"112","2018-08-27",7.96
"113","2018-08-28",7.8
"114","2018-08-29",7.79
"115","2018-08-30",7.784
"116","2018-08-31",7.74
"117","2018-09-04",7.7
"118","2018-09-05",7.79
"119","2018-09-06",7.54
"120","2018-09-07",7.65
"121","2018-09-10",8.22
"122","2018-09-11",8
"123","2018-09-12",8.18
"124","2018-09-13",8.18
"125","2018-09-14",8.5
"126","2018-09-17",8.1
"127","2018-09-18",8.025
"128","2018-09-19",8.1
"129","2018-09-20",8
"130","2018-09-21",7.2
"131","2018-09-24",7.8
"132","2018-09-25",7.54
"133","2018-09-26",7.5
"134","2018-09-27",7.45
"135","2018-09-28",7.55
"136","2018-10-01",7.66
"137","2018-10-02",7.43
"138","2018-10-03",7.59
"139","2018-10-04",7.18
"140","2018-10-05",7.19
"141","2018-10-08",7.15
"142","2018-10-09",7.02
"143","2018-10-10",6.99
"144","2018-10-11",6.86
"145","2018-10-12",7.09
"146","2018-10-15",6.86
"147","2018-10-16",6.86
"148","2018-10-17",6.905
"149","2018-10-18",6.912
"150","2018-10-19",6.86
"151","2018-10-22",7
"152","2018-10-23",6.95
"153","2018-10-24",6.74
"154","2018-10-25",6.4
"155","2018-10-26",6.02
"156","2018-10-29",6.12
"157","2018-10-30",6.066
"158","2018-10-31",6.17
"159","2018-11-01",6.144
"160","2018-11-02",5.95
"161","2018-11-05",5.75
"162","2018-11-06",5.76
"163","2018-11-07",5.8
"164","2018-11-08",4.812
"165","2018-11-09",4.968
"166","2018-11-12",5.44
"167","2018-11-13",5.5
"168","2018-11-14",5.15
