"","date","CI"
"1","2007-01-03",43.93
"2","2007-01-04",43.099998
"3","2007-01-05",42.796665
"4","2007-01-08",42.880001
"5","2007-01-09",42.650002
"6","2007-01-10",42.91
"7","2007-01-11",43.526669
"8","2007-01-12",43.59
"9","2007-01-16",43.586666
"10","2007-01-17",43.843334
"11","2007-01-18",43.150002
"12","2007-01-19",43.313332
"13","2007-01-22",43.016666
"14","2007-01-23",43.543335
"15","2007-01-24",43.183334
"16","2007-01-25",43.283333
"17","2007-01-26",43.316666
"18","2007-01-29",43.700001
"19","2007-01-30",44.110001
"20","2007-01-31",44.133335
"21","2007-02-01",44.863335
"22","2007-02-02",44.650002
"23","2007-02-05",45.169998
"24","2007-02-06",45.706665
"25","2007-02-07",46.650002
"26","2007-02-08",46.396667
"27","2007-02-09",45.996666
"28","2007-02-12",46.639999
"29","2007-02-13",47.040001
"30","2007-02-14",47.603333
"31","2007-02-15",47.966667
"32","2007-02-16",47.973331
"33","2007-02-20",48.516666
"34","2007-02-21",48.196667
"35","2007-02-22",48.333332
"36","2007-02-23",47.963333
"37","2007-02-26",47.533333
"38","2007-02-27",46.279999
"39","2007-02-28",47.5
"40","2007-03-01",47.563332
"41","2007-03-02",47.003334
"42","2007-03-05",46.369999
"43","2007-03-06",46.636665
"44","2007-03-07",46.619999
"45","2007-03-08",46.696667
"46","2007-03-09",46.650002
"47","2007-03-12",46.696667
"48","2007-03-13",45.689999
"49","2007-03-14",46.369999
"50","2007-03-15",46.959999
"51","2007-03-16",47.443333
"52","2007-03-19",47.98
"53","2007-03-20",48.299999
"54","2007-03-21",48.933334
"55","2007-03-22",48.580002
"56","2007-03-23",48.803333
"57","2007-03-26",49.033333
"58","2007-03-27",48.59
"59","2007-03-28",48.220001
"60","2007-03-29",47.25
"61","2007-03-30",47.553333
"62","2007-04-02",47.983334
"63","2007-04-03",48.900002
"64","2007-04-04",49.153332
"65","2007-04-05",49.206665
"66","2007-04-09",49.220001
"67","2007-04-10",49.513332
"68","2007-04-11",48.963333
"69","2007-04-12",48.743332
"70","2007-04-13",49.643333
"71","2007-04-16",50.453335
"72","2007-04-17",50.683334
"73","2007-04-18",50.663334
"74","2007-04-19",50.009998
"75","2007-04-20",50.756668
"76","2007-04-23",50.880001
"77","2007-04-24",50.919998
"78","2007-04-25",51.139999
"79","2007-04-26",51.263332
"80","2007-04-27",51.476665
"81","2007-04-30",51.863335
"82","2007-05-01",51.736668
"83","2007-05-02",51.279999
"84","2007-05-03",52.796665
"85","2007-05-04",53.633335
"86","2007-05-07",53.796665
"87","2007-05-08",54.503334
"88","2007-05-09",53.860001
"89","2007-05-10",53.906666
"90","2007-05-11",54.5
"91","2007-05-14",54.793335
"92","2007-05-15",54.580002
"93","2007-05-16",54.913334
"94","2007-05-17",55.223331
"95","2007-05-18",55.556667
"96","2007-05-21",54.516666
"97","2007-05-22",54.52
"98","2007-05-23",54.276669
"99","2007-05-24",54.346668
"100","2007-05-25",55.029999
"101","2007-05-29",56.333332
"102","2007-05-30",55.82
"103","2007-05-31",55.876667
"104","2007-06-01",56.166668
"105","2007-06-04",56.016666
"106","2007-06-05",56.060001
"107","2007-06-06",55.740002
"108","2007-06-07",54.720001
"109","2007-06-08",54.900002
"110","2007-06-11",54.779999
"111","2007-06-12",54.41
"112","2007-06-13",53.830002
"113","2007-06-14",53.91
"114","2007-06-15",54.459999
"115","2007-06-18",54.619999
"116","2007-06-19",55.299999
"117","2007-06-20",53.950001
"118","2007-06-21",54.049999
"119","2007-06-22",52.98
"120","2007-06-25",52.380001
"121","2007-06-26",52.220001
"122","2007-06-27",52.810001
"123","2007-06-28",52.759998
"124","2007-06-29",52.220001
"125","2007-07-02",53.869999
"126","2007-07-03",53.5
"127","2007-07-05",54.080002
"128","2007-07-06",54.279999
"129","2007-07-09",54.080002
"130","2007-07-10",53.200001
"131","2007-07-11",53.759998
"132","2007-07-12",54.419998
"133","2007-07-13",53.889999
"134","2007-07-16",53.91
"135","2007-07-17",53.73
"136","2007-07-18",54
"137","2007-07-19",53.52
"138","2007-07-20",52.369999
"139","2007-07-23",53.52
"140","2007-07-24",53.07
"141","2007-07-25",52.41
"142","2007-07-26",51.639999
"143","2007-07-27",50.189999
"144","2007-07-30",52.25
"145","2007-07-31",51.639999
"146","2007-08-01",48.889999
"147","2007-08-02",50.75
"148","2007-08-03",47.869999
"149","2007-08-06",48.799999
"150","2007-08-07",47.98
"151","2007-08-08",46.900002
"152","2007-08-09",45.110001
"153","2007-08-10",47.400002
"154","2007-08-13",48.490002
"155","2007-08-14",47.970001
"156","2007-08-15",47.240002
"157","2007-08-16",46.66
"158","2007-08-17",47.650002
"159","2007-08-20",48.75
"160","2007-08-21",48.650002
"161","2007-08-22",49.98
"162","2007-08-23",49.889999
"163","2007-08-24",50.66
"164","2007-08-27",49.580002
"165","2007-08-28",50.18
"166","2007-08-29",51.18
"167","2007-08-30",51.040001
"168","2007-08-31",51.68
"169","2007-09-04",52.34
"170","2007-09-05",52.200001
"171","2007-09-06",52.43
"172","2007-09-07",51.900002
"173","2007-09-10",51.43
"174","2007-09-11",52.220001
"175","2007-09-12",54.169998
"176","2007-09-13",54.049999
"177","2007-09-14",54.34
"178","2007-09-17",53.689999
"179","2007-09-18",53.82
"180","2007-09-19",53.41
"181","2007-09-20",51.869999
"182","2007-09-21",52.869999
"183","2007-09-24",52.540001
"184","2007-09-25",52.110001
"185","2007-09-26",53.5
"186","2007-09-27",53.419998
"187","2007-09-28",53.290001
"188","2007-10-01",54.48
"189","2007-10-02",53.650002
"190","2007-10-03",53.200001
"191","2007-10-04",52.130001
"192","2007-10-05",52.77
"193","2007-10-08",52.77
"194","2007-10-09",53.400002
"195","2007-10-10",53.580002
"196","2007-10-11",52.07
"197","2007-10-12",52.869999
"198","2007-10-15",51.68
