"","date","CULP"
"1","2007-01-03",5.2
"2","2007-01-04",5.35
"3","2007-01-05",5.52
"4","2007-01-08",5.46
"5","2007-01-09",5.65
"6","2007-01-10",5.44
"7","2007-01-11",5.66
"8","2007-01-12",6.2
"9","2007-01-16",6.2
"10","2007-01-17",6.26
"11","2007-01-18",6.46
"12","2007-01-19",6.46
"13","2007-01-22",6.43
"14","2007-01-23",6.68
"15","2007-01-24",6.85
"16","2007-01-25",6.3
"17","2007-01-26",6.21
"18","2007-01-29",6.3
"19","2007-01-30",6.49
"20","2007-01-31",6.45
"21","2007-02-01",6.51
"22","2007-02-02",6.6
"23","2007-02-05",6.54
"24","2007-02-06",6.61
"25","2007-02-07",6.58
"26","2007-02-08",6.6
"27","2007-02-09",6.74
"28","2007-02-12",6.55
"29","2007-02-13",6.32
"30","2007-02-14",6.58
"31","2007-02-15",6.73
"32","2007-02-16",6.73
"33","2007-02-20",6.77
"34","2007-02-21",6.78
"35","2007-02-22",6.78
"36","2007-02-23",6.83
"37","2007-02-26",6.84
"38","2007-02-27",6.85
"39","2007-02-28",6.61
"40","2007-03-01",6.61
"41","2007-03-02",6.77
"42","2007-03-05",6.92
"43","2007-03-06",6.88
"44","2007-03-07",6.79
"45","2007-03-08",7.21
"46","2007-03-09",7.33
"47","2007-03-12",6.74
"48","2007-03-13",7.01
"49","2007-03-14",6.83
"50","2007-03-15",7.07
"51","2007-03-16",7.22
"52","2007-03-19",7.19
"53","2007-03-20",7.25
"54","2007-03-21",7.27
"55","2007-03-22",7.32
"56","2007-03-23",7.28
"57","2007-03-26",7.33
"58","2007-03-27",7.36
"59","2007-03-28",7.25
"60","2007-03-29",7.08
"61","2007-03-30",7
"62","2007-04-02",7
"63","2007-04-03",7.01
"64","2007-04-04",6.8
"65","2007-04-05",7.14
"66","2007-04-09",7.35
"67","2007-04-10",7.21
"68","2007-04-11",7.22
"69","2007-04-12",7.21
"70","2007-04-13",7.45
"71","2007-04-16",7.69
"72","2007-04-17",8
"73","2007-04-18",7.95
"74","2007-04-19",8.04
"75","2007-04-20",8.09
"76","2007-04-23",8.21
"77","2007-04-24",8.33
"78","2007-04-25",8.25
"79","2007-04-26",8.3
"80","2007-04-27",8.5
"81","2007-04-30",9
"82","2007-05-01",8.85
"83","2007-05-02",8.9
"84","2007-05-03",8.99
"85","2007-05-04",9
"86","2007-05-07",9
"87","2007-05-08",9
"88","2007-05-09",9.09
"89","2007-05-10",8.64
"90","2007-05-11",8.69
"91","2007-05-14",8.56
"92","2007-05-15",8.52
"93","2007-05-16",8.38
"94","2007-05-17",8.29
"95","2007-05-18",8.35
"96","2007-05-21",8.43
"97","2007-05-22",8.54
"98","2007-05-23",8.65
"99","2007-05-24",8.7
"100","2007-05-25",8.99
"101","2007-05-29",8.99
"102","2007-05-30",8.87
"103","2007-05-31",8.8
"104","2007-06-01",9.03
"105","2007-06-04",9.08
"106","2007-06-05",8.81
"107","2007-06-06",8.93
"108","2007-06-07",8.82
"109","2007-06-08",8.65
"110","2007-06-11",8.87
"111","2007-06-12",8.5
"112","2007-06-13",8.31
"113","2007-06-14",8.55
"114","2007-06-15",8.69
"115","2007-06-18",8.62
"116","2007-06-19",9.2
"117","2007-06-20",8.42
"118","2007-06-21",8.83
"119","2007-06-22",8.54
"120","2007-06-25",8.75
"121","2007-06-26",8.83
"122","2007-06-27",8.97
"123","2007-06-28",8.89
"124","2007-06-29",9
"125","2007-07-02",9.01
"126","2007-07-03",9.05
"127","2007-07-05",10
"128","2007-07-06",10
"129","2007-07-09",10.25
"130","2007-07-10",10.06
"131","2007-07-11",9.91
"132","2007-07-12",9.94
"133","2007-07-13",9.95
"134","2007-07-16",10.18
"135","2007-07-17",10.69
"136","2007-07-18",10.63
"137","2007-07-19",10.9
"138","2007-07-20",11.08
"139","2007-07-23",11.79
"140","2007-07-24",11.93
"141","2007-07-25",12
"142","2007-07-26",11.6
"143","2007-07-27",11.3
"144","2007-07-30",11.94
"145","2007-07-31",12.04
"146","2007-08-01",11.87
"147","2007-08-02",11.9
"148","2007-08-03",11.88
"149","2007-08-06",11.81
"150","2007-08-07",10.93
"151","2007-08-08",9.5
"152","2007-08-09",9.07
"153","2007-08-10",10
"154","2007-08-13",9.96
"155","2007-08-14",9
"156","2007-08-15",9.28
"157","2007-08-16",8.75
"158","2007-08-17",9.43
"159","2007-08-20",9.38
"160","2007-08-21",9.99
"161","2007-08-22",10
"162","2007-08-23",9.97
"163","2007-08-24",10
"164","2007-08-27",9.6
"165","2007-08-28",9.65
"166","2007-08-29",9.8
"167","2007-08-30",10.24
"168","2007-08-31",10.2
"169","2007-09-04",9.79
"170","2007-09-05",10.24
"171","2007-09-06",10.23
"172","2007-09-07",10.2
"173","2007-09-10",9.62
"174","2007-09-11",10.03
"175","2007-09-12",9.8
"176","2007-09-13",9.46
"177","2007-09-14",9.55
"178","2007-09-17",9.61
"179","2007-09-18",9.69
"180","2007-09-19",10.25
"181","2007-09-20",10.52
"182","2007-09-21",10.54
"183","2007-09-24",10.11
"184","2007-09-25",10.02
"185","2007-09-26",9.82
"186","2007-09-27",10.41
"187","2007-09-28",10.38
"188","2007-10-01",10.11
"189","2007-10-02",10.27
"190","2007-10-03",10.33
"191","2007-10-04",10.25
"192","2007-10-05",10.38
"193","2007-10-08",10.42
"194","2007-10-09",10.75
"195","2007-10-10",10.56
"196","2007-10-11",10.15
"197","2007-10-12",10.03
"198","2007-10-15",10.15
"199","2007-10-16",10.19
"200","2007-10-17",10.62
"201","2007-10-18",10.37
"202","2007-10-19",10
"203","2007-10-22",9.67
"204","2007-10-23",9.94
"205","2007-10-24",9.95
"206","2007-10-25",9.97
"207","2007-10-26",9.52
"208","2007-10-29",9.57
"209","2007-10-30",9.1
"210","2007-10-31",8.8
"211","2007-11-01",9.74
"212","2007-11-02",9.12
"213","2007-11-05",9.2
"214","2007-11-06",9.46
"215","2007-11-07",8.65
"216","2007-11-08",8.98
"217","2007-11-09",8.75
"218","2007-11-12",8.9
"219","2007-11-13",8.97
"220","2007-11-14",8.78
"221","2007-11-15",8.79
"222","2007-11-16",9.01
"223","2007-11-19",7.8
"224","2007-11-20",8
"225","2007-11-21",8.63
"226","2007-11-23",9.1
"227","2007-11-26",8.46
"228","2007-11-27",8.49
"229","2007-11-28",8
"230","2007-11-29",8.46
"231","2007-11-30",8.32
"232","2007-12-03",8.4
"233","2007-12-04",8.39
"234","2007-12-05",8.29
"235","2007-12-06",8.44
"236","2007-12-07",8.5
"237","2007-12-10",8.3
"238","2007-12-11",7.83
"239","2007-12-12",8.27
"240","2007-12-13",7.83
"241","2007-12-14",7.96
"242","2007-12-17",7.81
"243","2007-12-18",7.96
"244","2007-12-19",7.92
"245","2007-12-20",8.14
"246","2007-12-21",7.71
"247","2007-12-24",6.73
"248","2007-12-26",7.09
"249","2007-12-27",7.47
"250","2007-12-28",7.26
"251","2007-12-31",6.96
"252","2008-01-02",7.56
"253","2008-01-03",7.85
"254","2008-01-04",8
"255","2008-01-07",7.01
"256","2008-01-08",7.3
"257","2008-01-09",7.1
"258","2008-01-10",7.35
"259","2008-01-11",7
"260","2008-01-14",7.14
"261","2008-01-15",7.19
"262","2008-01-16",6.98
"263","2008-01-17",6.62
"264","2008-01-18",6.54
