"","date","GRA"
"1","2007-01-03",20.030001
"2","2007-01-04",20.139999
"3","2007-01-05",20
"4","2007-01-08",19.83
"5","2007-01-09",19.82
"6","2007-01-10",19.98
"7","2007-01-11",20.309999
"8","2007-01-12",20
"9","2007-01-16",20.049999
"10","2007-01-17",20.450001
"11","2007-01-18",20.82
"12","2007-01-19",21.120001
"13","2007-01-22",21.139999
"14","2007-01-23",21.1
"15","2007-01-24",21.27
"16","2007-01-25",21.5
"17","2007-01-26",21.790001
"18","2007-01-29",21.57
"19","2007-01-30",21.559999
"20","2007-01-31",21.700001
"21","2007-02-01",22.049999
"22","2007-02-02",22.059999
"23","2007-02-05",22.15
"24","2007-02-06",23.75
"25","2007-02-07",23.030001
"26","2007-02-08",23.83
"27","2007-02-09",23.49
"28","2007-02-12",23.32
"29","2007-02-13",23.57
"30","2007-02-14",23.780001
"31","2007-02-15",23.67
"32","2007-02-16",24.67
"33","2007-02-20",24.43
"34","2007-02-21",25.75
"35","2007-02-22",25.5
"36","2007-02-23",26.27
"37","2007-02-26",26.1
"38","2007-02-27",24.16
"39","2007-02-28",24.639999
"40","2007-03-01",24.780001
"41","2007-03-02",23.68
"42","2007-03-05",22.66
"43","2007-03-06",23.15
"44","2007-03-07",23.32
"45","2007-03-08",23.5
"46","2007-03-09",24.290001
"47","2007-03-12",24.5
"48","2007-03-13",23.15
"49","2007-03-14",23.33
"50","2007-03-15",23.5
"51","2007-03-16",22.93
"52","2007-03-19",23.040001
"53","2007-03-20",23.24
"54","2007-03-21",24.110001
"55","2007-03-22",24.43
"56","2007-03-23",24.379999
"57","2007-03-26",26.280001
"58","2007-03-27",26.530001
"59","2007-03-28",26.83
"60","2007-03-29",26.75
"61","2007-03-30",26.42
"62","2007-04-02",27.07
"63","2007-04-03",27.9
"64","2007-04-04",28.780001
"65","2007-04-05",28.83
"66","2007-04-09",28.959999
"67","2007-04-10",29.309999
"68","2007-04-11",28.799999
"69","2007-04-12",29.35
"70","2007-04-13",29.48
"71","2007-04-16",29.92
"72","2007-04-17",29.059999
"73","2007-04-18",28.299999
"74","2007-04-19",28
"75","2007-04-20",28.4
"76","2007-04-23",28.02
"77","2007-04-24",27.83
"78","2007-04-25",28.93
"79","2007-04-26",28.040001
"80","2007-04-27",27.280001
"81","2007-04-30",26.6
"82","2007-05-01",27.139999
"83","2007-05-02",28.43
"84","2007-05-03",27.66
"85","2007-05-04",27.280001
"86","2007-05-07",27.530001
"87","2007-05-08",27.280001
"88","2007-05-09",27.469999
"89","2007-05-10",27
"90","2007-05-11",27.24
"91","2007-05-14",26.68
"92","2007-05-15",26.02
"93","2007-05-16",26.139999
"94","2007-05-17",26.110001
"95","2007-05-18",26.01
"96","2007-05-21",27.030001
"97","2007-05-22",26.85
"98","2007-05-23",26.51
"99","2007-05-24",25.58
"100","2007-05-25",26.33
"101","2007-05-29",26.620001
"102","2007-05-30",27.18
"103","2007-05-31",27.07
"104","2007-06-01",26.99
"105","2007-06-04",27.08
"106","2007-06-05",27.110001
"107","2007-06-06",26.52
"108","2007-06-07",25.700001
"109","2007-06-08",26.16
"110","2007-06-11",25.620001
"111","2007-06-12",24.969999
"112","2007-06-13",25.219999
"113","2007-06-14",25.25
"114","2007-06-15",26.620001
"115","2007-06-18",26.35
"116","2007-06-19",26.290001
"117","2007-06-20",25.799999
"118","2007-06-21",25.719999
"119","2007-06-22",25.43
"120","2007-06-25",25.24
"121","2007-06-26",24.459999
"122","2007-06-27",25.24
"123","2007-06-28",25.540001
"124","2007-06-29",24.49
"125","2007-07-02",24.5
"126","2007-07-03",24.049999
"127","2007-07-05",24.51
"128","2007-07-06",24.75
"129","2007-07-09",24.469999
"130","2007-07-10",23.83
"131","2007-07-11",24.26
"132","2007-07-12",24.85
"133","2007-07-13",24.940001
"134","2007-07-16",24.5
"135","2007-07-17",24.719999
"136","2007-07-18",24.34
"137","2007-07-19",24.57
"138","2007-07-20",23.620001
"139","2007-07-23",23.4
"140","2007-07-24",22.379999
"141","2007-07-25",21.469999
"142","2007-07-26",20.16
"143","2007-07-27",18.860001
"144","2007-07-30",20.1
"145","2007-07-31",20.65
"146","2007-08-01",20.73
"147","2007-08-02",20.700001
"148","2007-08-03",20.030001
"149","2007-08-06",19.75
"150","2007-08-07",20.24
"151","2007-08-08",20.91
"152","2007-08-09",20.620001
"153","2007-08-10",20.620001
"154","2007-08-13",21.040001
"155","2007-08-14",20.190001
"156","2007-08-15",19.85
"157","2007-08-16",20.040001
"158","2007-08-17",21.02
