"","date","MDU"
"1","2007-01-03",25.58
"2","2007-01-04",25.59
"3","2007-01-05",25.24
"4","2007-01-08",24.860001
"5","2007-01-09",24.9
"6","2007-01-10",24.799999
"7","2007-01-11",24.799999
"8","2007-01-12",25.01
"9","2007-01-16",25.190001
"10","2007-01-17",25.120001
"11","2007-01-18",25.1
"12","2007-01-19",25.299999
"13","2007-01-22",25.110001
"14","2007-01-23",25.139999
"15","2007-01-24",25.49
"16","2007-01-25",25.24
"17","2007-01-26",25.299999
"18","2007-01-29",25.35
"19","2007-01-30",26.01
"20","2007-01-31",25.85
"21","2007-02-01",26.209999
"22","2007-02-02",26.24
"23","2007-02-05",26.18
"24","2007-02-06",26.379999
"25","2007-02-07",26.370001
"26","2007-02-08",26.24
"27","2007-02-09",26.209999
"28","2007-02-12",26.139999
"29","2007-02-13",26.43
"30","2007-02-14",26.27
"31","2007-02-15",26.08
"32","2007-02-16",26.09
"33","2007-02-20",26.73
"34","2007-02-21",26.780001
"35","2007-02-22",26.809999
"36","2007-02-23",27.1
"37","2007-02-26",27.33
"38","2007-02-27",26.66
"39","2007-02-28",26.4
"40","2007-03-01",26.42
"41","2007-03-02",26.15
"42","2007-03-05",25.6
"43","2007-03-06",25.9
"44","2007-03-07",26.040001
"45","2007-03-08",26.040001
"46","2007-03-09",26.030001
"47","2007-03-12",26.200001
"48","2007-03-13",25.73
"49","2007-03-14",25.9
"50","2007-03-15",26.110001
"51","2007-03-16",26.17
"52","2007-03-19",26.43
"53","2007-03-20",26.76
"54","2007-03-21",27.370001
"55","2007-03-22",27.940001
"56","2007-03-23",27.99
"57","2007-03-26",28.110001
"58","2007-03-27",28.48
"59","2007-03-28",28.719999
"60","2007-03-29",28.75
"61","2007-03-30",28.74
"62","2007-04-02",29.09
"63","2007-04-03",29.139999
"64","2007-04-04",29.219999
"65","2007-04-05",29.209999
"66","2007-04-09",29.610001
"67","2007-04-10",30.1
"68","2007-04-11",30.1
"69","2007-04-12",29.93
"70","2007-04-13",29.719999
"71","2007-04-16",30.32
"72","2007-04-17",30.66
"73","2007-04-18",30.67
"74","2007-04-19",30.41
"75","2007-04-20",30.969999
"76","2007-04-23",30.82
"77","2007-04-24",30.82
