"","date","APM"
"1","2018-12-18",14.35
"2","2018-12-19",13.51
"3","2018-12-20",15.3
"4","2018-12-21",15.15
"5","2018-12-24",15.698
"6","2018-12-26",15.68
"7","2018-12-27",15.69
"8","2018-12-28",15.35
"9","2018-12-31",15.18
"10","2019-01-02",15.64
"11","2019-01-03",15.67
"12","2019-01-04",15.67
"13","2019-01-07",15.65
"14","2019-01-08",15
"15","2019-01-09",14.7
"16","2019-01-10",15
"17","2019-01-11",14.82
"18","2019-01-14",14.65
"19","2019-01-15",15.16
"20","2019-01-16",15.18
"21","2019-01-17",15.18
"22","2019-01-18",14.46
"23","2019-01-22",14
"24","2019-01-23",14.87
"25","2019-01-24",14.6
"26","2019-01-25",14.24
"27","2019-01-28",13.95
"28","2019-01-29",13.96
"29","2019-01-30",14.25
"30","2019-01-31",15.19
"31","2019-02-01",15.21
"32","2019-02-04",14.9
"33","2019-02-05",15.28
"34","2019-02-06",15.2
"35","2019-02-07",15.13
"36","2019-02-08",14.92
"37","2019-02-11",14.5
"38","2019-02-12",14.98
"39","2019-02-13",14.94
"40","2019-02-14",14.83
"41","2019-02-15",14.9
"42","2019-02-19",14.83
"43","2019-02-20",14.8
"44","2019-02-21",14.65
"45","2019-02-22",14.78
"46","2019-02-25",14.72
"47","2019-02-26",14.72
"48","2019-02-27",14.73
"49","2019-02-28",14.75
"50","2019-03-01",15.01
"51","2019-03-04",14.75
"52","2019-03-05",14.75
"53","2019-03-06",14.7
"54","2019-03-07",14.38
"55","2019-03-08",14.32
"56","2019-03-11",13.92
"57","2019-03-12",13.64
"58","2019-03-13",13.32
"59","2019-03-14",13.1
"60","2019-03-15",12.91
"61","2019-03-18",13.06
"62","2019-03-19",13.058
"63","2019-03-20",13.2
"64","2019-03-21",13.14
"65","2019-03-22",13.17
"66","2019-03-25",13.1
"67","2019-03-26",13.22
"68","2019-03-27",13.25
"69","2019-03-28",13.27
"70","2019-03-29",13.46
"71","2019-04-01",13.5
"72","2019-04-02",13.39
"73","2019-04-03",13.86
"74","2019-04-04",13.82
"75","2019-04-05",13.75
"76","2019-04-08",13.7
"77","2019-04-09",13.62
"78","2019-04-10",13.67
"79","2019-04-11",13.5
"80","2019-04-12",13.38
"81","2019-04-15",13.3
"82","2019-04-16",13.54
"83","2019-04-17",13.56
"84","2019-04-18",13.4
"85","2019-04-22",13.41
"86","2019-04-23",13.45
"87","2019-04-24",13.79
"88","2019-04-25",14.48
"89","2019-04-26",13.75
"90","2019-04-29",13.98
"91","2019-04-30",14.28
"92","2019-05-01",14.849
"93","2019-05-02",15.91
"94","2019-05-03",17.25
"95","2019-05-06",17.85
"96","2019-05-07",19.77
"97","2019-05-08",21.190001
"98","2019-05-09",21
"99","2019-05-10",21.51
"100","2019-05-13",20.620001
"101","2019-05-14",21.51
"102","2019-05-15",22.01
"103","2019-05-16",23.379999
"104","2019-05-17",24.74
"105","2019-05-20",24.01
"106","2019-05-21",24.030001
"107","2019-05-22",24.700001
"108","2019-05-23",26.5
"109","2019-05-24",28.57
"110","2019-05-28",29.5
"111","2019-05-29",29.1
"112","2019-05-30",29.309
"113","2019-05-31",31.598
"114","2019-06-03",32.310001
"115","2019-06-04",32.549999
"116","2019-06-05",32.299999
"117","2019-06-06",31.6
"118","2019-06-07",32.279999
"119","2019-06-10",29.709999
"120","2019-06-11",29.790001
"121","2019-06-12",24.299999
"122","2019-06-13",22.950001
"123","2019-06-14",22.42
"124","2019-06-17",23.799999
"125","2019-06-18",23.99
"126","2019-06-19",25.562
"127","2019-06-20",25.698
"128","2019-06-21",25.700001
"129","2019-06-24",26.1
"130","2019-06-25",26.299999
"131","2019-06-26",26.450001
"132","2019-06-27",25.5
"133","2019-06-28",25.120001
"134","2019-07-01",24
"135","2019-07-02",24.49
"136","2019-07-03",23.780001
"137","2019-07-05",23.75
"138","2019-07-08",23.059999
"139","2019-07-09",23.75
"140","2019-07-10",22.940001
"141","2019-07-11",23.049999
"142","2019-07-12",23.200001
"143","2019-07-15",23.219999
"144","2019-07-16",22.49
"145","2019-07-17",23.4
"146","2019-07-18",22.4
"147","2019-07-19",21.950001
"148","2019-07-22",22.35
"149","2019-07-23",21.948
"150","2019-07-24",21.92
"151","2019-07-25",21.790001
"152","2019-07-26",22.379999
"153","2019-07-29",21.948
"154","2019-07-30",22.24
"155","2019-07-31",21.85
"156","2019-08-01",20.379
"157","2019-08-02",19.84
"158","2019-08-05",15
"159","2019-08-06",18.865999
"160","2019-08-07",17.493
"161","2019-08-08",17.549999
"162","2019-08-09",17
"163","2019-08-12",17
"164","2019-08-13",15.9
"165","2019-08-14",15.98
"166","2019-08-15",16.450001
"167","2019-08-16",16.290001
"168","2019-08-19",16.129
"169","2019-08-20",16
"170","2019-08-21",16
"171","2019-08-22",16.198
"172","2019-08-23",16
"173","2019-08-26",16.047001
"174","2019-08-27",16.087999
"175","2019-08-28",16.1
"176","2019-08-29",16.25
"177","2019-08-30",16.49
"178","2019-09-03",16.459999
"179","2019-09-04",15.928
"180","2019-09-05",16.1
"181","2019-09-06",15.85
"182","2019-09-09",16.5
"183","2019-09-10",16.719999
"184","2019-09-11",16.74
"185","2019-09-12",16.5
"186","2019-09-13",16.450001
"187","2019-09-16",16.959999
"188","2019-09-17",16.985001
"189","2019-09-18",16.85
"190","2019-09-19",16.780001
"191","2019-09-20",16.74
"192","2019-09-23",16.280001
"193","2019-09-24",16.139999
"194","2019-09-25",16.440001
"195","2019-09-26",16.02
"196","2019-09-27",15.911
"197","2019-09-30",16.51
"198","2019-10-01",15.94
"199","2019-10-02",16.18
"200","2019-10-03",15.58
"201","2019-10-04",15.984
"202","2019-10-07",16.5
"203","2019-10-08",16.254999
"204","2019-10-09",16.040001
"205","2019-10-10",16.514
"206","2019-10-11",15.98
"207","2019-10-14",15.8
"208","2019-10-15",16.1
"209","2019-10-16",16.045
"210","2019-10-17",15.95
"211","2019-10-18",15.815
"212","2019-10-21",15.99
"213","2019-10-22",16
"214","2019-10-23",15.87
"215","2019-10-24",16
"216","2019-10-25",15.85
"217","2019-10-28",15.729
"218","2019-10-29",15.73
"219","2019-10-30",15.76
"220","2019-10-31",15.89
"221","2019-11-01",15.78
"222","2019-11-04",15.79
"223","2019-11-05",15.76
"224","2019-11-06",15.75
"225","2019-11-07",15.775
"226","2019-11-08",15.758
"227","2019-11-11",15.83
"228","2019-11-12",15.68
"229","2019-11-13",15.68
"230","2019-11-14",15.71
"231","2019-11-15",15.85
"232","2019-11-18",15.9
"233","2019-11-19",15.78
"234","2019-11-20",15.77
"235","2019-11-21",15.77
"236","2019-11-22",15.58
"237","2019-11-25",15.34
"238","2019-11-26",15.694
"239","2019-11-27",15.48
"240","2019-11-29",15.48
"241","2019-12-02",15.28
"242","2019-12-03",15.2
"243","2019-12-04",15.19
"244","2019-12-05",15.18
"245","2019-12-06",15.18
"246","2019-12-09",15.08
"247","2019-12-10",15.21
"248","2019-12-11",15.263
"249","2019-12-12",15.05
"250","2019-12-13",15.23
"251","2019-12-16",15.1
"252","2019-12-17",13.75
"253","2019-12-18",14.46
"254","2019-12-19",14.11
"255","2019-12-20",14.25
"256","2019-12-23",14.35
"257","2019-12-24",14.45
"258","2019-12-26",14.5
"259","2019-12-27",14.3
"260","2019-12-30",14.1
"261","2019-12-31",15.85
"262","2020-01-02",13.66
"263","2020-01-03",14.73
"264","2020-01-06",14.75
"265","2020-01-07",14.81
"266","2020-01-08",14.75
"267","2020-01-09",14.25
"268","2020-01-10",14.18
"269","2020-01-13",14.4
"270","2020-01-14",14.18
"271","2020-01-15",14.45
"272","2020-01-16",14.07
"273","2020-01-17",14.42
"274","2020-01-21",14.773
"275","2020-01-22",14.71
"276","2020-01-23",14.89
"277","2020-01-24",15.07
"278","2020-01-27",14.78
"279","2020-01-28",14.63
"280","2020-01-29",14.99
"281","2020-01-30",14.88
"282","2020-01-31",14.54
"283","2020-02-03",14.57
"284","2020-02-04",14.9
"285","2020-02-05",14.71
"286","2020-02-06",14.55
"287","2020-02-07",14.527
"288","2020-02-10",15.7
"289","2020-02-11",15.31
"290","2020-02-12",15.77
"291","2020-02-13",16
"292","2020-02-14",15.34
"293","2020-02-18",15.46
"294","2020-02-19",15.72
"295","2020-02-20",14.75
