"","date","EMKR"
"1","2007-01-03",22.68
"2","2007-01-04",23.280001
"3","2007-01-05",22.52
"4","2007-01-08",21.440001
"5","2007-01-09",18.120001
"6","2007-01-10",17.48
"7","2007-01-11",16.4
"8","2007-01-12",17.24
"9","2007-01-16",16.879999
"10","2007-01-17",16.280001
"11","2007-01-18",16.040001
"12","2007-01-19",16.16
"13","2007-01-22",15.96
"14","2007-01-23",15.6
"15","2007-01-24",16.040001
"16","2007-01-25",16.08
"17","2007-01-26",16.76
"18","2007-01-29",16.360001
"19","2007-01-30",16.360001
"20","2007-01-31",16.32
"21","2007-02-01",16.52
"22","2007-02-02",16.799999
"23","2007-02-05",16.719999
"24","2007-02-06",16.719999
"25","2007-02-07",16.639999
"26","2007-02-08",16.440001
"27","2007-02-09",16.040001
"28","2007-02-12",15.6
"29","2007-02-13",15.8
"30","2007-02-14",16.08
"31","2007-02-15",15.8
"32","2007-02-16",16.08
"33","2007-02-20",16.48
"34","2007-02-21",16.440001
"35","2007-02-22",16.959999
"36","2007-02-23",18.84
"37","2007-02-26",19.6
"38","2007-02-27",18.52
"39","2007-02-28",17.92
"40","2007-03-01",18.360001
"41","2007-03-02",17.639999
"42","2007-03-05",18.08
"43","2007-03-06",19
"44","2007-03-07",18.84
"45","2007-03-08",19.440001
"46","2007-03-09",19.52
"47","2007-03-12",20.879999
"48","2007-03-13",19.360001
"49","2007-03-14",19.52
"50","2007-03-15",19.16
"51","2007-03-16",18.92
"52","2007-03-19",19.24
"53","2007-03-20",18.799999
"54","2007-03-21",19.719999
"55","2007-03-22",20.08
"56","2007-03-23",20.08
"57","2007-03-26",20.6
"58","2007-03-27",19.92
"59","2007-03-28",19.92
"60","2007-03-29",19.799999
"61","2007-03-30",20
"62","2007-04-02",19.639999
"63","2007-04-03",19.76
"64","2007-04-04",19.4
"65","2007-04-05",19.52
"66","2007-04-09",19.16
"67","2007-04-10",18.440001
"68","2007-04-11",18.280001
"69","2007-04-12",19.76
"70","2007-04-13",19.4
"71","2007-04-16",19.559999
"72","2007-04-17",20
"73","2007-04-18",20.32
"74","2007-04-19",20.200001
"75","2007-04-20",20.32
"76","2007-04-23",20.879999
"77","2007-04-24",20.719999
"78","2007-04-25",20.639999
"79","2007-04-26",21.92
"80","2007-04-27",20.32
"81","2007-04-30",19.799999
"82","2007-05-01",19.84
"83","2007-05-02",20.24
"84","2007-05-03",20.68
"85","2007-05-04",20.360001
"86","2007-05-07",20.08
"87","2007-05-08",20.08
"88","2007-05-09",20.08
"89","2007-05-10",18.879999
"90","2007-05-11",19.360001
"91","2007-05-14",19.52
"92","2007-05-15",18.6
"93","2007-05-16",17.84
"94","2007-05-17",17.559999
"95","2007-05-18",18.280001
"96","2007-05-21",18.639999
"97","2007-05-22",18.6
"98","2007-05-23",19.08
"99","2007-05-24",18.879999
"100","2007-05-25",18.76
"101","2007-05-29",18.799999
"102","2007-05-30",19
"103","2007-05-31",19.4
"104","2007-06-01",20.08
"105","2007-06-04",19.48
"106","2007-06-05",20
"107","2007-06-06",20.120001
"108","2007-06-07",19.92
"109","2007-06-08",19.799999
"110","2007-06-11",19.559999
"111","2007-06-12",19.08
"112","2007-06-13",19.32
"113","2007-06-14",19.200001
"114","2007-06-15",19.6
"115","2007-06-18",20.040001
"116","2007-06-19",19.559999
"117","2007-06-20",20.48
"118","2007-06-21",21
"119","2007-06-22",20.84
"120","2007-06-25",21.32
"121","2007-06-26",21.48
"122","2007-06-27",21.48
"123","2007-06-28",21.32
"124","2007-06-29",21.799999
"125","2007-07-02",22.52
"126","2007-07-03",23.4
"127","2007-07-05",23.6
"128","2007-07-06",23.68
"129","2007-07-09",24.24
"130","2007-07-10",23.959999
"131","2007-07-11",23
