"","date","GDRX"
"1","2020-09-23",50.5
"2","2020-09-24",46.700001
"3","2020-09-25",52.040001
"4","2020-09-28",56.790001
"5","2020-09-29",56
"6","2020-09-30",55.599998
"7","2020-10-01",50.049999
"8","2020-10-02",48.75
"9","2020-10-05",52.970001
"10","2020-10-06",57.16
"11","2020-10-07",56.459999
"12","2020-10-08",54.959999
"13","2020-10-09",53.639999
"14","2020-10-12",53.5
"15","2020-10-13",52.130001
"16","2020-10-14",51.264999
"17","2020-10-15",51.560001
"18","2020-10-16",53.02
"19","2020-10-19",50.139999
"20","2020-10-20",49.049999
"21","2020-10-21",51.09
"22","2020-10-22",54
"23","2020-10-23",52.5
"24","2020-10-26",49.599998
"25","2020-10-27",49.16
"26","2020-10-28",48.259998
"27","2020-10-29",49.779999
"28","2020-10-30",48.389999
"29","2020-11-02",46.830002
"30","2020-11-03",47.5
"31","2020-11-04",50.5
"32","2020-11-05",50.669998
"33","2020-11-06",50.240002
"34","2020-11-09",52.310001
"35","2020-11-10",50.349998
"36","2020-11-11",51.099998
"37","2020-11-12",47.77
"38","2020-11-13",47.349998
"39","2020-11-16",46.720001
"40","2020-11-17",36.209999
"41","2020-11-18",33.759998
"42","2020-11-19",38
"43","2020-11-20",38.799999
"44","2020-11-23",39.07
"45","2020-11-24",38.044998
"46","2020-11-25",38.57
"47","2020-11-27",38.200001
