"","date","POST"
"1","2012-01-27",26.950001
"2","2012-01-30",26.950001
"3","2012-01-31",26.950001
"4","2012-02-01",26.950001
"5","2012-02-02",26.950001
"6","2012-02-03",26.950001
"7","2012-02-06",26.889999
"8","2012-02-07",26.18
"9","2012-02-08",26.02
"10","2012-02-09",26.52
"11","2012-02-10",26.639999
"12","2012-02-13",27.719999
"13","2012-02-14",29.700001
"14","2012-02-15",30.940001
"15","2012-02-16",30.969999
"16","2012-02-17",30.799999
"17","2012-02-21",30.35
"18","2012-02-22",30.610001
"19","2012-02-23",31.370001
"20","2012-02-24",31.35
"21","2012-02-27",31.450001
"22","2012-02-28",31.5
"23","2012-02-29",31.139999
"24","2012-03-01",31.49
"25","2012-03-02",31.459999
"26","2012-03-05",31.450001
"27","2012-03-06",30.25
"28","2012-03-07",30.18
"29","2012-03-08",29.91
"30","2012-03-09",30.67
"31","2012-03-12",30.02
"32","2012-03-13",30.889999
"33","2012-03-14",30.129999
"34","2012-03-15",29.98
"35","2012-03-16",30.629999
"36","2012-03-19",30.299999
"37","2012-03-20",29.780001
"38","2012-03-21",29.92
"39","2012-03-22",30.42
"40","2012-03-23",31
"41","2012-03-26",31.639999
"42","2012-03-27",32.080002
"43","2012-03-28",32.209999
"44","2012-03-29",32.240002
"45","2012-03-30",32.93
"46","2012-04-02",33.98
"47","2012-04-03",33.25
"48","2012-04-04",32.880001
"49","2012-04-05",32.700001
"50","2012-04-09",32.240002
"51","2012-04-10",31.49
"52","2012-04-11",31.440001
"53","2012-04-12",31.360001
"54","2012-04-13",32.169998
"55","2012-04-16",31.98
"56","2012-04-17",32
"57","2012-04-18",31.709999
"58","2012-04-19",31.700001
"59","2012-04-20",31.889999
"60","2012-04-23",31.389999
"61","2012-04-24",31.540001
"62","2012-04-25",32.529999
"63","2012-04-26",31.01
"64","2012-04-27",30
"65","2012-04-30",29.75
"66","2012-05-01",29.75
"67","2012-05-02",29.280001
"68","2012-05-03",29.84
"69","2012-05-04",29.959999
"70","2012-05-07",30.76
"71","2012-05-08",31.02
"72","2012-05-09",30.82
"73","2012-05-10",31.049999
"74","2012-05-11",30.74
"75","2012-05-14",30.190001
"76","2012-05-15",30.139999
"77","2012-05-16",29.99
"78","2012-05-17",29.26
"79","2012-05-18",29.540001
"80","2012-05-21",29.610001
"81","2012-05-22",29.16
"82","2012-05-23",28.940001
"83","2012-05-24",28
"84","2012-05-25",29.75
"85","2012-05-29",31.25
"86","2012-05-30",30.389999
"87","2012-05-31",30.07
"88","2012-06-01",29.309999
"89","2012-06-04",29.389999
"90","2012-06-05",30.469999
"91","2012-06-06",30.98
"92","2012-06-07",30.85
"93","2012-06-08",30.99
"94","2012-06-11",30.83
"95","2012-06-12",30.870001
"96","2012-06-13",30.950001
"97","2012-06-14",31.139999
"98","2012-06-15",32.389999
"99","2012-06-18",32.700001
"100","2012-06-19",31.860001
"101","2012-06-20",31.26
"102","2012-06-21",31.709999
"103","2012-06-22",32.490002
"104","2012-06-25",31.549999
"105","2012-06-26",31.77
"106","2012-06-27",30.889999
"107","2012-06-28",30.85
"108","2012-06-29",30.75
"109","2012-07-02",32.209999
"110","2012-07-03",32.610001
"111","2012-07-05",32.919998
"112","2012-07-06",32.330002
"113","2012-07-09",31.959999
"114","2012-07-10",31.9
"115","2012-07-11",30.9
"116","2012-07-12",30.200001
"117","2012-07-13",31.18
"118","2012-07-16",30.32
"119","2012-07-17",30.620001
"120","2012-07-18",30.99
"121","2012-07-19",29.959999
"122","2012-07-20",30.01
"123","2012-07-23",29.629999
"124","2012-07-24",29.459999
"125","2012-07-25",29.450001
"126","2012-07-26",29.870001
"127","2012-07-27",30.450001
"128","2012-07-30",30.290001
"129","2012-07-31",29.6
"130","2012-08-01",28.58
"131","2012-08-02",28.620001
"132","2012-08-03",29.049999
"133","2012-08-06",29.620001
"134","2012-08-07",31.34
"135","2012-08-08",31.549999
"136","2012-08-09",31.76
"137","2012-08-10",31
"138","2012-08-13",29.700001
"139","2012-08-14",29.5
"140","2012-08-15",30.01
"141","2012-08-16",30.1
"142","2012-08-17",30.07
"143","2012-08-20",30.17
"144","2012-08-21",30.549999
"145","2012-08-22",30.23
"146","2012-08-23",29.870001
"147","2012-08-24",30.450001
"148","2012-08-27",31.26
"149","2012-08-28",30.879999
"150","2012-08-29",30.82
"151","2012-08-30",29.85
"152","2012-08-31",29.85
"153","2012-09-04",30.690001
"154","2012-09-05",30.040001
"155","2012-09-06",30.049999
"156","2012-09-07",29.9
"157","2012-09-10",29.82
"158","2012-09-11",30.15
"159","2012-09-12",30.26
"160","2012-09-13",31.870001
"161","2012-09-14",30.58
"162","2012-09-17",30.26
"163","2012-09-18",30.51
"164","2012-09-19",30.65
"165","2012-09-20",30.51
"166","2012-09-21",30.4
"167","2012-09-24",29.66
"168","2012-09-25",28.82
"169","2012-09-26",29.49
"170","2012-09-27",30.629999
"171","2012-09-28",30.059999
"172","2012-10-01",30.1
"173","2012-10-02",30.049999
"174","2012-10-03",30.1
"175","2012-10-04",30.52
"176","2012-10-05",30.5
"177","2012-10-08",30.459999
