"","date","ORPH"
"1","2020-09-29",9.71
"2","2020-09-30",10.33
"3","2020-10-01",10.62
"4","2020-10-02",10.81
"5","2020-10-05",10.8
"6","2020-10-06",10.54
"7","2020-10-07",10.65
"8","2020-10-08",10.68
"9","2020-10-09",10.94
"10","2020-10-12",10.94
"11","2020-10-13",10.85
"12","2020-10-14",11.02
"13","2020-10-15",10.94
"14","2020-10-16",10.81
"15","2020-10-19",10.69
"16","2020-10-20",10.69
"17","2020-10-21",10.3
"18","2020-10-22",10.3
"19","2020-10-23",10.07
"20","2020-10-26",10.65
"21","2020-10-27",10.39
"22","2020-10-28",9.67
"23","2020-10-29",9.5
"24","2020-10-30",9.27
"25","2020-11-02",9.11
"26","2020-11-03",9.01
"27","2020-11-04",9.34
"28","2020-11-05",9.56
"29","2020-11-06",9.49
"30","2020-11-09",9.714
"31","2020-11-10",9.896
"32","2020-11-11",9.992
"33","2020-11-12",9.72
"34","2020-11-13",9.86
"35","2020-11-16",10.23
"36","2020-11-17",9.58
"37","2020-11-18",9.86
"38","2020-11-19",9.78
"39","2020-11-20",9.6
"40","2020-11-23",9.56
"41","2020-11-24",9.37
"42","2020-11-25",9.41
"43","2020-11-27",9.73
