"","date","LONE"
"1","2009-09-08",11
"2","2009-09-09",12.5
"3","2009-09-10",12
"4","2009-09-11",12.5
"5","2009-09-14",13
"6","2009-09-15",13
"7","2009-09-16",13
"8","2009-09-17",13
"9","2009-09-18",13
"10","2009-09-21",13
"11","2009-09-22",13
"12","2009-09-23",13
"13","2009-09-24",12
"14","2009-09-25",12
"15","2009-09-28",12
"16","2009-09-29",12
"17","2009-09-30",12
"18","2009-10-01",12
"19","2009-10-02",10.5
"20","2009-10-05",10.5
"21","2009-10-06",12.5
"22","2009-10-07",12.5
"23","2009-10-08",12.5
"24","2009-10-09",12.5
"25","2009-10-12",13
"26","2009-10-13",13.5
"27","2009-10-14",13.5
"28","2009-10-15",13.5
"29","2009-10-16",13.5
"30","2009-10-19",13.5
"31","2009-10-20",13.5
"32","2009-10-21",13.5
"33","2009-10-22",13.5
"34","2009-10-23",13.5
"35","2009-10-26",13.5
"36","2009-10-27",13.5
"37","2009-10-28",15
"38","2009-10-29",15
"39","2009-10-30",15
"40","2009-11-02",15
"41","2009-11-03",15
"42","2009-11-04",15
"43","2009-11-05",15
"44","2009-11-06",14
"45","2009-11-09",14
"46","2009-11-10",14
"47","2009-11-11",12
"48","2009-11-12",12
"49","2009-11-13",12
"50","2009-11-16",12
"51","2009-11-17",12
"52","2009-11-18",12
"53","2009-11-19",12
"54","2009-11-20",14.5
"55","2009-11-23",14.5
"56","2009-11-24",14.5
"57","2009-11-25",14.5
"58","2009-11-27",14.5
"59","2009-11-30",14.5
"60","2009-12-01",14.5
"61","2009-12-02",14.5
"62","2009-12-03",14.5
"63","2009-12-04",10
"64","2009-12-07",10
"65","2009-12-08",10
"66","2009-12-09",10
"67","2009-12-10",10
"68","2009-12-11",10
"69","2009-12-14",10
"70","2009-12-15",9.5
"71","2009-12-16",11
"72","2009-12-17",11
"73","2009-12-18",11
"74","2009-12-21",10.5
"75","2009-12-22",10.5
"76","2009-12-23",10.5
"77","2009-12-24",10.5
