"","date","INSU"
"1","2019-06-04",9.85
"2","2019-06-05",9.85
"3","2019-06-06",9.85
"4","2019-06-07",9.85
"5","2019-06-10",9.85
"6","2019-06-11",9.85
"7","2019-06-12",9.825
"8","2019-06-13",9.825
"9","2019-06-14",9.825
"10","2019-06-17",9.825
"11","2019-06-18",9.825
"12","2019-06-19",9.825
"13","2019-06-20",9.825
"14","2019-06-21",9.825
"15","2019-06-24",9.85
"16","2019-06-25",9.85
"17","2019-06-26",9.85
"18","2019-06-27",9.85
"19","2019-06-28",9.85
"20","2019-07-01",9.85
"21","2019-07-02",9.85
"22","2019-07-03",9.85
"23","2019-07-05",9.85
"24","2019-07-08",9.85
"25","2019-07-09",9.85
"26","2019-07-10",9.85
"27","2019-07-11",9.85
"28","2019-07-12",9.85
"29","2019-07-15",9.85
"30","2019-07-16",9.85
"31","2019-07-17",9.85
"32","2019-07-18",9.85
"33","2019-07-19",9.85
"34","2019-07-22",9.85
"35","2019-07-23",9.85
"36","2019-07-24",9.85
"37","2019-07-25",9.85
"38","2019-07-26",9.85
"39","2019-07-29",9.85
"40","2019-07-30",9.85
"41","2019-07-31",9.85
"42","2019-08-01",9.85
"43","2019-08-02",9.85
"44","2019-08-05",9.85
"45","2019-08-06",9.85
"46","2019-08-07",9.85
"47","2019-08-08",9.95
"48","2019-08-09",9.95
"49","2019-08-12",9.95
"50","2019-08-13",9.95
"51","2019-08-14",9.9
"52","2019-08-15",9.9
"53","2019-08-16",9.9
"54","2019-08-19",9.88
"55","2019-08-20",9.89
"56","2019-08-21",9.95
"57","2019-08-22",9.95
"58","2019-08-23",9.95
"59","2019-08-26",9.95
"60","2019-08-27",9.95
"61","2019-08-28",9.95
"62","2019-08-29",9.95
"63","2019-08-30",9.95
"64","2019-09-03",9.95
"65","2019-09-04",9.95
"66","2019-09-05",9.95
"67","2019-09-06",9.95
"68","2019-09-09",9.95
"69","2019-09-10",9.95
"70","2019-09-11",9.95
"71","2019-09-12",9.95
"72","2019-09-13",9.95
"73","2019-09-16",9.95
"74","2019-09-17",9.95
"75","2019-09-18",9.95
"76","2019-09-19",9.95
"77","2019-09-20",9.95
"78","2019-09-23",9.95
"79","2019-09-24",9.95
"80","2019-09-25",9.96
"81","2019-09-26",9.96
"82","2019-09-27",9.96
"83","2019-09-30",9.96
"84","2019-10-01",9.87
"85","2019-10-02",9.88
"86","2019-10-03",9.88
"87","2019-10-04",9.88
"88","2019-10-07",9.88
"89","2019-10-08",9.88
"90","2019-10-09",9.88
"91","2019-10-10",9.88
"92","2019-10-11",9.88
"93","2019-10-14",9.88
"94","2019-10-15",9.88
"95","2019-10-16",9.88
"96","2019-10-17",9.88
"97","2019-10-18",9.88
"98","2019-10-21",9.88
"99","2019-10-22",9.88
"100","2019-10-23",9.88
"101","2019-10-24",9.92
"102","2019-10-25",9.92
"103","2019-10-28",9.91
"104","2019-10-29",9.91
"105","2019-10-30",9.91
"106","2019-10-31",9.91
"107","2019-11-01",9.91
"108","2019-11-04",9.91
"109","2019-11-05",9.91
"110","2019-11-06",9.91
"111","2019-11-07",9.91
"112","2019-11-08",9.91
"113","2019-11-11",9.91
"114","2019-11-12",9.91
"115","2019-11-13",9.91
"116","2019-11-14",9.91
"117","2019-11-15",9.91
"118","2019-11-18",9.91
"119","2019-11-19",9.91
"120","2019-11-20",9.91
