"","date","ARMK"
"1","2013-12-12",22.700001
"2","2013-12-13",23.83
"3","2013-12-16",23.700001
"4","2013-12-17",23.459999
"5","2013-12-18",24
"6","2013-12-19",23.700001
"7","2013-12-20",23.92
"8","2013-12-23",24.17
"9","2013-12-24",24.389999
"10","2013-12-26",25.5
"11","2013-12-27",25.98
"12","2013-12-30",25.809999
"13","2013-12-31",26.219999
"14","2014-01-02",25.370001
"15","2014-01-03",25.549999
"16","2014-01-06",24.389999
"17","2014-01-07",24.35
"18","2014-01-08",24.35
"19","2014-01-09",24.66
"20","2014-01-10",24.780001
"21","2014-01-13",24.98
"22","2014-01-14",24.889999
"23","2014-01-15",24.83
"24","2014-01-16",24.82
"25","2014-01-17",24.51
"26","2014-01-21",24.879999
"27","2014-01-22",24.91
"28","2014-01-23",24.98
"29","2014-01-24",23.940001
"30","2014-01-27",23.639999
"31","2014-01-28",24.450001
"32","2014-01-29",24.200001
"33","2014-01-30",24.709999
"34","2014-01-31",24.709999
"35","2014-02-03",24.809999
"36","2014-02-04",24.99
"37","2014-02-05",26.1
"38","2014-02-06",25.85
"39","2014-02-07",25.610001
"40","2014-02-10",26.450001
"41","2014-02-11",26.719999
"42","2014-02-12",27.639999
"43","2014-02-13",28
"44","2014-02-14",28.049999
"45","2014-02-18",28.370001
"46","2014-02-19",28.379999
"47","2014-02-20",28.299999
"48","2014-02-21",28.25
"49","2014-02-24",28.26
"50","2014-02-25",28.459999
"51","2014-02-26",28.52
"52","2014-02-27",28.209999
"53","2014-02-28",28.16
"54","2014-03-03",27.76
"55","2014-03-04",28.459999
"56","2014-03-05",28.5
"57","2014-03-06",28.540001
"58","2014-03-07",29.190001
"59","2014-03-10",29.559999
"60","2014-03-11",28.91
"61","2014-03-12",28.629999
"62","2014-03-13",28.24
"63","2014-03-14",27.379999
"64","2014-03-17",27.450001
"65","2014-03-18",27.950001
"66","2014-03-19",28.02
"67","2014-03-20",28.870001
"68","2014-03-21",29.889999
"69","2014-03-24",29.110001
"70","2014-03-25",28.33
"71","2014-03-26",27.870001
"72","2014-03-27",28.59
"73","2014-03-28",28.48
"74","2014-03-31",28.92
"75","2014-04-01",28.690001
"76","2014-04-02",28.879999
"77","2014-04-03",28.68
"78","2014-04-04",27.860001
"79","2014-04-07",27.540001
"80","2014-04-08",27.219999
"81","2014-04-09",27.950001
"82","2014-04-10",27.370001
"83","2014-04-11",27.219999
"84","2014-04-14",27.690001
"85","2014-04-15",27.9
"86","2014-04-16",27.889999
"87","2014-04-17",28.040001
"88","2014-04-21",28.190001
"89","2014-04-22",28.48
"90","2014-04-23",28.389999
"91","2014-04-24",28.23
"92","2014-04-25",27.98
"93","2014-04-28",27.77
"94","2014-04-29",27.959999
"95","2014-04-30",28.190001
"96","2014-05-01",28.059999
"97","2014-05-02",28.120001
"98","2014-05-05",28.17
"99","2014-05-06",28.040001
"100","2014-05-07",27.52
"101","2014-05-08",26.77
