"","date","KO"
"1","2007-01-03",24.290001
"2","2007-01-04",24.299999
"3","2007-01-05",24.129999
"4","2007-01-08",24.285
"5","2007-01-09",24.305
"6","2007-01-10",24.34
"7","2007-01-11",24.370001
"8","2007-01-12",24.275
"9","2007-01-16",24.25
"10","2007-01-17",24.299999
"11","2007-01-18",24.174999
"12","2007-01-19",24.129999
"13","2007-01-22",24.014999
"14","2007-01-23",24.059999
"15","2007-01-24",24.065001
"16","2007-01-25",23.969999
"17","2007-01-26",23.915001
"18","2007-01-29",23.855
"19","2007-01-30",23.905001
"20","2007-01-31",23.940001
"21","2007-02-01",24.049999
"22","2007-02-02",24.120001
"23","2007-02-05",23.950001
"24","2007-02-06",24.025
"25","2007-02-07",24.014999
"26","2007-02-08",23.93
"27","2007-02-09",23.879999
"28","2007-02-12",23.959999
"29","2007-02-13",24.105
"30","2007-02-14",23.940001
"31","2007-02-15",23.924999
"32","2007-02-16",23.934999
"33","2007-02-20",23.889999
"34","2007-02-21",23.785
"35","2007-02-22",23.65
"36","2007-02-23",23.629999
"37","2007-02-26",23.860001
"38","2007-02-27",23.195
"39","2007-02-28",23.34
"40","2007-03-01",23.26
"41","2007-03-02",22.945
"42","2007-03-05",23.145
"43","2007-03-06",23.465
"44","2007-03-07",23.375
"45","2007-03-08",23.575001
"46","2007-03-09",23.785
"47","2007-03-12",23.975
"48","2007-03-13",23.530001
"49","2007-03-14",23.52
"50","2007-03-15",23.540001
"51","2007-03-16",23.605
"52","2007-03-19",23.665001
"53","2007-03-20",23.809999
"54","2007-03-21",24.129999
"55","2007-03-22",24.125
"56","2007-03-23",24.025
"57","2007-03-26",24.075001
"58","2007-03-27",24.01
"59","2007-03-28",23.955
"60","2007-03-29",24.055
"61","2007-03-30",24
"62","2007-04-02",24.26
"63","2007-04-03",24.495001
"64","2007-04-04",24.73
"65","2007-04-05",24.76
"66","2007-04-09",24.815001
"67","2007-04-10",25.040001
"68","2007-04-11",24.82
"69","2007-04-12",24.834999
"70","2007-04-13",24.940001
"71","2007-04-16",25.135
"72","2007-04-17",25.785
"73","2007-04-18",25.83
"74","2007-04-19",25.875
"75","2007-04-20",26.045
"76","2007-04-23",25.825001
"77","2007-04-24",25.855
"78","2007-04-25",25.870001
"79","2007-04-26",26.040001
"80","2007-04-27",26.030001
"81","2007-04-30",26.094999
"82","2007-05-01",26.315001
"83","2007-05-02",26.355
"84","2007-05-03",26.455
"85","2007-05-04",26.605
"86","2007-05-07",26.805
"87","2007-05-08",26.535
"88","2007-05-09",26.555
"89","2007-05-10",26.24
"90","2007-05-11",26.344999
"91","2007-05-14",26.299999
"92","2007-05-15",26.23
"93","2007-05-16",26.370001
"94","2007-05-17",26.1
"95","2007-05-18",26.315001
"96","2007-05-21",25.955
"97","2007-05-22",25.74
"98","2007-05-23",25.665001
"99","2007-05-24",25.620001
"100","2007-05-25",25.945
"101","2007-05-29",26.09
"102","2007-05-30",26.525
"103","2007-05-31",26.495001
"104","2007-06-01",26.4
"105","2007-06-04",26.334999
"106","2007-06-05",26.16
"107","2007-06-06",26
"108","2007-06-07",25.690001
"109","2007-06-08",25.834999
"110","2007-06-11",25.815001
"111","2007-06-12",25.57
"112","2007-06-13",25.68
"113","2007-06-14",25.655001
"114","2007-06-15",25.790001
"115","2007-06-18",25.879999
"116","2007-06-19",25.695
"117","2007-06-20",25.745001
