"","date","NPTN"
"1","2011-02-02",13.25
"2","2011-02-03",14
"3","2011-02-04",17.309999
"4","2011-02-07",17.200001
"5","2011-02-08",16.76
"6","2011-02-09",17.93
"7","2011-02-10",18.290001
"8","2011-02-11",20.549999
"9","2011-02-14",18.75
"10","2011-02-15",18.299999
"11","2011-02-16",18.68
"12","2011-02-17",20.34
"13","2011-02-18",19.66
"14","2011-02-22",18
"15","2011-02-23",16.870001
"16","2011-02-24",16.889999
"17","2011-02-25",18.110001
"18","2011-02-28",18.35
"19","2011-03-01",18.200001
"20","2011-03-02",17.9
"21","2011-03-03",18.02
"22","2011-03-04",15.58
"23","2011-03-07",13.77
"24","2011-03-08",13.42
"25","2011-03-09",10.5
"26","2011-03-10",10.41
"27","2011-03-11",10.56
"28","2011-03-14",9.88
"29","2011-03-15",9.44
"30","2011-03-16",10.05
"31","2011-03-17",9.71
"32","2011-03-18",9.49
"33","2011-03-21",9.18
"34","2011-03-22",8.36
"35","2011-03-23",8.6
"36","2011-03-24",9.12
"37","2011-03-25",9.23
"38","2011-03-28",9.3
"39","2011-03-29",9.32
"40","2011-03-30",10.25
"41","2011-03-31",11.31
"42","2011-04-01",11.6
"43","2011-04-04",11.52
"44","2011-04-05",11.36
"45","2011-04-06",11.93
"46","2011-04-07",11.94
"47","2011-04-08",11.52
"48","2011-04-11",11.09
"49","2011-04-12",10.05
"50","2011-04-13",9.94
"51","2011-04-14",10.01
"52","2011-04-15",10.06
"53","2011-04-18",9.88
"54","2011-04-19",9.76
"55","2011-04-20",10.32
"56","2011-04-21",10.09
"57","2011-04-25",10.26
"58","2011-04-26",10.34
"59","2011-04-27",10.63
"60","2011-04-28",10.59
"61","2011-04-29",10.84
"62","2011-05-02",11.04
"63","2011-05-03",10.55
"64","2011-05-04",10.37
"65","2011-05-05",10.65
"66","2011-05-06",10.07
"67","2011-05-09",9.61
"68","2011-05-10",9.7
"69","2011-05-11",9.16
"70","2011-05-12",9.28
"71","2011-05-13",9.07
"72","2011-05-16",8.98
"73","2011-05-17",8.99
"74","2011-05-18",9.06
"75","2011-05-19",9.07
"76","2011-05-20",9.49
"77","2011-05-23",9.03
"78","2011-05-24",9.06
"79","2011-05-25",9.08
"80","2011-05-26",9.1
"81","2011-05-27",9.11
"82","2011-05-31",9.53
"83","2011-06-01",9.5
"84","2011-06-02",9.16
"85","2011-06-03",9.17
"86","2011-06-06",9.09
"87","2011-06-07",9.02
"88","2011-06-08",8.89
"89","2011-06-09",8.5
"90","2011-06-10",8.36
"91","2011-06-13",8.33
"92","2011-06-14",7.75
"93","2011-06-15",7.04
"94","2011-06-16",6.93
"95","2011-06-17",6.75
"96","2011-06-20",6.48
"97","2011-06-21",6.45
"98","2011-06-22",6.48
"99","2011-06-23",6.6
"100","2011-06-24",6.54
"101","2011-06-27",6.96
"102","2011-06-28",6.87
"103","2011-06-29",6.66
"104","2011-06-30",6.92
"105","2011-07-01",7.22
"106","2011-07-05",7.03
"107","2011-07-06",7.14
"108","2011-07-07",7.99
"109","2011-07-08",7.72
"110","2011-07-11",7.51
"111","2011-07-12",7.28
"112","2011-07-13",7.88
"113","2011-07-14",7.23
"114","2011-07-15",7.16
"115","2011-07-18",7.17
"116","2011-07-19",7.38
"117","2011-07-20",7.31
"118","2011-07-21",7.34
"119","2011-07-22",7.39
"120","2011-07-25",7.26
"121","2011-07-26",7.3
"122","2011-07-27",7.01
"123","2011-07-28",7.18
"124","2011-07-29",7.38
"125","2011-08-01",7.34
"126","2011-08-02",7
"127","2011-08-03",6.98
"128","2011-08-04",6.65
"129","2011-08-05",6.59
"130","2011-08-08",5.81
"131","2011-08-09",6.17
"132","2011-08-10",6
"133","2011-08-11",6.43
"134","2011-08-12",6.35
"135","2011-08-15",6.91
"136","2011-08-16",6.7
"137","2011-08-17",6.65
"138","2011-08-18",6.27
"139","2011-08-19",6.08
"140","2011-08-22",5.79
"141","2011-08-23",5.79
"142","2011-08-24",5.78
"143","2011-08-25",5.73
"144","2011-08-26",5.7
"145","2011-08-29",6.43
"146","2011-08-30",6.44
"147","2011-08-31",6.1
"148","2011-09-01",6.46
"149","2011-09-02",6.37
"150","2011-09-06",6.14
"151","2011-09-07",6.41
"152","2011-09-08",6.49
"153","2011-09-09",6.27
"154","2011-09-12",6.45
"155","2011-09-13",7.12
"156","2011-09-14",7.24
"157","2011-09-15",7.14
"158","2011-09-16",7.86
"159","2011-09-19",7.95
"160","2011-09-20",7.99
"161","2011-09-21",7.73
"162","2011-09-22",6.96
"163","2011-09-23",7.24
"164","2011-09-26",6.89
"165","2011-09-27",6.98
"166","2011-09-28",6.61
"167","2011-09-29",6.56
"168","2011-09-30",6.88
"169","2011-10-03",6.16
"170","2011-10-04",6.15
"171","2011-10-05",6.65
"172","2011-10-06",5.88
"173","2011-10-07",5.53
"174","2011-10-10",5.69
"175","2011-10-11",5.96
"176","2011-10-12",5.97
"177","2011-10-13",5.87
"178","2011-10-14",6.09
"179","2011-10-17",5.66
"180","2011-10-18",5.74
"181","2011-10-19",5.6
"182","2011-10-20",5.45
"183","2011-10-21",5.68
"184","2011-10-24",5.8
"185","2011-10-25",5.59
"186","2011-10-26",5.51
"187","2011-10-27",5.51
"188","2011-10-28",5.45
"189","2011-10-31",5.23
"190","2011-11-01",4.98
"191","2011-11-02",5.09
"192","2011-11-03",5
"193","2011-11-04",4.05
"194","2011-11-07",3.75
"195","2011-11-08",3.85
"196","2011-11-09",4.1
"197","2011-11-10",4.23
"198","2011-11-11",4.28
"199","2011-11-14",4.39
"200","2011-11-15",4.23
"201","2011-11-16",4.22
"202","2011-11-17",4.23
"203","2011-11-18",4.43
"204","2011-11-21",4.31
"205","2011-11-22",4.29
"206","2011-11-23",4.25
"207","2011-11-25",4.26
"208","2011-11-28",4.57
"209","2011-11-29",4.29
"210","2011-11-30",4.74
"211","2011-12-01",4.36
"212","2011-12-02",4.65
"213","2011-12-05",4.92
"214","2011-12-06",5
"215","2011-12-07",4.98
"216","2011-12-08",4.82
"217","2011-12-09",4.9
"218","2011-12-12",4.94
"219","2011-12-13",4.88
"220","2011-12-14",4.97
"221","2011-12-15",4.94
