"","date","UN"
"1","2007-01-03",27.43
"2","2007-01-04",27.209999
"3","2007-01-05",26.82
"4","2007-01-08",26.540001
"5","2007-01-09",26.629999
"6","2007-01-10",26.27
"7","2007-01-11",26.32
"8","2007-01-12",26.93
"9","2007-01-16",27
"10","2007-01-17",27.219999
"11","2007-01-18",27.049999
"12","2007-01-19",27.25
"13","2007-01-22",26.92
"14","2007-01-23",26.74
"15","2007-01-24",26.77
"16","2007-01-25",26.42
"17","2007-01-26",26.360001
"18","2007-01-29",26.52
"19","2007-01-30",26.73
"20","2007-01-31",26.690001
"21","2007-02-01",27
"22","2007-02-02",27.059999
"23","2007-02-05",26.92
"24","2007-02-06",27.209999
"25","2007-02-07",27.049999
"26","2007-02-08",26.49
"27","2007-02-09",26.309999
"28","2007-02-12",25.940001
"29","2007-02-13",26.34
"30","2007-02-14",26.76
"31","2007-02-15",26.85
"32","2007-02-16",26.65
"33","2007-02-20",26.85
"34","2007-02-21",26.370001
"35","2007-02-22",26.23
"36","2007-02-23",26.549999
"37","2007-02-26",26.57
"38","2007-02-27",26.040001
"39","2007-02-28",25.98
"40","2007-03-01",25.66
"41","2007-03-02",25.4
"42","2007-03-05",25.040001
"43","2007-03-06",25.559999
"44","2007-03-07",25.6
"45","2007-03-08",25.620001
"46","2007-03-09",25.91
"47","2007-03-12",26.450001
"48","2007-03-13",26.1
"49","2007-03-14",26.5
"50","2007-03-15",27.65
"51","2007-03-16",28.459999
"52","2007-03-19",28.440001
"53","2007-03-20",28.440001
"54","2007-03-21",28.82
"55","2007-03-22",28.67
"56","2007-03-23",28.940001
"57","2007-03-26",28.530001
"58","2007-03-27",28.75
"59","2007-03-28",28.43
"60","2007-03-29",28.9
"61","2007-03-30",29.219999
"62","2007-04-02",29.18
"63","2007-04-03",29.34
"64","2007-04-04",29.440001
"65","2007-04-05",29.459999
"66","2007-04-09",29.290001
"67","2007-04-10",29.620001
"68","2007-04-11",29.370001
"69","2007-04-12",29.43
"70","2007-04-13",29.99
"71","2007-04-16",30.190001
"72","2007-04-17",30.120001
"73","2007-04-18",30.02
"74","2007-04-19",30.02
"75","2007-04-20",30.450001
"76","2007-04-23",30.4
"77","2007-04-24",30.49
"78","2007-04-25",30.92
"79","2007-04-26",30.91
"80","2007-04-27",30.6
"81","2007-04-30",30.5
"82","2007-05-01",30.4
"83","2007-05-02",30.290001
"84","2007-05-03",31.23
"85","2007-05-04",31.440001
"86","2007-05-07",31.67
"87","2007-05-08",32.220001
"88","2007-05-09",32.290001
"89","2007-05-10",31.4
"90","2007-05-11",31.57
"91","2007-05-14",31.370001
"92","2007-05-15",31.07
"93","2007-05-16",30.68
"94","2007-05-17",29.959999
"95","2007-05-18",30.059999
"96","2007-05-21",29.719999
"97","2007-05-22",29.809999
"98","2007-05-23",29.83
"99","2007-05-24",29.74
"100","2007-05-25",29.709999
"101","2007-05-29",29.809999
"102","2007-05-30",29.889999
"103","2007-05-31",29.799999
"104","2007-06-01",29.93
"105","2007-06-04",30.040001
"106","2007-06-05",29.65
"107","2007-06-06",29.25
"108","2007-06-07",28.719999
"109","2007-06-08",28.959999
"110","2007-06-11",29.059999
"111","2007-06-12",29.08
"112","2007-06-13",29.25
"113","2007-06-14",29.530001
"114","2007-06-15",30.07
"115","2007-06-18",30.139999
"116","2007-06-19",29.780001
"117","2007-06-20",29.43
"118","2007-06-21",29.719999
"119","2007-06-22",30.110001
"120","2007-06-25",30.07
"121","2007-06-26",30.65
"122","2007-06-27",31.049999
"123","2007-06-28",30.92
"124","2007-06-29",31.02
"125","2007-07-02",31.4
"126","2007-07-03",31.389999
"127","2007-07-05",31.059999
"128","2007-07-06",31.16
"129","2007-07-09",31.370001
"130","2007-07-10",31.91
"131","2007-07-11",32.970001
"132","2007-07-12",33.049999
"133","2007-07-13",33.02
"134","2007-07-16",32.700001
"135","2007-07-17",32.580002
