"","date","BY"
"1","2017-06-30",20.049999
"2","2017-07-03",20.1
"3","2017-07-05",20.200001
"4","2017-07-06",20.18
"5","2017-07-07",20.27
"6","2017-07-10",20.35
"7","2017-07-11",20.26
"8","2017-07-12",20.860001
"9","2017-07-13",20.799999
"10","2017-07-14",20.780001
"11","2017-07-17",20.85
"12","2017-07-18",21.129999
"13","2017-07-19",21.07
"14","2017-07-20",20.32
"15","2017-07-21",20.719999
"16","2017-07-24",20.85
"17","2017-07-25",20.540001
"18","2017-07-26",20.59
"19","2017-07-27",20.52
"20","2017-07-28",20.450001
"21","2017-07-31",20.16
"22","2017-08-01",20.049999
"23","2017-08-02",20.73
"24","2017-08-03",20.459999
"25","2017-08-04",21.129999
"26","2017-08-07",21
"27","2017-08-08",20.52
"28","2017-08-09",20.459999
"29","2017-08-10",20.26
"30","2017-08-11",20.32
"31","2017-08-14",20.690001
"32","2017-08-15",20.780001
"33","2017-08-16",21.15
"34","2017-08-17",20.67
"35","2017-08-18",20.74
"36","2017-08-21",20.83
"37","2017-08-22",20.879999
"38","2017-08-23",20.469999
"39","2017-08-24",21.02
"40","2017-08-25",21.01
"41","2017-08-28",21.07
"42","2017-08-29",20.889999
"43","2017-08-30",21.24
"44","2017-08-31",21.129999
"45","2017-09-01",21.5
"46","2017-09-05",21.190001
"47","2017-09-06",21.120001
"48","2017-09-07",21.030001
"49","2017-09-08",21.25
"50","2017-09-11",21.200001
"51","2017-09-12",21.57
"52","2017-09-13",21.540001
"53","2017-09-14",21.049999
"54","2017-09-15",20.129999
"55","2017-09-18",20.379999
"56","2017-09-19",20.629999
"57","2017-09-20",21.040001
"58","2017-09-21",21.17
"59","2017-09-22",20.91
"60","2017-09-25",21.4
"61","2017-09-26",21.440001
"62","2017-09-27",21.01
"63","2017-09-28",21.09
"64","2017-09-29",21.26
"65","2017-10-02",21.27
"66","2017-10-03",20.75
"67","2017-10-04",20.280001
"68","2017-10-05",20.32
"69","2017-10-06",20.389999
"70","2017-10-09",20.540001
"71","2017-10-10",20.6
"72","2017-10-11",20.690001
"73","2017-10-12",20.690001
"74","2017-10-13",20.58
"75","2017-10-16",20.6
"76","2017-10-17",20.469999
"77","2017-10-18",20.49
"78","2017-10-19",20.57
"79","2017-10-20",20.67
"80","2017-10-23",20.559999
"81","2017-10-24",20.6
"82","2017-10-25",20.58
"83","2017-10-26",20.67
"84","2017-10-27",20.16
"85","2017-10-30",19.92
"86","2017-10-31",20.049999
"87","2017-11-01",19.93
"88","2017-11-02",19.959999
"89","2017-11-03",20.030001
"90","2017-11-06",19.93
"91","2017-11-07",19.82
"92","2017-11-08",19.559999
"93","2017-11-09",19.49
"94","2017-11-10",19.530001
"95","2017-11-13",19.620001
"96","2017-11-14",19.559999
"97","2017-11-15",19.450001
"98","2017-11-16",19.57
"99","2017-11-17",19.51
"100","2017-11-20",19.91
"101","2017-11-21",19.940001
"102","2017-11-22",20.23
