"","date","AMWL"
"1","2020-09-17",23.07
"2","2020-09-18",22.91
"3","2020-09-21",22.799999
"4","2020-09-22",24.700001
"5","2020-09-23",28.5
"6","2020-09-24",27.719999
"7","2020-09-25",28
"8","2020-09-28",28.309999
"9","2020-09-29",28.1
"10","2020-09-30",29.639999
"11","2020-10-01",29.24
"12","2020-10-02",28.370001
"13","2020-10-05",33
"14","2020-10-06",35.860001
"15","2020-10-07",38.740002
"16","2020-10-08",35.84
"17","2020-10-09",32.650002
"18","2020-10-12",34.709999
"19","2020-10-13",34.810001
"20","2020-10-14",33.810001
"21","2020-10-15",33.700001
"22","2020-10-16",35.540001
"23","2020-10-19",34.880001
"24","2020-10-20",32.810001
"25","2020-10-21",32.669998
"26","2020-10-22",32.419998
"27","2020-10-23",32.52
"28","2020-10-26",30.040001
"29","2020-10-27",30.700001
"30","2020-10-28",29.02
"31","2020-10-29",27.25
"32","2020-10-30",25.809999
"33","2020-11-02",25.1
"34","2020-11-03",26
"35","2020-11-04",29.379999
"36","2020-11-05",29.5
"37","2020-11-06",30.41
"38","2020-11-09",28.67
"39","2020-11-10",26.76
"40","2020-11-11",27.01
"41","2020-11-12",29.040001
"42","2020-11-13",23.799999
"43","2020-11-16",22.08
"44","2020-11-17",21.66
"45","2020-11-18",22.57
"46","2020-11-19",23.780001
"47","2020-11-20",23.92
"48","2020-11-23",22.75
"49","2020-11-24",23.370001
"50","2020-11-25",24.709999
"51","2020-11-27",26.09
