"","date","THG"
"1","2007-01-03",49.110001
"2","2007-01-04",48.669998
"3","2007-01-05",48
"4","2007-01-08",47.57
"5","2007-01-09",47.48
"6","2007-01-10",47.110001
"7","2007-01-11",47.189999
"8","2007-01-12",47.110001
"9","2007-01-16",47.040001
"10","2007-01-17",46.52
"11","2007-01-18",46.330002
"12","2007-01-19",46.5
"13","2007-01-22",46.349998
"14","2007-01-23",46.869999
"15","2007-01-24",47.619999
"16","2007-01-25",47
"17","2007-01-26",47.09
"18","2007-01-29",48.02
"19","2007-01-30",48.93
"20","2007-01-31",48.049999
"21","2007-02-01",48.169998
"22","2007-02-02",48.25
"23","2007-02-05",48.27
"24","2007-02-06",48.68
"25","2007-02-07",48.57
"26","2007-02-08",48.279999
"27","2007-02-09",47.970001
"28","2007-02-12",48.220001
"29","2007-02-13",48.509998
"30","2007-02-14",48.740002
"31","2007-02-15",48.66
"32","2007-02-16",48.52
"33","2007-02-20",49
"34","2007-02-21",48.84
"35","2007-02-22",48.75
"36","2007-02-23",48.459999
"37","2007-02-26",48.439999
"38","2007-02-27",46.779999
"39","2007-02-28",46.970001
"40","2007-03-01",46.849998
"41","2007-03-02",46.240002
"42","2007-03-05",44.860001
"43","2007-03-06",45.029999
"44","2007-03-07",45.18
"45","2007-03-08",45.41
"46","2007-03-09",45.279999
"47","2007-03-12",45.529999
"48","2007-03-13",44.700001
"49","2007-03-14",45.02
"50","2007-03-15",45.18
"51","2007-03-16",44.959999
"52","2007-03-19",45.110001
"53","2007-03-20",45.389999
"54","2007-03-21",46.389999
"55","2007-03-22",46.52
"56","2007-03-23",46.560001
"57","2007-03-26",46.810001
"58","2007-03-27",46.52
"59","2007-03-28",46.549999
"60","2007-03-29",46.439999
"61","2007-03-30",46.119999
"62","2007-04-02",46.52
"63","2007-04-03",45.450001
"64","2007-04-04",44.459999
"65","2007-04-05",44.599998
"66","2007-04-09",44.849998
"67","2007-04-10",44.759998
"68","2007-04-11",44.740002
"69","2007-04-12",45.099998
"70","2007-04-13",45.299999
"71","2007-04-16",45.91
"72","2007-04-17",45.110001
"73","2007-04-18",44.889999
"74","2007-04-19",44.869999
"75","2007-04-20",45
"76","2007-04-23",45.07
"77","2007-04-24",45.419998
"78","2007-04-25",46.41
"79","2007-04-26",46.419998
"80","2007-04-27",46.380001
"81","2007-04-30",45.959999
"82","2007-05-01",48.029999
"83","2007-05-02",47.610001
"84","2007-05-03",47.759998
"85","2007-05-04",47.959999
"86","2007-05-07",49.73
"87","2007-05-08",49.43
"88","2007-05-09",49.509998
"89","2007-05-10",48.93
"90","2007-05-11",49.099998
"91","2007-05-14",48.709999
"92","2007-05-15",48.639999
"93","2007-05-16",48.849998
"94","2007-05-17",48.900002
"95","2007-05-18",48.939999
"96","2007-05-21",49.029999
"97","2007-05-22",49.259998
"98","2007-05-23",49.599998
"99","2007-05-24",48.240002
"100","2007-05-25",48.32
"101","2007-05-29",48.32
