"","date","WNC"
"1","2007-01-03",14.96
"2","2007-01-04",14.88
"3","2007-01-05",14.63
"4","2007-01-08",14.8
"5","2007-01-09",14.72
"6","2007-01-10",14.79
"7","2007-01-11",14.97
"8","2007-01-12",15.17
"9","2007-01-16",15.25
"10","2007-01-17",15.32
"11","2007-01-18",15.13
"12","2007-01-19",15.33
"13","2007-01-22",15.14
"14","2007-01-23",15.31
"15","2007-01-24",15.43
"16","2007-01-25",15.3
"17","2007-01-26",15.45
"18","2007-01-29",15.74
"19","2007-01-30",15.93
"20","2007-01-31",15.94
"21","2007-02-01",16.33
"22","2007-02-02",15.68
"23","2007-02-05",15.61
"24","2007-02-06",15.8
"25","2007-02-07",15.81
"26","2007-02-08",15.84
"27","2007-02-09",15.88
"28","2007-02-12",15.95
"29","2007-02-13",16.09
"30","2007-02-14",16.129999
"31","2007-02-15",16.299999
"32","2007-02-16",16.66
"33","2007-02-20",16.9
"34","2007-02-21",16.92
"35","2007-02-22",17
"36","2007-02-23",16.950001
"37","2007-02-26",16.85
"38","2007-02-27",16.07
"39","2007-02-28",16.110001
"40","2007-03-01",16.1
"41","2007-03-02",15.76
"42","2007-03-05",15.18
"43","2007-03-06",15.51
"44","2007-03-07",15.49
"45","2007-03-08",15.88
"46","2007-03-09",15.97
"47","2007-03-12",16
"48","2007-03-13",15.63
"49","2007-03-14",15.91
"50","2007-03-15",15.97
"51","2007-03-16",15.52
"52","2007-03-19",15.54
"53","2007-03-20",15.6
"54","2007-03-21",15.48
"55","2007-03-22",15.5
"56","2007-03-23",15.51
"57","2007-03-26",15.45
"58","2007-03-27",15.34
"59","2007-03-28",15.36
"60","2007-03-29",15.4
"61","2007-03-30",15.42
"62","2007-04-02",15.49
"63","2007-04-03",15.49
"64","2007-04-04",15.49
"65","2007-04-05",15.48
"66","2007-04-09",15.37
"67","2007-04-10",15.4
"68","2007-04-11",14.99
"69","2007-04-12",15.27
"70","2007-04-13",15.28
"71","2007-04-16",15.39
"72","2007-04-17",15.42
"73","2007-04-18",15.32
"74","2007-04-19",15.36
"75","2007-04-20",15.45
"76","2007-04-23",15.49
"77","2007-04-24",15.49
"78","2007-04-25",15.48
"79","2007-04-26",15.51
"80","2007-04-27",15.44
"81","2007-04-30",15.56
"82","2007-05-01",14.22
"83","2007-05-02",14.7
"84","2007-05-03",14.58
"85","2007-05-04",14.98
"86","2007-05-07",15
"87","2007-05-08",14.96
"88","2007-05-09",14.81
"89","2007-05-10",14.56
"90","2007-05-11",14.77
"91","2007-05-14",14.55
"92","2007-05-15",14.47
"93","2007-05-16",14.54
"94","2007-05-17",14.36
"95","2007-05-18",14.24
"96","2007-05-21",14.28
"97","2007-05-22",14.59
"98","2007-05-23",14.45
"99","2007-05-24",14.19
"100","2007-05-25",14.52
"101","2007-05-29",14.56
"102","2007-05-30",14.7
"103","2007-05-31",14.63
"104","2007-06-01",15
"105","2007-06-04",15.03
"106","2007-06-05",14.95
"107","2007-06-06",14.78
"108","2007-06-07",14.58
"109","2007-06-08",14.58
"110","2007-06-11",14.74
"111","2007-06-12",14.6
"112","2007-06-13",14.83
"113","2007-06-14",14.74
"114","2007-06-15",14.88
"115","2007-06-18",14.7
"116","2007-06-19",14.68
"117","2007-06-20",14.64
"118","2007-06-21",14.55
"119","2007-06-22",14.57
"120","2007-06-25",14.58
"121","2007-06-26",14.59
"122","2007-06-27",14.51
"123","2007-06-28",14.61
"124","2007-06-29",14.63
"125","2007-07-02",14.59
"126","2007-07-03",14.61
"127","2007-07-05",14.58
"128","2007-07-06",14.57
"129","2007-07-09",14.6
"130","2007-07-10",14.51
"131","2007-07-11",14.49
"132","2007-07-12",14.73
"133","2007-07-13",14.73
"134","2007-07-16",14.7
"135","2007-07-17",14.6
"136","2007-07-18",14.4
"137","2007-07-19",14.42
"138","2007-07-20",14.16
"139","2007-07-23",14.29
"140","2007-07-24",13.78
"141","2007-07-25",13.6
"142","2007-07-26",12.88
"143","2007-07-27",13.15
"144","2007-07-30",13.23
"145","2007-07-31",12.71
"146","2007-08-01",12.51
"147","2007-08-02",12.59
"148","2007-08-03",12.46
"149","2007-08-06",13.99
"150","2007-08-07",13.93
"151","2007-08-08",13.98
"152","2007-08-09",13.37
"153","2007-08-10",13.48
"154","2007-08-13",12.87
"155","2007-08-14",12.58
"156","2007-08-15",12.38
"157","2007-08-16",12.55
"158","2007-08-17",12.84
"159","2007-08-20",12.73
"160","2007-08-21",12.78
"161","2007-08-22",12.99
"162","2007-08-23",12.69
"163","2007-08-24",13.18
"164","2007-08-27",13.01
"165","2007-08-28",12.55
"166","2007-08-29",12.8
"167","2007-08-30",12.66
"168","2007-08-31",13.09
"169","2007-09-04",13.04
"170","2007-09-05",12.86
"171","2007-09-06",12.86
"172","2007-09-07",11.97
"173","2007-09-10",12
"174","2007-09-11",12.25
"175","2007-09-12",11.73
"176","2007-09-13",11.62
"177","2007-09-14",11.67
"178","2007-09-17",11.61
"179","2007-09-18",12.65
"180","2007-09-19",12.56
"181","2007-09-20",12.32
"182","2007-09-21",12.52
"183","2007-09-24",11.95
"184","2007-09-25",11.86
"185","2007-09-26",12.11
"186","2007-09-27",11.62
"187","2007-09-28",11.29
"188","2007-10-01",11.46
"189","2007-10-02",11.45
"190","2007-10-03",11.49
"191","2007-10-04",11.15
"192","2007-10-05",11.13
"193","2007-10-08",11.4
"194","2007-10-09",11.39
"195","2007-10-10",11.35
"196","2007-10-11",10.86
"197","2007-10-12",10.86
"198","2007-10-15",10.76
"199","2007-10-16",10.69
"200","2007-10-17",10.66
"201","2007-10-18",10.57
"202","2007-10-19",9.96
"203","2007-10-22",10.43
"204","2007-10-23",10.48
"205","2007-10-24",10.07
"206","2007-10-25",9.81
"207","2007-10-26",10.18
"208","2007-10-29",10.34
"209","2007-10-30",10.37
"210","2007-10-31",10.15
"211","2007-11-01",8.54
"212","2007-11-02",8.37
"213","2007-11-05",8.23
"214","2007-11-06",8.19
"215","2007-11-07",8.21
"216","2007-11-08",8.05
"217","2007-11-09",7.78
"218","2007-11-12",8
"219","2007-11-13",8.09
"220","2007-11-14",7.85
"221","2007-11-15",7.85
"222","2007-11-16",7.47
"223","2007-11-19",7.14
"224","2007-11-20",7.01
"225","2007-11-21",7.03
"226","2007-11-23",7.12
"227","2007-11-26",7.02
"228","2007-11-27",6.93
"229","2007-11-28",7.07
"230","2007-11-29",6.96
"231","2007-11-30",6.91
"232","2007-12-03",7
"233","2007-12-04",6.95
"234","2007-12-05",7.17
"235","2007-12-06",7.71
"236","2007-12-07",8.1
"237","2007-12-10",8.85
"238","2007-12-11",7.99
"239","2007-12-12",8.21
"240","2007-12-13",7.44
"241","2007-12-14",7.25
"242","2007-12-17",7.23
"243","2007-12-18",7.96
"244","2007-12-19",7.88
"245","2007-12-20",7.79
"246","2007-12-21",7.8
"247","2007-12-24",7.81
"248","2007-12-26",8.19
"249","2007-12-27",7.67
"250","2007-12-28",7.65
