"","date","DTEA"
"1","2015-06-05",27
"2","2015-06-08",28.809999
"3","2015-06-09",29.6
"4","2015-06-10",27.74
"5","2015-06-11",27.059999
"6","2015-06-12",26.98
"7","2015-06-15",27.25
"8","2015-06-16",29.16
"9","2015-06-17",22
"10","2015-06-18",21.32
"11","2015-06-19",22
"12","2015-06-22",21.809999
"13","2015-06-23",22.41
"14","2015-06-24",22.24
"15","2015-06-25",22.77
"16","2015-06-26",22.57
"17","2015-06-29",22.48
"18","2015-06-30",21.49
"19","2015-07-01",20.940001
"20","2015-07-02",21.16
"21","2015-07-06",20.91
"22","2015-07-07",21.190001
"23","2015-07-08",19
"24","2015-07-09",19.200001
"25","2015-07-10",20.51
"26","2015-07-13",19.639999
"27","2015-07-14",19.469999
"28","2015-07-15",19.459999
"29","2015-07-16",19.52
"30","2015-07-17",20.040001
"31","2015-07-20",19.82
"32","2015-07-21",19.950001
"33","2015-07-22",19.73
"34","2015-07-23",19.860001
"35","2015-07-24",19.629999
"36","2015-07-27",17.83
"37","2015-07-28",16.209999
"38","2015-07-29",16.68
"39","2015-07-30",17.1
"40","2015-07-31",16.540001
"41","2015-08-03",16.110001
"42","2015-08-04",15.11
"43","2015-08-05",14.9
"44","2015-08-06",14.7
"45","2015-08-07",14.41
"46","2015-08-10",14.66
"47","2015-08-11",13.93
"48","2015-08-12",13.45
"49","2015-08-13",12.64
"50","2015-08-14",12.86
"51","2015-08-17",13.49
"52","2015-08-18",12.73
"53","2015-08-19",12.47
"54","2015-08-20",12.96
"55","2015-08-21",13.49
"56","2015-08-24",13.085
"57","2015-08-25",13.08
"58","2015-08-26",12.91
"59","2015-08-27",12.77
"60","2015-08-28",13.15
"61","2015-08-31",13.79
"62","2015-09-01",12.77
"63","2015-09-02",12.99
"64","2015-09-03",13.12
"65","2015-09-04",13.17
"66","2015-09-08",13.72
"67","2015-09-09",12.99
"68","2015-09-10",14.02
"69","2015-09-11",15.51
"70","2015-09-14",15.88
"71","2015-09-15",16.370001
"72","2015-09-16",16.360001
"73","2015-09-17",16.440001
"74","2015-09-18",15.92
"75","2015-09-21",15.28
"76","2015-09-22",14.5
"77","2015-09-23",14.29
"78","2015-09-24",14.53
"79","2015-09-25",14.28
"80","2015-09-28",13.74
"81","2015-09-29",14.3
"82","2015-09-30",15.66
