"","date","CPSS"
"1","2007-01-03",6.38
"2","2007-01-04",6.4
"3","2007-01-05",6.39
"4","2007-01-08",6.51
"5","2007-01-09",6.69
"6","2007-01-10",6.9
"7","2007-01-11",7
"8","2007-01-12",6.92
"9","2007-01-16",7
"10","2007-01-17",7
"11","2007-01-18",7
"12","2007-01-19",6.93
"13","2007-01-22",6.99
"14","2007-01-23",7.25
"15","2007-01-24",7.25
"16","2007-01-25",7.29
"17","2007-01-26",7.22
"18","2007-01-29",7.5
"19","2007-01-30",7.28
"20","2007-01-31",7.32
"21","2007-02-01",7.48
"22","2007-02-02",7.38
"23","2007-02-05",7.21
"24","2007-02-06",7.2
"25","2007-02-07",7.17
"26","2007-02-08",7.18
"27","2007-02-09",6.86
"28","2007-02-12",6.5
"29","2007-02-13",6.58
"30","2007-02-14",7.1
"31","2007-02-15",7.1
"32","2007-02-16",7.3
"33","2007-02-20",7.2
"34","2007-02-21",7.31
"35","2007-02-22",7.29
"36","2007-02-23",7.13
"37","2007-02-26",7.08
"38","2007-02-27",6.91
"39","2007-02-28",6.85
"40","2007-03-01",6.84
"41","2007-03-02",6.9
"42","2007-03-05",6.4
"43","2007-03-06",6.71
"44","2007-03-07",6.81
"45","2007-03-08",6.79
"46","2007-03-09",6.74
"47","2007-03-12",6.79
"48","2007-03-13",6.44
"49","2007-03-14",6.38
"50","2007-03-15",6.37
"51","2007-03-16",6.35
"52","2007-03-19",6.31
"53","2007-03-20",6.29
"54","2007-03-21",6.48
"55","2007-03-22",6.6
"56","2007-03-23",6.53
"57","2007-03-26",6.4
"58","2007-03-27",6.26
"59","2007-03-28",6.21
"60","2007-03-29",6.22
"61","2007-03-30",6.15
"62","2007-04-02",6.15
"63","2007-04-03",6.46
"64","2007-04-04",6.3
"65","2007-04-05",6.13
"66","2007-04-09",6.21
"67","2007-04-10",6.27
"68","2007-04-11",6.29
"69","2007-04-12",6.29
"70","2007-04-13",6.25
"71","2007-04-16",6.39
"72","2007-04-17",6.69
"73","2007-04-18",6.58
"74","2007-04-19",6.52
"75","2007-04-20",6.53
"76","2007-04-23",6.46
"77","2007-04-24",6.35
"78","2007-04-25",6.15
"79","2007-04-26",6.15
"80","2007-04-27",6.11
"81","2007-04-30",6.05
"82","2007-05-01",6.02
"83","2007-05-02",6.02
"84","2007-05-03",5.96
"85","2007-05-04",5.95
"86","2007-05-07",5.8
"87","2007-05-08",5.74
"88","2007-05-09",5.63
"89","2007-05-10",5.6
"90","2007-05-11",5.57
"91","2007-05-14",5.53
"92","2007-05-15",5.53
"93","2007-05-16",5.84
"94","2007-05-17",5.81
"95","2007-05-18",5.77
"96","2007-05-21",5.8
"97","2007-05-22",6.04
"98","2007-05-23",6.13
"99","2007-05-24",6.1
"100","2007-05-25",5.97
"101","2007-05-29",6
"102","2007-05-30",5.91
"103","2007-05-31",6.03
"104","2007-06-01",6.14
"105","2007-06-04",5.96
"106","2007-06-05",5.97
"107","2007-06-06",5.9
"108","2007-06-07",5.82
"109","2007-06-08",5.92
"110","2007-06-11",5.93
"111","2007-06-12",5.82
"112","2007-06-13",5.79
"113","2007-06-14",5.94
"114","2007-06-15",6.02
"115","2007-06-18",6.35
"116","2007-06-19",6.59
"117","2007-06-20",6.4
"118","2007-06-21",6.18
"119","2007-06-22",6.5
"120","2007-06-25",6.5
"121","2007-06-26",6.27
"122","2007-06-27",6.21
"123","2007-06-28",6.27
"124","2007-06-29",6.25
"125","2007-07-02",6.21
"126","2007-07-03",6.19
"127","2007-07-05",6.23
"128","2007-07-06",6.21
"129","2007-07-09",6.21
"130","2007-07-10",6.21
"131","2007-07-11",6.13
"132","2007-07-12",6.05
"133","2007-07-13",6.28
"134","2007-07-16",6.14
"135","2007-07-17",6.26
"136","2007-07-18",6.4
"137","2007-07-19",6.12
"138","2007-07-20",6.04
"139","2007-07-23",5.81
"140","2007-07-24",5.7
"141","2007-07-25",5.82
"142","2007-07-26",5.6
"143","2007-07-27",5.51
"144","2007-07-30",5.26
"145","2007-07-31",5.1
"146","2007-08-01",4.95
"147","2007-08-02",5
"148","2007-08-03",4.86
"149","2007-08-06",5.06
"150","2007-08-07",5.19
"151","2007-08-08",5.57
"152","2007-08-09",5.6
"153","2007-08-10",5.38
"154","2007-08-13",5.13
"155","2007-08-14",4.88
"156","2007-08-15",4.68
"157","2007-08-16",4.67
"158","2007-08-17",5.16
"159","2007-08-20",4.94
"160","2007-08-21",4.92
"161","2007-08-22",5.01
"162","2007-08-23",5.35
"163","2007-08-24",5.1
"164","2007-08-27",5.24
"165","2007-08-28",5.38
"166","2007-08-29",5.43
"167","2007-08-30",5.32
"168","2007-08-31",5.42
"169","2007-09-04",6.1
"170","2007-09-05",5.86
"171","2007-09-06",6
"172","2007-09-07",5.92
"173","2007-09-10",5.76
"174","2007-09-11",5.76
"175","2007-09-12",5.72
"176","2007-09-13",5.79
"177","2007-09-14",5.86
"178","2007-09-17",5.91
"179","2007-09-18",5.95
"180","2007-09-19",6.06
"181","2007-09-20",5.88
"182","2007-09-21",5.85
"183","2007-09-24",5.65
"184","2007-09-25",5.64
"185","2007-09-26",5.65
"186","2007-09-27",5.87
"187","2007-09-28",5.68
"188","2007-10-01",5.93
"189","2007-10-02",6
"190","2007-10-03",6
"191","2007-10-04",5.97
"192","2007-10-05",6.02
"193","2007-10-08",6.13
"194","2007-10-09",6.18
"195","2007-10-10",5.95
"196","2007-10-11",6.06
"197","2007-10-12",6.05
"198","2007-10-15",6.05
"199","2007-10-16",5.94
"200","2007-10-17",5.96
"201","2007-10-18",5.72
"202","2007-10-19",5.68
"203","2007-10-22",5.19
"204","2007-10-23",4.61
"205","2007-10-24",4.5
"206","2007-10-25",5.02
"207","2007-10-26",5.02
"208","2007-10-29",5.06
"209","2007-10-30",4.92
"210","2007-10-31",4.89
"211","2007-11-01",4.62
"212","2007-11-02",4.51
"213","2007-11-05",4.33
"214","2007-11-06",4.3
"215","2007-11-07",4.1
"216","2007-11-08",4.06
"217","2007-11-09",3.86
"218","2007-11-12",3.88
"219","2007-11-13",4.22
"220","2007-11-14",4.01
"221","2007-11-15",4
"222","2007-11-16",4.12
"223","2007-11-19",3.9
"224","2007-11-20",3.72
"225","2007-11-21",3.71
"226","2007-11-23",3.9
"227","2007-11-26",3.51
"228","2007-11-27",3.43
"229","2007-11-28",3.42
"230","2007-11-29",3.33
"231","2007-11-30",3.31
"232","2007-12-03",3.15
"233","2007-12-04",3.32
"234","2007-12-05",3.8
"235","2007-12-06",3.71
"236","2007-12-07",3.82
"237","2007-12-10",3.99
"238","2007-12-11",4.02
"239","2007-12-12",3.85
"240","2007-12-13",3.74
"241","2007-12-14",3.41
"242","2007-12-17",3.4
"243","2007-12-18",3.36
"244","2007-12-19",3.38
"245","2007-12-20",3.43
"246","2007-12-21",3.56
"247","2007-12-24",3.61
"248","2007-12-26",3.63
"249","2007-12-27",3.51
"250","2007-12-28",3.48
"251","2007-12-31",3.35
"252","2008-01-02",3.51
"253","2008-01-03",3.31
"254","2008-01-04",3.41
"255","2008-01-07",3.29
"256","2008-01-08",3.28
"257","2008-01-09",2.84
"258","2008-01-10",2.89
"259","2008-01-11",3
"260","2008-01-14",2.96
"261","2008-01-15",2.97
"262","2008-01-16",2.94
"263","2008-01-17",2.95
"264","2008-01-18",2.81
"265","2008-01-22",2.74
"266","2008-01-23",2.64
"267","2008-01-24",3.1
"268","2008-01-25",3.11
"269","2008-01-28",3
"270","2008-01-29",3.16
"271","2008-01-30",3.18
"272","2008-01-31",3.36
"273","2008-02-01",3.47
"274","2008-02-04",3.51
"275","2008-02-05",3.29
"276","2008-02-06",3.21
"277","2008-02-07",3.12
"278","2008-02-08",2.97
"279","2008-02-11",2.79
"280","2008-02-12",2.85
"281","2008-02-13",3.54
"282","2008-02-14",3.45
"283","2008-02-15",3.32
"284","2008-02-19",3.45
"285","2008-02-20",3.35
"286","2008-02-21",3.43
"287","2008-02-22",3.4
"288","2008-02-25",3.4
"289","2008-02-26",3.39
"290","2008-02-27",3.3
"291","2008-02-28",3.3
"292","2008-02-29",3.14
"293","2008-03-03",3.05
"294","2008-03-04",2.96
"295","2008-03-05",2.92
