"","date","RMBI"
"1","2019-07-02",13.65
"2","2019-07-03",13.59
"3","2019-07-05",13.65
"4","2019-07-08",13.45
"5","2019-07-09",13.5
"6","2019-07-10",13.41
"7","2019-07-11",13.4
"8","2019-07-12",13.385
"9","2019-07-15",13.21
"10","2019-07-16",13.18
"11","2019-07-17",13.13
"12","2019-07-18",13.11
"13","2019-07-19",13.1
"14","2019-07-22",13.01
"15","2019-07-23",13.06
"16","2019-07-24",13.02
"17","2019-07-25",13
"18","2019-07-26",13
"19","2019-07-29",13.02
"20","2019-07-30",13.1
"21","2019-07-31",13.2
"22","2019-08-01",13.23
"23","2019-08-02",13.29
"24","2019-08-05",13.31
"25","2019-08-06",13.34
"26","2019-08-07",13.29
"27","2019-08-08",13.25
"28","2019-08-09",13.41
"29","2019-08-12",13.35
"30","2019-08-13",13.4
"31","2019-08-14",13.25
"32","2019-08-15",12.99
"33","2019-08-16",13.08
"34","2019-08-19",13.23
"35","2019-08-20",13.33
"36","2019-08-21",13.27
"37","2019-08-22",13.35
"38","2019-08-23",13.24
"39","2019-08-26",13.05
"40","2019-08-27",12.95
"41","2019-08-28",13.19
"42","2019-08-29",13.2
"43","2019-08-30",13.18
"44","2019-09-03",12.81
"45","2019-09-04",13
"46","2019-09-05",13.1
"47","2019-09-06",13.15
"48","2019-09-09",13.42
"49","2019-09-10",13.35
"50","2019-09-11",13.47
"51","2019-09-12",13.51
"52","2019-09-13",13.46
"53","2019-09-16",13.74
"54","2019-09-17",14.02
"55","2019-09-18",13.93
"56","2019-09-19",13.93
"57","2019-09-20",14.05
"58","2019-09-23",13.9
"59","2019-09-24",13.9
"60","2019-09-25",13.84
"61","2019-09-26",13.74
"62","2019-09-27",13.87
"63","2019-09-30",13.99
"64","2019-10-01",13.54
"65","2019-10-02",13.77
"66","2019-10-03",13.79
"67","2019-10-04",13.83
"68","2019-10-07",13.71
"69","2019-10-08",13.63
"70","2019-10-09",13.54
"71","2019-10-10",13.55
"72","2019-10-11",13.83
"73","2019-10-14",13.63
"74","2019-10-15",13.72
"75","2019-10-16",13.81
"76","2019-10-17",13.92
"77","2019-10-18",13.96
"78","2019-10-21",13.93
"79","2019-10-22",13.89
"80","2019-10-23",13.86
"81","2019-10-24",13.86
"82","2019-10-25",13.87
"83","2019-10-28",13.94
"84","2019-10-29",13.9
"85","2019-10-30",13.91
"86","2019-10-31",13.95
"87","2019-11-01",13.95
"88","2019-11-04",13.88
"89","2019-11-05",13.93
"90","2019-11-06",13.85
"91","2019-11-07",13.89
"92","2019-11-08",13.93
"93","2019-11-11",13.95
"94","2019-11-12",13.91
"95","2019-11-13",13.97
"96","2019-11-14",13.87
"97","2019-11-15",13.97
"98","2019-11-18",14.13
"99","2019-11-19",14.38
"100","2019-11-20",14.49
"101","2019-11-21",14.6
"102","2019-11-22",14.42
"103","2019-11-25",14.74
"104","2019-11-26",14.57
"105","2019-11-27",14.65
"106","2019-11-29",14.51
"107","2019-12-02",14.5
"108","2019-12-03",14.46
"109","2019-12-04",14.5
"110","2019-12-05",14.53
"111","2019-12-06",14.85
"112","2019-12-09",14.87
"113","2019-12-10",14.97
"114","2019-12-11",14.95
"115","2019-12-12",15.15
"116","2019-12-13",15.36
"117","2019-12-16",15.39
"118","2019-12-17",15.38
"119","2019-12-18",15.49
"120","2019-12-19",15.64
"121","2019-12-20",15.57
"122","2019-12-23",15.43
"123","2019-12-24",15.4
"124","2019-12-26",15.6
"125","2019-12-27",15.75
"126","2019-12-30",15.93
"127","2019-12-31",15.96
"128","2020-01-02",15.88
"129","2020-01-03",15.82
"130","2020-01-06",15.79
"131","2020-01-07",15.57
"132","2020-01-08",15.57
"133","2020-01-09",15.46
"134","2020-01-10",15.18
"135","2020-01-13",15.17
"136","2020-01-14",15.04
"137","2020-01-15",14.86
"138","2020-01-16",14.87
"139","2020-01-17",15
"140","2020-01-21",15.27
"141","2020-01-22",15.38
"142","2020-01-23",15.33
"143","2020-01-24",15.32
"144","2020-01-27",15.25
"145","2020-01-28",15.29
"146","2020-01-29",15.18
"147","2020-01-30",15.3
"148","2020-01-31",15.21
"149","2020-02-03",15.23
"150","2020-02-04",15.17
"151","2020-02-05",15.24
"152","2020-02-06",15.21
"153","2020-02-07",15.18
"154","2020-02-10",15.22
"155","2020-02-11",15.24
"156","2020-02-12",15.28
"157","2020-02-13",15.25
"158","2020-02-14",15.16
"159","2020-02-18",15.14
"160","2020-02-19",15.14
"161","2020-02-20",15.09
"162","2020-02-21",15.1
"163","2020-02-24",14.8
"164","2020-02-25",14.67
"165","2020-02-26",14.02
"166","2020-02-27",13.55
"167","2020-02-28",13.45
"168","2020-03-02",13.62
"169","2020-03-03",13.49
"170","2020-03-04",13.5
"171","2020-03-05",13.02
"172","2020-03-06",12.95
"173","2020-03-09",11.74
"174","2020-03-10",11.79
"175","2020-03-11",11.4
"176","2020-03-12",10.71
"177","2020-03-13",11.7
"178","2020-03-16",10.7
"179","2020-03-17",11
"180","2020-03-18",9.69
"181","2020-03-19",9.9
"182","2020-03-20",9.97
"183","2020-03-23",9.3
"184","2020-03-24",10.26
"185","2020-03-25",10.19
"186","2020-03-26",10.55
"187","2020-03-27",10.15
"188","2020-03-30",10.16
"189","2020-03-31",10.2
"190","2020-04-01",9.55
"191","2020-04-02",9.89
"192","2020-04-03",9.2
"193","2020-04-06",9.48
"194","2020-04-07",9.61
"195","2020-04-08",9.96
"196","2020-04-09",10.07
"197","2020-04-13",9.67
"198","2020-04-14",9.63
"199","2020-04-15",9.61
"200","2020-04-16",9.38
"201","2020-04-17",9.86
"202","2020-04-20",9.49
"203","2020-04-21",9.53
"204","2020-04-22",9.13
"205","2020-04-23",9.29
"206","2020-04-24",9.6
"207","2020-04-27",10.2
"208","2020-04-28",10.17
"209","2020-04-29",11
"210","2020-04-30",10.68
"211","2020-05-01",10.41
"212","2020-05-04",10.77
"213","2020-05-05",10.32
"214","2020-05-06",10.2
"215","2020-05-07",10.63
"216","2020-05-08",10.83
"217","2020-05-11",10.3
"218","2020-05-12",10.12
"219","2020-05-13",9.79
"220","2020-05-14",9.97
"221","2020-05-15",10.1
"222","2020-05-18",10.53
"223","2020-05-19",10.07
"224","2020-05-20",10.3
"225","2020-05-21",10.24
"226","2020-05-22",10.64
"227","2020-05-26",11.02
"228","2020-05-27",11.59
"229","2020-05-28",11.49
"230","2020-05-29",11.12
"231","2020-06-01",11.02
"232","2020-06-02",11.27
"233","2020-06-03",11.79
"234","2020-06-04",11.28
"235","2020-06-05",12.23
"236","2020-06-08",11.68
"237","2020-06-09",11.79
"238","2020-06-10",11.59
"239","2020-06-11",11.19
"240","2020-06-12",11.07
"241","2020-06-15",11.1
"242","2020-06-16",11.45
"243","2020-06-17",11.28
"244","2020-06-18",11.18
"245","2020-06-19",11.56
"246","2020-06-22",11.57
"247","2020-06-23",11.18
"248","2020-06-24",11.12
"249","2020-06-25",11.27
"250","2020-06-26",11.4
"251","2020-06-29",11.18
"252","2020-06-30",11.24
"253","2020-07-01",11.02
"254","2020-07-02",11.04
"255","2020-07-06",10.95
"256","2020-07-07",10.84
"257","2020-07-08",10.67
"258","2020-07-09",10.7
"259","2020-07-10",11.35
"260","2020-07-13",11.09
"261","2020-07-14",11.05
"262","2020-07-15",11.38
"263","2020-07-16",11.47
"264","2020-07-17",11.42
"265","2020-07-20",11.27
"266","2020-07-21",11.35
"267","2020-07-22",11.35
"268","2020-07-23",11.28
"269","2020-07-24",11.3
"270","2020-07-27",11.4
"271","2020-07-28",11.42
"272","2020-07-29",11.45
"273","2020-07-30",11.49
"274","2020-07-31",11.53
"275","2020-08-03",11.67
"276","2020-08-04",11.5
"277","2020-08-05",11.21
"278","2020-08-06",11.22
"279","2020-08-07",11.3
"280","2020-08-10",11.46
"281","2020-08-11",11.46
"282","2020-08-12",11.45
"283","2020-08-13",11.48
"284","2020-08-14",11.5
"285","2020-08-17",11.35
"286","2020-08-18",11.3
"287","2020-08-19",11.35
"288","2020-08-20",11.21
"289","2020-08-21",11.25
"290","2020-08-24",11.24
"291","2020-08-25",11.24
"292","2020-08-26",11.32
"293","2020-08-27",11.44
"294","2020-08-28",11.32
"295","2020-08-31",11.32
"296","2020-09-01",11.35
"297","2020-09-02",11.35
"298","2020-09-03",11.39
"299","2020-09-04",11.41
"300","2020-09-08",11.22
"301","2020-09-09",11.27
"302","2020-09-10",11.26
"303","2020-09-11",11.15
"304","2020-09-14",11.25
"305","2020-09-15",11.11
"306","2020-09-16",11.2
"307","2020-09-17",11.27
"308","2020-09-18",11.27
"309","2020-09-21",10.98
"310","2020-09-22",11.02
"311","2020-09-23",10.23
"312","2020-09-24",10.5
"313","2020-09-25",10.62
"314","2020-09-28",10.63
"315","2020-09-29",10.58
"316","2020-09-30",10.58
"317","2020-10-01",10.53
"318","2020-10-02",10.48
"319","2020-10-05",10.4
"320","2020-10-06",10.47
"321","2020-10-07",10.68
"322","2020-10-08",10.8
"323","2020-10-09",10.79
"324","2020-10-12",10.98
"325","2020-10-13",11.13
"326","2020-10-14",11.15
"327","2020-10-15",11.15
"328","2020-10-16",11.23
"329","2020-10-19",11.22
"330","2020-10-20",11.28
"331","2020-10-21",11.25
"332","2020-10-22",11.24
"333","2020-10-23",11.34
"334","2020-10-26",11.28
"335","2020-10-27",11.29
"336","2020-10-28",11.13
"337","2020-10-29",11
"338","2020-10-30",10.95
"339","2020-11-02",11.15
"340","2020-11-03",11.4
"341","2020-11-04",11
"342","2020-11-05",11.2
"343","2020-11-06",11.1
"344","2020-11-09",11.55
"345","2020-11-10",12.35
"346","2020-11-11",12.69
"347","2020-11-12",12.46
"348","2020-11-13",12.42
"349","2020-11-16",12.99
"350","2020-11-17",12.87
"351","2020-11-18",13.05
"352","2020-11-19",13.29
"353","2020-11-20",12.96
"354","2020-11-23",13.03
"355","2020-11-24",13.38
"356","2020-11-25",13.33
"357","2020-11-27",13.25
