"","date","NVST"
"1","2019-09-18",27.950001
"2","2019-09-19",28
"3","2019-09-20",28.77
"4","2019-09-23",28.5
"5","2019-09-24",28.219999
"6","2019-09-25",27.74
"7","2019-09-26",27.68
"8","2019-09-27",26.59
"9","2019-09-30",27.879999
"10","2019-10-01",26.91
"11","2019-10-02",26.780001
"12","2019-10-03",27.07
"13","2019-10-04",27.530001
"14","2019-10-07",27.209999
"15","2019-10-08",27.59
"16","2019-10-09",28.09
"17","2019-10-10",29.07
"18","2019-10-11",27.93
"19","2019-10-14",28.879999
"20","2019-10-15",29.1
"21","2019-10-16",28.700001
"22","2019-10-17",29.129999
"23","2019-10-18",28.77
"24","2019-10-21",28.790001
"25","2019-10-22",28.24
"26","2019-10-23",29.139999
"27","2019-10-24",28.17
"28","2019-10-25",28.209999
"29","2019-10-28",28.940001
"30","2019-10-29",30.67
"31","2019-10-30",30.16
"32","2019-10-31",29.33
"33","2019-11-01",29.610001
"34","2019-11-04",29.51
"35","2019-11-05",28.969999
"36","2019-11-06",29.049999
"37","2019-11-07",28.93
"38","2019-11-08",28.82
"39","2019-11-11",28.299999
"40","2019-11-12",28.4
"41","2019-11-13",28.4
"42","2019-11-14",28.379999
"43","2019-11-15",27.83
"44","2019-11-18",27.629999
"45","2019-11-19",27.74
"46","2019-11-20",27.629999
"47","2019-11-21",27.48
"48","2019-11-22",27.41
"49","2019-11-25",27.82
"50","2019-11-26",28.08
"51","2019-11-27",28.280001
"52","2019-11-29",28.120001
"53","2019-12-02",27.620001
"54","2019-12-03",27.9
"55","2019-12-04",27.860001
"56","2019-12-05",27.82
"57","2019-12-06",27.690001
"58","2019-12-09",27.57
"59","2019-12-10",27.75
"60","2019-12-11",28.15
"61","2019-12-12",28.51
"62","2019-12-13",28.120001
"63","2019-12-16",28.5
"64","2019-12-17",28.9
"65","2019-12-18",28.709999
"66","2019-12-19",28.42
"67","2019-12-20",28.299999
"68","2019-12-23",29.59
"69","2019-12-24",30.059999
"70","2019-12-26",29.59
"71","2019-12-27",30.01
"72","2019-12-30",29.280001
"73","2019-12-31",29.639999
"74","2020-01-02",30.17
"75","2020-01-03",30.469999
"76","2020-01-06",30.959999
"77","2020-01-07",31.379999
"78","2020-01-08",31.65
"79","2020-01-09",31.9
"80","2020-01-10",32.349998
"81","2020-01-13",32.57
"82","2020-01-14",31.49
"83","2020-01-15",31.4
"84","2020-01-16",31.940001
"85","2020-01-17",32.029999
"86","2020-01-21",32.509998
"87","2020-01-22",33.200001
"88","2020-01-23",33.16
"89","2020-01-24",32.32
"90","2020-01-27",31.799999
"91","2020-01-28",31.57
"92","2020-01-29",31.65
"93","2020-01-30",31.200001
"94","2020-01-31",29.59
"95","2020-02-03",28.73
"96","2020-02-04",29.1
"97","2020-02-05",29.469999
"98","2020-02-06",29.549999
"99","2020-02-07",29.16
"100","2020-02-10",29.290001
"101","2020-02-11",29.49
"102","2020-02-12",28.5
"103","2020-02-13",28.76
"104","2020-02-14",29.299999
"105","2020-02-18",28.459999
"106","2020-02-19",28.290001
