"","date","RMD"
"1","2007-01-03",25.035
"2","2007-01-04",24.905001
"3","2007-01-05",24.459999
"4","2007-01-08",25.09
"5","2007-01-09",25.059999
"6","2007-01-10",24.780001
"7","2007-01-11",25.41
"8","2007-01-12",25.889999
"9","2007-01-16",26.209999
"10","2007-01-17",26.355
"11","2007-01-18",25.844999
"12","2007-01-19",26.014999
"13","2007-01-22",26.125
"14","2007-01-23",26.695
"15","2007-01-24",26.549999
"16","2007-01-25",26.174999
"17","2007-01-26",25.865
"18","2007-01-29",25.955
"19","2007-01-30",26.375
"20","2007-01-31",26.290001
"21","2007-02-01",26.290001
"22","2007-02-02",27.129999
"23","2007-02-05",27.125
"24","2007-02-06",27.045
"25","2007-02-07",25
"26","2007-02-08",25.040001
"27","2007-02-09",24.025
"28","2007-02-12",24.309999
"29","2007-02-13",24.719999
"30","2007-02-14",24.775
"31","2007-02-15",25.174999
"32","2007-02-16",24.9
"33","2007-02-20",24.700001
"34","2007-02-21",24.625
"35","2007-02-22",24.690001
"36","2007-02-23",24.775
"37","2007-02-26",24.545
"38","2007-02-27",23.655001
"39","2007-02-28",23.865
"40","2007-03-01",23.65
"41","2007-03-02",23.075001
"42","2007-03-05",22.59
"43","2007-03-06",23.295
"44","2007-03-07",23.264999
"45","2007-03-08",23.445
"46","2007-03-09",23.635
"47","2007-03-12",23.959999
"48","2007-03-13",23.635
"49","2007-03-14",23.309999
"50","2007-03-15",23.65
"51","2007-03-16",23.790001
"52","2007-03-19",24.18
"53","2007-03-20",24.18
"54","2007-03-21",24.334999
"55","2007-03-22",24.594999
"56","2007-03-23",25.334999
"57","2007-03-26",25.6
"58","2007-03-27",25.254999
"59","2007-03-28",25.115
"60","2007-03-29",25.25
"61","2007-03-30",25.184999
"62","2007-04-02",25.115
"63","2007-04-03",25.184999
"64","2007-04-04",25.15
"65","2007-04-05",25.610001
"66","2007-04-09",25.530001
"67","2007-04-10",25.705
"68","2007-04-11",24.950001
"69","2007-04-12",24.825001
"70","2007-04-13",24.85
"71","2007-04-16",24.68
"72","2007-04-17",24.225
"73","2007-04-18",23.865
"74","2007-04-19",23.59
"75","2007-04-20",24.219999
"76","2007-04-23",24.32
"77","2007-04-24",21.924999
"78","2007-04-25",21.305
"79","2007-04-26",21.424999
"80","2007-04-27",21.4
"81","2007-04-30",21.129999
"82","2007-05-01",20.91
"83","2007-05-02",21.684999
"84","2007-05-03",21.450001
"85","2007-05-04",21.615
"86","2007-05-07",22.09
"87","2007-05-08",21.92
"88","2007-05-09",21.83
"89","2007-05-10",21.875
"90","2007-05-11",22.16
"91","2007-05-14",22.549999
"92","2007-05-15",22.01
"93","2007-05-16",22.094999
"94","2007-05-17",21.875
"95","2007-05-18",22.16
"96","2007-05-21",22.24
"97","2007-05-22",22.405001
"98","2007-05-23",22.6
"99","2007-05-24",22.190001
"100","2007-05-25",22.459999
"101","2007-05-29",22.450001
"102","2007-05-30",22.504999
"103","2007-05-31",22.540001
"104","2007-06-01",22.780001
"105","2007-06-04",22.67
"106","2007-06-05",22.635
"107","2007-06-06",22.219999
"108","2007-06-07",21.9
"109","2007-06-08",22.1
"110","2007-06-11",21.799999
