"","date","DUK"
"1","2007-01-03",57.419998
"2","2007-01-04",57.540001
"3","2007-01-05",56.220001
"4","2007-01-08",56.310001
"5","2007-01-09",56.040001
"6","2007-01-10",55.799999
"7","2007-01-11",55.950001
"8","2007-01-12",55.68
"9","2007-01-16",55.860001
"10","2007-01-17",55.77
"11","2007-01-18",56.040001
"12","2007-01-19",56.220001
"13","2007-01-22",55.919998
"14","2007-01-23",56.009998
"15","2007-01-24",56.25
"16","2007-01-25",56.759998
"17","2007-01-26",57.240002
"18","2007-01-29",57.57
"19","2007-01-30",58.41
"20","2007-01-31",59.07
"21","2007-02-01",59.549999
"22","2007-02-02",59.970001
"23","2007-02-05",60.869999
"24","2007-02-06",60.18
"25","2007-02-07",59.970001
"26","2007-02-08",60.48
"27","2007-02-09",60.48
"28","2007-02-12",60.599998
"29","2007-02-13",61.169998
"30","2007-02-14",60.18
"31","2007-02-15",60
"32","2007-02-16",59.880001
"33","2007-02-20",59.849998
"34","2007-02-21",59.849998
"35","2007-02-22",59.459999
"36","2007-02-23",59.73
"37","2007-02-26",60.029999
"38","2007-02-27",58.860001
"39","2007-02-28",59.040001
"40","2007-03-01",59.43
"41","2007-03-02",58.470001
"42","2007-03-05",57.360001
"43","2007-03-06",58.650002
"44","2007-03-07",58.619999
"45","2007-03-08",58.32
"46","2007-03-09",57.75
"47","2007-03-12",58.77
"48","2007-03-13",58.02
"49","2007-03-14",58.169998
"50","2007-03-15",59.009998
"51","2007-03-16",58.68
"52","2007-03-19",59.07
"53","2007-03-20",60.630001
"54","2007-03-21",61.259998
"55","2007-03-22",61.02
"56","2007-03-23",60.869999
"57","2007-03-26",61.290001
"58","2007-03-27",60.93
"59","2007-03-28",60.959999
"60","2007-03-29",61.41
"61","2007-03-30",60.869999
"62","2007-04-02",62.130001
"63","2007-04-03",62.310001
"64","2007-04-04",61.560001
"65","2007-04-05",62.009998
"66","2007-04-09",62.43
"67","2007-04-10",62.490002
"68","2007-04-11",61.380001
"69","2007-04-12",60.93
"70","2007-04-13",61.110001
"71","2007-04-16",61.860001
"72","2007-04-17",61.950001
"73","2007-04-18",62.82
"74","2007-04-19",62.009998
"75","2007-04-20",62.790001
"76","2007-04-23",62.669998
"77","2007-04-24",62.82
