"","date","NYT"
"1","2007-01-03",23.73
"2","2007-01-04",23.34
"3","2007-01-05",24.030001
"4","2007-01-08",23.84
"5","2007-01-09",23.77
"6","2007-01-10",23.889999
"7","2007-01-11",24.16
"8","2007-01-12",24.049999
"9","2007-01-16",23.82
"10","2007-01-17",23.66
"11","2007-01-18",23.57
"12","2007-01-19",23.639999
"13","2007-01-22",23.6
"14","2007-01-23",23.84
"15","2007-01-24",23.379999
"16","2007-01-25",22.940001
"17","2007-01-26",22.9
"18","2007-01-29",23.049999
"19","2007-01-30",22.9
"20","2007-01-31",23.09
"21","2007-02-01",23.51
"22","2007-02-02",24.17
"23","2007-02-05",24.84
"24","2007-02-06",25.02
"25","2007-02-07",25.969999
"26","2007-02-08",25.459999
"27","2007-02-09",25.23
"28","2007-02-12",25.190001
"29","2007-02-13",25.16
"30","2007-02-14",25.75
"31","2007-02-15",26.4
"32","2007-02-16",26.07
"33","2007-02-20",26.190001
"34","2007-02-21",26.120001
"35","2007-02-22",25.879999
"36","2007-02-23",26.030001
"37","2007-02-26",25.610001
"38","2007-02-27",24.57
"39","2007-02-28",24.73
"40","2007-03-01",24.969999
"41","2007-03-02",24.65
"42","2007-03-05",24.18
"43","2007-03-06",24.129999
"44","2007-03-07",23.969999
"45","2007-03-08",24.1
"46","2007-03-09",24
"47","2007-03-12",23.969999
"48","2007-03-13",23.65
"49","2007-03-14",24.459999
"50","2007-03-15",24.49
"51","2007-03-16",23.93
"52","2007-03-19",23.950001
"53","2007-03-20",23.809999
"54","2007-03-21",23.32
"55","2007-03-22",23.23
"56","2007-03-23",23.790001
"57","2007-03-26",23.469999
"58","2007-03-27",23.92
"59","2007-03-28",23.35
"60","2007-03-29",23.549999
"61","2007-03-30",23.51
"62","2007-04-02",23.440001
"63","2007-04-03",23.4
"64","2007-04-04",23.549999
"65","2007-04-05",23.43
"66","2007-04-09",23.700001
"67","2007-04-10",24.02
"68","2007-04-11",23.9
"69","2007-04-12",24.1
"70","2007-04-13",24.360001
"71","2007-04-16",24.33
"72","2007-04-17",24.469999
"73","2007-04-18",24.559999
"74","2007-04-19",23.9
"75","2007-04-20",24.15
"76","2007-04-23",23.98
"77","2007-04-24",23.77
"78","2007-04-25",23.51
"79","2007-04-26",23.77
"80","2007-04-27",23.48
"81","2007-04-30",23.4
"82","2007-05-01",24.58
"83","2007-05-02",25.280001
"84","2007-05-03",25.57
"85","2007-05-04",25.91
"86","2007-05-07",25.85
"87","2007-05-08",25.530001
"88","2007-05-09",25.610001
"89","2007-05-10",25.219999
"90","2007-05-11",25.15
"91","2007-05-14",24.9
"92","2007-05-15",24.799999
"93","2007-05-16",24.959999
"94","2007-05-17",24.52
"95","2007-05-18",24.6
"96","2007-05-21",24.6
"97","2007-05-22",25.030001
"98","2007-05-23",24.84
"99","2007-05-24",25.190001
"100","2007-05-25",25
"101","2007-05-29",25.469999
"102","2007-05-30",25.1
"103","2007-05-31",25.110001
"104","2007-06-01",26.07
"105","2007-06-04",25.959999
"106","2007-06-05",26.32
"107","2007-06-06",26.01
"108","2007-06-07",26.049999
"109","2007-06-08",26.549999
"110","2007-06-11",26.51
"111","2007-06-12",26.25
"112","2007-06-13",26.440001
"113","2007-06-14",25.879999
"114","2007-06-15",25.9
"115","2007-06-18",25.83
"116","2007-06-19",25.73
"117","2007-06-20",25.469999
"118","2007-06-21",25.77
"119","2007-06-22",25.450001
"120","2007-06-25",25.629999
"121","2007-06-26",25.620001
"122","2007-06-27",25.67
"123","2007-06-28",25.440001
"124","2007-06-29",25.4
"125","2007-07-02",24.65
"126","2007-07-03",24.719999
"127","2007-07-05",24.67
"128","2007-07-06",24.83
"129","2007-07-09",24.74
"130","2007-07-10",24.190001
"131","2007-07-11",23.93
"132","2007-07-12",24.290001
"133","2007-07-13",24.27
"134","2007-07-16",23.860001
"135","2007-07-17",23.629999
"136","2007-07-18",23.690001
"137","2007-07-19",23.639999
"138","2007-07-20",23.200001
"139","2007-07-23",23.23
"140","2007-07-24",23.219999
"141","2007-07-25",23.610001
"142","2007-07-26",22.809999
"143","2007-07-27",22.610001
"144","2007-07-30",22.530001
"145","2007-07-31",22.860001
"146","2007-08-01",22.91
"147","2007-08-02",22.639999
"148","2007-08-03",22.35
"149","2007-08-06",22.9
"150","2007-08-07",22.780001
"151","2007-08-08",22.99
"152","2007-08-09",22.709999
"153","2007-08-10",22.309999
"154","2007-08-13",22.16
"155","2007-08-14",21.379999
"156","2007-08-15",21.9
"157","2007-08-16",22.379999
"158","2007-08-17",21.950001
"159","2007-08-20",21.91
"160","2007-08-21",22
"161","2007-08-22",22
"162","2007-08-23",22.200001
"163","2007-08-24",22.450001
"164","2007-08-27",22.1
"165","2007-08-28",21.35
"166","2007-08-29",21.719999
"167","2007-08-30",21.91
"168","2007-08-31",21.98
"169","2007-09-04",21.92
"170","2007-09-05",21.99
"171","2007-09-06",21.6
"172","2007-09-07",21.26
"173","2007-09-10",20.719999
"174","2007-09-11",20.33
"175","2007-09-12",20.459999
"176","2007-09-13",20.24
"177","2007-09-14",19.799999
"178","2007-09-17",19.65
