"","date","RUHN"
"1","2019-04-03",7.85
"2","2019-04-04",8.61
"3","2019-04-05",8.51
"4","2019-04-08",7.05
"5","2019-04-09",6.08
"6","2019-04-10",6.54
"7","2019-04-11",6.26
"8","2019-04-12",6.87
"9","2019-04-15",7.35
"10","2019-04-16",6.79
"11","2019-04-17",6.64
"12","2019-04-18",6.66
"13","2019-04-22",6.36
"14","2019-04-23",6.8
"15","2019-04-24",6.99
"16","2019-04-25",7.06
"17","2019-04-26",7.15
"18","2019-04-29",7.3
"19","2019-04-30",7.59
"20","2019-05-01",7.06
"21","2019-05-02",6.72
"22","2019-05-03",6.79
"23","2019-05-06",6.18
"24","2019-05-07",6.18
"25","2019-05-08",5.96
"26","2019-05-09",5.72
"27","2019-05-10",5.71
"28","2019-05-13",5.21
"29","2019-05-14",5.22
"30","2019-05-15",5.04
"31","2019-05-16",4.45
"32","2019-05-17",4.25
"33","2019-05-20",3.73
"34","2019-05-21",3.6
"35","2019-05-22",4
"36","2019-05-23",4.01
"37","2019-05-24",3.96
"38","2019-05-28",3.88
"39","2019-05-29",3.76
"40","2019-05-30",3.77
"41","2019-05-31",3.75
"42","2019-06-03",3.68
"43","2019-06-04",3.72
"44","2019-06-05",3.65
"45","2019-06-06",3.29
"46","2019-06-07",3.21
"47","2019-06-10",3.24
"48","2019-06-11",3.39
"49","2019-06-12",3.26
"50","2019-06-13",4.01
"51","2019-06-14",3.76
"52","2019-06-17",3.88
"53","2019-06-18",3.78
"54","2019-06-19",3.75
"55","2019-06-20",3.57
"56","2019-06-21",3.48
"57","2019-06-24",3.18
"58","2019-06-25",3.1
"59","2019-06-26",3.12
"60","2019-06-27",3.19
"61","2019-06-28",3.44
"62","2019-07-01",3.5
"63","2019-07-02",3.67
"64","2019-07-03",3.59
"65","2019-07-05",3.5
"66","2019-07-08",3.51
"67","2019-07-09",3.545
"68","2019-07-10",3.58
"69","2019-07-11",3.6
"70","2019-07-12",3.62
"71","2019-07-15",3.61
"72","2019-07-16",3.59
"73","2019-07-17",3.63
"74","2019-07-18",3.64
"75","2019-07-19",3.66
"76","2019-07-22",3.85
"77","2019-07-23",3.83
"78","2019-07-24",3.69
"79","2019-07-25",3.79
"80","2019-07-26",3.75
"81","2019-07-29",3.66
"82","2019-07-30",3.63
"83","2019-07-31",3.6
"84","2019-08-01",3.77
"85","2019-08-02",3.66
"86","2019-08-05",3.47
"87","2019-08-06",3.48
"88","2019-08-07",3.43
"89","2019-08-08",3.42
"90","2019-08-09",3.52
"91","2019-08-12",3.47
"92","2019-08-13",3.81
"93","2019-08-14",4.2
"94","2019-08-15",4.6
"95","2019-08-16",4.69
"96","2019-08-19",4.5
"97","2019-08-20",4.46
"98","2019-08-21",4.58
"99","2019-08-22",4.5
"100","2019-08-23",4.66
"101","2019-08-26",4.71
"102","2019-08-27",4.9
"103","2019-08-28",5.05
"104","2019-08-29",4.47
"105","2019-08-30",4.51
