"","date","BILI"
"1","2018-03-28",11.24
"2","2018-03-29",11
"3","2018-04-02",11
"4","2018-04-03",10.91
"5","2018-04-04",10.97
"6","2018-04-05",10.98
"7","2018-04-06",10.94
"8","2018-04-09",11.1
"9","2018-04-10",11.5
"10","2018-04-11",11.48
"11","2018-04-12",11.62
"12","2018-04-13",11.4
"13","2018-04-16",11.33
"14","2018-04-17",11.32
"15","2018-04-18",11.35
"16","2018-04-19",11.35
"17","2018-04-20",11.19
"18","2018-04-23",11.19
"19","2018-04-24",11.29
"20","2018-04-25",10.9
"21","2018-04-26",11
"22","2018-04-27",10.61
"23","2018-04-30",10.92
"24","2018-05-01",10.58
"25","2018-05-02",10.26
"26","2018-05-03",10.08
"27","2018-05-04",9.99
"28","2018-05-07",10
"29","2018-05-08",10.27
"30","2018-05-09",10.65
"31","2018-05-10",11
"32","2018-05-11",11.46
"33","2018-05-14",12.07
"34","2018-05-15",12.16
"35","2018-05-16",14.11
"36","2018-05-17",13.55
"37","2018-05-18",12.84
"38","2018-05-21",12.75
"39","2018-05-22",13.14
"40","2018-05-23",12.44
"41","2018-05-24",13.85
"42","2018-05-25",14.24
"43","2018-05-29",15.03
"44","2018-05-30",16.67
"45","2018-05-31",16.23
"46","2018-06-01",16.91
"47","2018-06-04",16.43
"48","2018-06-05",16.709999
"49","2018-06-06",16.57
"50","2018-06-07",16.219999
"51","2018-06-08",18.950001
"52","2018-06-11",18.42
"53","2018-06-12",18.66
"54","2018-06-13",20.07
"55","2018-06-14",20.5
"56","2018-06-15",19.65
"57","2018-06-18",21.280001
"58","2018-06-19",19.18
"59","2018-06-20",18.540001
"60","2018-06-21",16.440001
"61","2018-06-22",16.65
"62","2018-06-25",15.36
"63","2018-06-26",15.85
"64","2018-06-27",13.9
"65","2018-06-28",14.5
"66","2018-06-29",13.99
"67","2018-07-02",13.36
"68","2018-07-03",13.8
"69","2018-07-05",12.9
"70","2018-07-06",13.3
"71","2018-07-09",13.85
"72","2018-07-10",13.26
"73","2018-07-11",12.78
"74","2018-07-12",14.26
"75","2018-07-13",13.8
"76","2018-07-16",13.8
"77","2018-07-17",13.69
"78","2018-07-18",14.43
"79","2018-07-19",13.92
"80","2018-07-20",14.41
"81","2018-07-23",14.18
"82","2018-07-24",13.92
"83","2018-07-25",13.36
"84","2018-07-26",12.77
"85","2018-07-27",12.13
"86","2018-07-30",11.59
"87","2018-07-31",11.71
"88","2018-08-01",11.33
"89","2018-08-02",11.51
"90","2018-08-03",11.06
"91","2018-08-06",11.27
"92","2018-08-07",11.4
"93","2018-08-08",11.39
"94","2018-08-09",11.25
"95","2018-08-10",11.14
"96","2018-08-13",10.81
"97","2018-08-14",10.66
"98","2018-08-15",10.265
"99","2018-08-16",10.56
"100","2018-08-17",10.7
"101","2018-08-20",11.3
"102","2018-08-21",11.85
"103","2018-08-22",11.01
"104","2018-08-23",10.53
"105","2018-08-24",10.91
"106","2018-08-27",11.53
"107","2018-08-28",13.08
"108","2018-08-29",13.76
"109","2018-08-30",13.14
"110","2018-08-31",12.83
"111","2018-09-04",12.5
"112","2018-09-05",11.39
"113","2018-09-06",11.4
"114","2018-09-07",11.71
"115","2018-09-10",11.31
"116","2018-09-11",11.84
"117","2018-09-12",13.03
"118","2018-09-13",13.35
"119","2018-09-14",13.52
"120","2018-09-17",13.23
"121","2018-09-18",13.76
"122","2018-09-19",13.22
"123","2018-09-20",13.44
"124","2018-09-21",12.43
"125","2018-09-24",12
"126","2018-09-25",12.55
"127","2018-09-26",12.87
"128","2018-09-27",13.02
"129","2018-09-28",13.48
"130","2018-10-01",13.95
"131","2018-10-02",13.31
"132","2018-10-03",14.37
"133","2018-10-04",13.55
"134","2018-10-05",13.35
"135","2018-10-08",13.63
"136","2018-10-09",13.17
"137","2018-10-10",12.42
"138","2018-10-11",12.69
"139","2018-10-12",13.71
"140","2018-10-15",13.95
"141","2018-10-16",13.46
"142","2018-10-17",13.25
"143","2018-10-18",12.61
"144","2018-10-19",12.49
"145","2018-10-22",13.05
"146","2018-10-23",12.97
"147","2018-10-24",11.99
"148","2018-10-25",12.57
"149","2018-10-26",13.17
"150","2018-10-29",12.47
"151","2018-10-30",13.1
"152","2018-10-31",13.5
"153","2018-11-01",14.19
"154","2018-11-02",14.43
"155","2018-11-05",14.36
"156","2018-11-06",14.91
"157","2018-11-07",15.15
"158","2018-11-08",14.49
"159","2018-11-09",13.4
"160","2018-11-12",12.9
"161","2018-11-13",13.77
"162","2018-11-14",13.56
"163","2018-11-15",14.47
"164","2018-11-16",14.5
"165","2018-11-19",13.025
"166","2018-11-20",13.6
"167","2018-11-21",15.14
"168","2018-11-23",14.98
"169","2018-11-26",14.94
"170","2018-11-27",14.97
"171","2018-11-28",16.139999
"172","2018-11-29",14.93
"173","2018-11-30",15.61
"174","2018-12-03",15.42
"175","2018-12-04",14.33
"176","2018-12-06",14.68
"177","2018-12-07",14.69
"178","2018-12-10",14.71
"179","2018-12-11",15.05
"180","2018-12-12",15.29
"181","2018-12-13",14.95
"182","2018-12-14",15.22
"183","2018-12-17",14.28
"184","2018-12-18",14.72
"185","2018-12-19",14.55
"186","2018-12-20",14.63
"187","2018-12-21",13.3
"188","2018-12-24",13.71
"189","2018-12-26",13.85
"190","2018-12-27",14.08
"191","2018-12-28",14.37
"192","2018-12-31",14.59
"193","2019-01-02",14.28
"194","2019-01-03",12.95
"195","2019-01-04",13.7
"196","2019-01-07",14.27
"197","2019-01-08",14.78
"198","2019-01-09",15.75
"199","2019-01-10",16.26
"200","2019-01-11",15.36
"201","2019-01-14",15.06
"202","2019-01-15",15.51
"203","2019-01-16",16.030001
"204","2019-01-17",16.530001
"205","2019-01-18",16.709999
"206","2019-01-22",15.93
"207","2019-01-23",15.95
"208","2019-01-24",16.889999
"209","2019-01-25",17.440001
"210","2019-01-28",17.98
"211","2019-01-29",17.84
"212","2019-01-30",17.76
"213","2019-01-31",18.41
"214","2019-02-01",17.83
"215","2019-02-04",17.700001
"216","2019-02-05",18.209999
"217","2019-02-06",18.209999
"218","2019-02-07",17.18
"219","2019-02-08",17.459999
"220","2019-02-11",17.290001
"221","2019-02-12",17.860001
"222","2019-02-13",18.200001
"223","2019-02-14",18.92
"224","2019-02-15",17.74
"225","2019-02-19",17.799999
"226","2019-02-20",18.309999
"227","2019-02-21",18.139999
"228","2019-02-22",19.48
"229","2019-02-25",20.26
"230","2019-02-26",19.73
"231","2019-02-27",19.860001
"232","2019-02-28",18.98
"233","2019-03-01",17.98
"234","2019-03-04",18.82
"235","2019-03-05",19.139999
"236","2019-03-06",18.66
"237","2019-03-07",17.799999
"238","2019-03-08",17.940001
"239","2019-03-11",18.6
"240","2019-03-12",18.9
"241","2019-03-13",18.200001
"242","2019-03-14",18.5
"243","2019-03-15",18.709999
"244","2019-03-18",18.5
"245","2019-03-19",18.65
"246","2019-03-20",17.75
"247","2019-03-21",17.709999
"248","2019-03-22",17.209999
"249","2019-03-25",17.59
"250","2019-03-26",17.700001
"251","2019-03-27",17.709999
"252","2019-03-28",18.1
"253","2019-03-29",18.950001
"254","2019-04-01",18.799999
"255","2019-04-02",18.049999
"256","2019-04-03",18.08
"257","2019-04-04",17.23
"258","2019-04-05",18.02
"259","2019-04-08",17.91
"260","2019-04-09",17.84
"261","2019-04-10",17.629999
"262","2019-04-11",17.469999
"263","2019-04-12",18.32
"264","2019-04-15",17.18
"265","2019-04-16",17.1
"266","2019-04-17",16.93
"267","2019-04-18",17.450001
"268","2019-04-22",17.719999
"269","2019-04-23",17.73
"270","2019-04-24",17.77
"271","2019-04-25",17.49
"272","2019-04-26",17.780001
"273","2019-04-29",17.68
"274","2019-04-30",17.799999
"275","2019-05-01",17.83
"276","2019-05-02",17.719999
"277","2019-05-03",18.190001
"278","2019-05-06",17.4
"279","2019-05-07",17.09
"280","2019-05-08",17.139999
"281","2019-05-09",17.139999
"282","2019-05-10",17.1
"283","2019-05-13",16.209999
"284","2019-05-14",15.39
"285","2019-05-15",15.53
"286","2019-05-16",15.81
