"","date","SRAX"
"1","2012-10-17",5.05
"2","2012-10-18",5.05
"3","2012-10-19",5.05
"4","2012-10-22",5.05
"5","2012-10-23",5.05
"6","2012-10-24",5.05
"7","2012-10-25",5.05
"8","2012-10-26",5.05
"9","2012-10-31",5.05
"10","2012-11-01",5.05
"11","2012-11-02",5.05
"12","2012-11-05",5.05
"13","2012-11-06",5.05
"14","2012-11-07",5.05
"15","2012-11-08",5.05
"16","2012-11-09",5.05
"17","2012-11-12",5.05
"18","2012-11-13",5.05
"19","2012-11-14",5.05
"20","2012-11-15",5.05
"21","2012-11-16",5.05
"22","2012-11-19",5.05
"23","2012-11-20",5.05
"24","2012-11-21",5.05
"25","2012-11-23",NA
"26","2012-11-26",5.05
"27","2012-11-27",5.05
"28","2012-11-28",5.05
"29","2012-11-29",5.05
"30","2012-11-30",5.05
"31","2012-12-03",5.05
"32","2012-12-04",5.05
"33","2012-12-05",5.95
"34","2012-12-06",5.05
"35","2012-12-07",5.05
"36","2012-12-10",5.05
"37","2012-12-11",5.05
"38","2012-12-12",5.05
"39","2012-12-13",5
"40","2012-12-14",5
"41","2012-12-17",5
"42","2012-12-18",5
"43","2012-12-19",5
"44","2012-12-20",5
"45","2012-12-21",5
"46","2012-12-24",5
"47","2012-12-26",5
"48","2012-12-27",5
"49","2012-12-28",5
"50","2012-12-31",5
"51","2013-01-02",5
"52","2013-01-03",5
"53","2013-01-04",5
"54","2013-01-07",5.5
"55","2013-01-08",5.5
"56","2013-01-09",5.5
"57","2013-01-10",5.5
"58","2013-01-11",5.5
"59","2013-01-14",5.5
"60","2013-01-15",5
"61","2013-01-16",5
"62","2013-01-17",5
"63","2013-01-18",5
"64","2013-01-22",5
"65","2013-01-23",5
"66","2013-01-24",5
"67","2013-01-25",5
"68","2013-01-28",5
"69","2013-01-29",5
"70","2013-01-30",5
"71","2013-01-31",5
"72","2013-02-01",5
"73","2013-02-04",5
"74","2013-02-05",5
"75","2013-02-06",5
"76","2013-02-07",5
"77","2013-02-08",5
"78","2013-02-11",5
"79","2013-02-12",5
"80","2013-02-13",5
"81","2013-02-14",5
"82","2013-02-15",5
"83","2013-02-19",5
"84","2013-02-20",5
"85","2013-02-21",5
"86","2013-02-22",5
"87","2013-02-25",5
"88","2013-02-26",5
"89","2013-02-27",5
"90","2013-02-28",5
"91","2013-03-01",5
"92","2013-03-04",5
"93","2013-03-05",5
"94","2013-03-06",5
"95","2013-03-07",5
"96","2013-03-08",5
"97","2013-03-11",5
"98","2013-03-12",5
"99","2013-03-13",5
"100","2013-03-14",5
"101","2013-03-15",5
"102","2013-03-18",5
"103","2013-03-19",5
"104","2013-03-20",5
"105","2013-03-21",5
"106","2013-03-22",5
"107","2013-03-25",5
"108","2013-03-26",5
"109","2013-03-27",5
"110","2013-03-28",5
