"","date","LE"
"1","2014-03-20",33.5
"2","2014-03-21",30.5
"3","2014-03-24",30.719999
"4","2014-03-25",30.85
"5","2014-03-26",30.4
"6","2014-03-27",30.219999
"7","2014-03-28",29.209999
"8","2014-03-31",30.01
"9","2014-04-01",30.49
"10","2014-04-02",32.25
"11","2014-04-03",31.799999
"12","2014-04-04",31.67
"13","2014-04-07",29.549999
"14","2014-04-08",27.34
"15","2014-04-09",26.629999
"16","2014-04-10",25.98
"17","2014-04-11",26.01
"18","2014-04-14",26.16
"19","2014-04-15",26.09
"20","2014-04-16",25.860001
"21","2014-04-17",26.1
"22","2014-04-21",27.360001
"23","2014-04-22",27.99
"24","2014-04-23",27.969999
"25","2014-04-24",27.690001
"26","2014-04-25",27.23
"27","2014-04-28",27.5
"28","2014-04-29",28.030001
"29","2014-04-30",27.65
"30","2014-05-01",27.459999
"31","2014-05-02",27.33
"32","2014-05-05",27.219999
"33","2014-05-06",26.49
"34","2014-05-07",26.34
"35","2014-05-08",26.440001
"36","2014-05-09",26.440001
"37","2014-05-12",26.950001
"38","2014-05-13",27.02
"39","2014-05-14",27.309999
"40","2014-05-15",27.200001
"41","2014-05-16",27.299999
"42","2014-05-19",26.870001
"43","2014-05-20",26.73
"44","2014-05-21",27.33
"45","2014-05-22",26.959999
"46","2014-05-23",26.790001
"47","2014-05-27",26.790001
"48","2014-05-28",26.51
"49","2014-05-29",27.139999
"50","2014-05-30",27.76
"51","2014-06-02",27.530001
"52","2014-06-03",27.57
"53","2014-06-04",27.450001
"54","2014-06-05",26.719999
"55","2014-06-06",26.91
"56","2014-06-09",27.969999
"57","2014-06-10",27.200001
"58","2014-06-11",26.629999
"59","2014-06-12",28.809999
"60","2014-06-13",30.5
"61","2014-06-16",31.9
"62","2014-06-17",32.759998
"63","2014-06-18",32.93
"64","2014-06-19",34.869999
"65","2014-06-20",34.619999
"66","2014-06-23",33.310001
"67","2014-06-24",32.709999
"68","2014-06-25",33.330002
"69","2014-06-26",34.060001
"70","2014-06-27",34.07
"71","2014-06-30",33.580002
