"","date","ZBRA"
"1","2007-01-03",34.880001
"2","2007-01-04",34.68
"3","2007-01-05",34.330002
"4","2007-01-08",34.400002
"5","2007-01-09",34.34
"6","2007-01-10",34.369999
"7","2007-01-11",34.439999
"8","2007-01-12",35.5
"9","2007-01-16",35.549999
"10","2007-01-17",35.52
"11","2007-01-18",34.810001
"12","2007-01-19",34.799999
"13","2007-01-22",34.810001
"14","2007-01-23",34.830002
"15","2007-01-24",35
"16","2007-01-25",34.59
"17","2007-01-26",34.740002
"18","2007-01-29",34.700001
"19","2007-01-30",34.700001
"20","2007-01-31",34.669998
"21","2007-02-01",34.75
"22","2007-02-02",35.360001
"23","2007-02-05",35.599998
"24","2007-02-06",36.290001
"25","2007-02-07",36.48
"26","2007-02-08",36.080002
"27","2007-02-09",35.700001
"28","2007-02-12",36.23
"29","2007-02-13",36.549999
"30","2007-02-14",37.970001
"31","2007-02-15",39.990002
"32","2007-02-16",40.830002
"33","2007-02-20",41.080002
"34","2007-02-21",41.599998
"35","2007-02-22",41.650002
"36","2007-02-23",42.18
"37","2007-02-26",41.790001
"38","2007-02-27",40.009998
"39","2007-02-28",39.610001
"40","2007-03-01",40.099998
"41","2007-03-02",39.23
"42","2007-03-05",38.849998
"43","2007-03-06",39.099998
"44","2007-03-07",39.07
"45","2007-03-08",38.91
"46","2007-03-09",38.610001
"47","2007-03-12",38.299999
"48","2007-03-13",37.360001
"49","2007-03-14",37.549999
"50","2007-03-15",37.599998
"51","2007-03-16",37.220001
"52","2007-03-19",37.470001
"53","2007-03-20",38.110001
"54","2007-03-21",38.490002
"55","2007-03-22",38.880001
"56","2007-03-23",38.689999
"57","2007-03-26",38.799999
"58","2007-03-27",39.130001
"59","2007-03-28",38.5
"60","2007-03-29",38.48
"61","2007-03-30",38.610001
"62","2007-04-02",38.779999
"63","2007-04-03",39.27
"64","2007-04-04",39.549999
"65","2007-04-05",39.799999
"66","2007-04-09",39.689999
"67","2007-04-10",40.099998
"68","2007-04-11",39.330002
"69","2007-04-12",39.939999
"70","2007-04-13",40.119999
"71","2007-04-16",40.66
"72","2007-04-17",40.82
"73","2007-04-18",40.950001
"74","2007-04-19",41.32
"75","2007-04-20",41.360001
"76","2007-04-23",41.110001
"77","2007-04-24",40.669998
"78","2007-04-25",41.25
"79","2007-04-26",40.990002
"80","2007-04-27",40.82
"81","2007-04-30",39.790001
"82","2007-05-01",38.900002
"83","2007-05-02",39.419998
"84","2007-05-03",39.16
"85","2007-05-04",39.52
"86","2007-05-07",39.349998
"87","2007-05-08",39.48
"88","2007-05-09",39.650002
"89","2007-05-10",38.099998
"90","2007-05-11",38.48
"91","2007-05-14",38.349998
"92","2007-05-15",38.029999
"93","2007-05-16",38.43
"94","2007-05-17",38.259998
