"","date","NMIH"
"1","2013-11-08",14
"2","2013-11-11",14.04
"3","2013-11-12",14
"4","2013-11-13",14
"5","2013-11-14",13.94
"6","2013-11-15",14
"7","2013-11-18",14.1
"8","2013-11-19",14.05
"9","2013-11-20",13.82
"10","2013-11-21",13.75
"11","2013-11-22",13.83
"12","2013-11-25",14
"13","2013-11-26",13.98
"14","2013-11-27",14.15
"15","2013-11-29",14.04
"16","2013-12-02",14.02
"17","2013-12-03",13.9
"18","2013-12-04",13.78
"19","2013-12-05",13.76
"20","2013-12-06",13.1
"21","2013-12-09",13.48
"22","2013-12-10",12.65
"23","2013-12-11",12.19
"24","2013-12-12",12.24
"25","2013-12-13",12
"26","2013-12-16",12.88
"27","2013-12-17",12.3
"28","2013-12-18",12.84
"29","2013-12-19",12.37
"30","2013-12-20",12.13
"31","2013-12-23",12.76
"32","2013-12-24",12.45
"33","2013-12-26",12.5
"34","2013-12-27",12.55
"35","2013-12-30",12.5
"36","2013-12-31",12.73
"37","2014-01-02",12.47
"38","2014-01-03",12.26
"39","2014-01-06",12.34
"40","2014-01-07",12.22
"41","2014-01-08",12.35
"42","2014-01-09",12.4
"43","2014-01-10",12.5
"44","2014-01-13",12.5
"45","2014-01-14",12.5
"46","2014-01-15",12.29
"47","2014-01-16",12.16
"48","2014-01-17",12.3
"49","2014-01-21",12.25
"50","2014-01-22",12.26
"51","2014-01-23",12.28
"52","2014-01-24",12.25
"53","2014-01-27",12.06
"54","2014-01-28",12.05
"55","2014-01-29",12.15
"56","2014-01-30",12.18
"57","2014-01-31",12.27
"58","2014-02-03",12.2
"59","2014-02-04",12.09
"60","2014-02-05",12.2
"61","2014-02-06",12.16
"62","2014-02-07",12.21
"63","2014-02-10",12.24
"64","2014-02-11",12.25
"65","2014-02-12",12.32
"66","2014-02-13",12.27
"67","2014-02-14",12.22
"68","2014-02-18",12.12
"69","2014-02-19",11.69
"70","2014-02-20",11.78
"71","2014-02-21",11.47
"72","2014-02-24",11.55
"73","2014-02-25",11.46
"74","2014-02-26",10.94
"75","2014-02-27",10.82
"76","2014-02-28",10.94
"77","2014-03-03",10.67
"78","2014-03-04",10.52
"79","2014-03-05",10.53
"80","2014-03-06",10.53
"81","2014-03-07",10.9
"82","2014-03-10",11.35
"83","2014-03-11",11.96
"84","2014-03-12",11.9
"85","2014-03-13",11.81
"86","2014-03-14",11.85
"87","2014-03-17",11.81
"88","2014-03-18",11.89
"89","2014-03-19",11.88
"90","2014-03-20",11.87
"91","2014-03-21",11.8
"92","2014-03-24",11.85
"93","2014-03-25",11.72
"94","2014-03-26",11.49
"95","2014-03-27",11.6
"96","2014-03-28",11.68
"97","2014-03-31",11.72
"98","2014-04-01",11.62
"99","2014-04-02",11.56
"100","2014-04-03",11.34
"101","2014-04-04",11.37
"102","2014-04-07",11.2
"103","2014-04-08",11.02
"104","2014-04-09",11.14
"105","2014-04-10",11.21
"106","2014-04-11",11.02
"107","2014-04-14",10.9
"108","2014-04-15",10.96
"109","2014-04-16",11.06
"110","2014-04-17",11.24
"111","2014-04-21",11.3
"112","2014-04-22",11.42
"113","2014-04-23",11.39
"114","2014-04-24",11.31
"115","2014-04-25",11.31
"116","2014-04-28",11.32
"117","2014-04-29",11.37
"118","2014-04-30",11.35
"119","2014-05-01",11.16
"120","2014-05-02",11.08
"121","2014-05-05",11.1
"122","2014-05-06",10.75
"123","2014-05-07",10.26
"124","2014-05-08",10.12
"125","2014-05-09",10.12
"126","2014-05-12",10.06
"127","2014-05-13",10.14
"128","2014-05-14",10.07
"129","2014-05-15",10.04
"130","2014-05-16",10.03
"131","2014-05-19",10
"132","2014-05-20",9.98
"133","2014-05-21",9.98
"134","2014-05-22",10.12
"135","2014-05-23",10.25
"136","2014-05-27",10.44
"137","2014-05-28",10.38
"138","2014-05-29",10.66
"139","2014-05-30",10.94
"140","2014-06-02",10.75
"141","2014-06-03",10.97
"142","2014-06-04",10.92
"143","2014-06-05",11.1
"144","2014-06-06",11.12
"145","2014-06-09",11.2
"146","2014-06-10",11
"147","2014-06-11",11.26
"148","2014-06-12",11.35
"149","2014-06-13",11.32
"150","2014-06-16",11.47
"151","2014-06-17",11.68
"152","2014-06-18",11.69
"153","2014-06-19",11.58
"154","2014-06-20",11.75
"155","2014-06-23",11.49
"156","2014-06-24",11.44
"157","2014-06-25",11.41
"158","2014-06-26",11.14
"159","2014-06-27",11
"160","2014-06-30",10.5
"161","2014-07-01",10.38
"162","2014-07-02",10.64
"163","2014-07-03",10.83
"164","2014-07-07",10.47
"165","2014-07-08",10.39
"166","2014-07-09",10.38
"167","2014-07-10",10.3
"168","2014-07-11",10.31
"169","2014-07-14",10.42
"170","2014-07-15",10.46
"171","2014-07-16",10.41
"172","2014-07-17",10.27
"173","2014-07-18",10.24
"174","2014-07-21",10.07
"175","2014-07-22",10.07
"176","2014-07-23",10.14
"177","2014-07-24",10.15
"178","2014-07-25",10.12
"179","2014-07-28",10.02
"180","2014-07-29",10.14
"181","2014-07-30",10.2
"182","2014-07-31",9.99
"183","2014-08-01",9.82
"184","2014-08-04",10.05
"185","2014-08-05",9.96
"186","2014-08-06",10.12
"187","2014-08-07",10.23
"188","2014-08-08",10.13
"189","2014-08-11",10.19
"190","2014-08-12",10.05
"191","2014-08-13",9.93
"192","2014-08-14",9.9
"193","2014-08-15",9.83
"194","2014-08-18",9.85
"195","2014-08-19",9.86
"196","2014-08-20",9.91
"197","2014-08-21",9.8
"198","2014-08-22",9.74
"199","2014-08-25",9.62
"200","2014-08-26",9.9
"201","2014-08-27",9.76
"202","2014-08-28",9.67
"203","2014-08-29",9.68
"204","2014-09-02",9.73
"205","2014-09-03",9.42
"206","2014-09-04",9.22
"207","2014-09-05",9.17
"208","2014-09-08",9.49
"209","2014-09-09",9.41
"210","2014-09-10",9.45
"211","2014-09-11",9.43
"212","2014-09-12",9.28
"213","2014-09-15",9.18
"214","2014-09-16",9
"215","2014-09-17",9.24
"216","2014-09-18",9.4
"217","2014-09-19",9.06
"218","2014-09-22",8.63
"219","2014-09-23",8.6
"220","2014-09-24",8.69
"221","2014-09-25",8.66
"222","2014-09-26",8.4
"223","2014-09-29",8.35
"224","2014-09-30",8.65
"225","2014-10-01",8.53
"226","2014-10-02",8.55
