"","date","TARA"
"1","2014-10-22",401.200012
"2","2014-10-23",400
"3","2014-10-24",400
"4","2014-10-27",400
"5","2014-10-28",400
"6","2014-10-29",400.399994
"7","2014-10-30",400
"8","2014-10-31",400
"9","2014-11-03",408
"10","2014-11-04",410
"11","2014-11-05",409.600006
"12","2014-11-06",409.600006
"13","2014-11-07",406
"14","2014-11-10",403.600006
"15","2014-11-11",404
"16","2014-11-12",401.600006
"17","2014-11-13",400
"18","2014-11-14",403.920013
"19","2014-11-17",414.399994
"20","2014-11-18",412.399994
"21","2014-11-19",411.200012
"22","2014-11-20",408.799988
"23","2014-11-21",413.600006
"24","2014-11-24",418
"25","2014-11-25",416.399994
"26","2014-11-26",425.600006
"27","2014-11-28",421.679993
"28","2014-12-01",416.399994
"29","2014-12-02",402
"30","2014-12-03",360.399994
"31","2014-12-04",362
"32","2014-12-05",350.799988
"33","2014-12-08",358
"34","2014-12-09",410.399994
"35","2014-12-10",410.799988
"36","2014-12-11",394.399994
"37","2014-12-12",391.600006
"38","2014-12-15",403.600006
"39","2014-12-16",411.200012
"40","2014-12-17",402.799988
"41","2014-12-18",407.600006
"42","2014-12-19",407.600006
"43","2014-12-22",420
"44","2014-12-23",409.200012
"45","2014-12-24",416
"46","2014-12-26",392.799988
"47","2014-12-29",402.799988
"48","2014-12-30",411.600006
"49","2014-12-31",416
"50","2015-01-02",424
"51","2015-01-05",425.200012
"52","2015-01-06",426
"53","2015-01-07",424.399994
"54","2015-01-08",424.799988
"55","2015-01-09",469.600006
"56","2015-01-12",480
"57","2015-01-13",494
"58","2015-01-14",474.399994
"59","2015-01-15",459.600006
"60","2015-01-16",453.600006
"61","2015-01-20",458.799988
"62","2015-01-21",434.399994
"63","2015-01-22",461.600006
"64","2015-01-23",434
"65","2015-01-26",429.200012
"66","2015-01-27",431.600006
"67","2015-01-28",426.399994
"68","2015-01-29",420.399994
"69","2015-01-30",420
"70","2015-02-02",416.399994
"71","2015-02-03",418.399994
"72","2015-02-04",444.399994
"73","2015-02-05",441.200012
"74","2015-02-06",442
"75","2015-02-09",420
"76","2015-02-10",422.399994
"77","2015-02-11",420
"78","2015-02-12",418
"79","2015-02-13",418
"80","2015-02-17",420
"81","2015-02-18",421.200012
"82","2015-02-19",432
"83","2015-02-20",422.399994
"84","2015-02-23",422
"85","2015-02-24",432
"86","2015-02-25",425.200012
"87","2015-02-26",426
"88","2015-02-27",432.399994
"89","2015-03-02",427.799988
"90","2015-03-03",415.200012
"91","2015-03-04",423.600006
"92","2015-03-05",415.600006
"93","2015-03-06",419.600006
"94","2015-03-09",416.799988
"95","2015-03-10",420.799988
"96","2015-03-11",436.799988
"97","2015-03-12",450.399994
"98","2015-03-13",450
"99","2015-03-16",452.799988
"100","2015-03-17",462
"101","2015-03-18",465.600006
"102","2015-03-19",464.799988
"103","2015-03-20",466.399994
"104","2015-03-23",465.600006
"105","2015-03-24",463.600006
"106","2015-03-25",460
"107","2015-03-26",436
"108","2015-03-27",470
"109","2015-03-30",458.399994
"110","2015-03-31",465.200012
"111","2015-04-01",455.200012
"112","2015-04-02",471.200012
"113","2015-04-06",498
"114","2015-04-07",464.799988
"115","2015-04-08",533.599976
"116","2015-04-09",570.400024
"117","2015-04-10",618.799988
"118","2015-04-13",653.599976
"119","2015-04-14",674
"120","2015-04-15",631.599976
"121","2015-04-16",646.799988
"122","2015-04-17",625.200012
"123","2015-04-20",551.200012
"124","2015-04-21",489.200012
"125","2015-04-22",486
"126","2015-04-23",491.600006
"127","2015-04-24",492
"128","2015-04-27",480
"129","2015-04-28",485.600006
"130","2015-04-29",484
"131","2015-04-30",482.399994
"132","2015-05-01",512
"133","2015-05-04",555.200012
"134","2015-05-05",590
"135","2015-05-06",598.799988
"136","2015-05-07",654.799988
"137","2015-05-08",679.599976
"138","2015-05-11",645.200012
"139","2015-05-12",664.799988
"140","2015-05-13",640
"141","2015-05-14",561.599976
"142","2015-05-15",659.599976
"143","2015-05-18",677.200012
"144","2015-05-19",672
"145","2015-05-20",691.200012
"146","2015-05-21",686
"147","2015-05-22",674.799988
"148","2015-05-26",620.400024
"149","2015-05-27",651.599976
"150","2015-05-28",656
"151","2015-05-29",676
"152","2015-06-01",669.599976
"153","2015-06-02",703.599976
"154","2015-06-03",705.200012
"155","2015-06-04",674.400024
"156","2015-06-05",654
"157","2015-06-08",671.200012
"158","2015-06-09",680
"159","2015-06-10",692.400024
"160","2015-06-11",677.599976
"161","2015-06-12",675.599976
"162","2015-06-15",672.799988
"163","2015-06-16",701.599976
"164","2015-06-17",693.599976
"165","2015-06-18",678.400024
"166","2015-06-19",674.400024
"167","2015-06-22",653.200012
"168","2015-06-23",646
"169","2015-06-24",647.200012
"170","2015-06-25",670.400024
"171","2015-06-26",670.400024
"172","2015-06-29",693.599976
"173","2015-06-30",714.400024
"174","2015-07-01",747.200012
"175","2015-07-02",670.799988
"176","2015-07-06",694
"177","2015-07-07",680.400024
"178","2015-07-08",662
"179","2015-07-09",644
"180","2015-07-10",693.200012
"181","2015-07-13",689.599976
"182","2015-07-14",718.799988
"183","2015-07-15",740
"184","2015-07-16",758.400024
"185","2015-07-17",800
"186","2015-07-20",724
"187","2015-07-21",730
"188","2015-07-22",755.599976
"189","2015-07-23",717.599976
"190","2015-07-24",714
"191","2015-07-27",704.400024
"192","2015-07-28",694.400024
"193","2015-07-29",666.799988
