"","date","CIA"
"1","2007-01-03",6.9
"2","2007-01-04",6.7
"3","2007-01-05",6.69
"4","2007-01-08",6.9
"5","2007-01-09",6.85
"6","2007-01-10",6.9
"7","2007-01-11",6.78
"8","2007-01-12",6.96
"9","2007-01-16",6.99
"10","2007-01-17",6.97
"11","2007-01-18",6.98
"12","2007-01-19",7.1
"13","2007-01-22",7.1
"14","2007-01-23",7.08
"15","2007-01-24",7.08
"16","2007-01-25",7.1
"17","2007-01-26",7.05
"18","2007-01-29",7.12
"19","2007-01-30",7.2
"20","2007-01-31",7.2
"21","2007-02-01",7.1
"22","2007-02-02",7.17
"23","2007-02-05",7.1
"24","2007-02-06",7.14
"25","2007-02-07",7.15
"26","2007-02-08",7.17
"27","2007-02-09",7.13
"28","2007-02-12",7.1
"29","2007-02-13",7.13
"30","2007-02-14",7.17
"31","2007-02-15",7.1
"32","2007-02-16",7.04
"33","2007-02-20",7.1
"34","2007-02-21",7.04
"35","2007-02-22",7.05
"36","2007-02-23",7.03
"37","2007-02-26",7
"38","2007-02-27",6.97
"39","2007-02-28",6.9
"40","2007-03-01",6.92
"41","2007-03-02",6.94
"42","2007-03-05",6.9
"43","2007-03-06",6.87
"44","2007-03-07",6.89
"45","2007-03-08",6.88
"46","2007-03-09",7
"47","2007-03-12",7.02
"48","2007-03-13",7
"49","2007-03-14",7.15
"50","2007-03-15",7.15
"51","2007-03-16",7.15
"52","2007-03-19",7.6
"53","2007-03-20",7.71
"54","2007-03-21",7.38
"55","2007-03-22",7.36
"56","2007-03-23",7.49
"57","2007-03-26",7.55
"58","2007-03-27",7.39
"59","2007-03-28",7.2
"60","2007-03-29",7.12
"61","2007-03-30",7.31
"62","2007-04-02",7.37
"63","2007-04-03",7.36
"64","2007-04-04",7.3
"65","2007-04-05",7.3
"66","2007-04-09",7.27
"67","2007-04-10",7.3
"68","2007-04-11",7.3
"69","2007-04-12",7.48
"70","2007-04-13",7.79
"71","2007-04-16",7.78
"72","2007-04-17",7.78
"73","2007-04-18",7.69
"74","2007-04-19",7.62
"75","2007-04-20",7.61
"76","2007-04-23",7.59
"77","2007-04-24",7.56
"78","2007-04-25",7.69
"79","2007-04-26",7.6
"80","2007-04-27",7.67
"81","2007-04-30",7.66
"82","2007-05-01",7.64
