"","date","BCO"
"1","2007-01-03",64.690002
"2","2007-01-04",65.120003
"3","2007-01-05",63.450001
"4","2007-01-08",64.160004
"5","2007-01-09",64.18
"6","2007-01-10",64.150002
"7","2007-01-11",64.32
"8","2007-01-12",64.300003
"9","2007-01-16",64.160004
"10","2007-01-17",63.439999
"11","2007-01-18",62.09
"12","2007-01-19",62.389999
"13","2007-01-22",61.700001
"14","2007-01-23",61.77
"15","2007-01-24",62.150002
"16","2007-01-25",61.189999
"17","2007-01-26",61.990002
"18","2007-01-29",61.759998
"19","2007-01-30",61.830002
"20","2007-01-31",62.150002
"21","2007-02-01",63.959999
"22","2007-02-02",63.52
"23","2007-02-05",63.220001
"24","2007-02-06",63.099998
"25","2007-02-07",63.560001
"26","2007-02-08",62.849998
"27","2007-02-09",61.84
"28","2007-02-12",62.099998
"29","2007-02-13",61.400002
"30","2007-02-14",61.790001
"31","2007-02-15",62.419998
"32","2007-02-16",62.900002
"33","2007-02-20",62.91
"34","2007-02-21",62.810001
"35","2007-02-22",62.23
"36","2007-02-23",61.540001
"37","2007-02-26",61.470001
"38","2007-02-27",59.52
"39","2007-02-28",59.200001
"40","2007-03-01",58.93
"41","2007-03-02",58.77
"42","2007-03-05",57.810001
"43","2007-03-06",59.540001
"44","2007-03-07",60
"45","2007-03-08",59.779999
"46","2007-03-09",59.400002
"47","2007-03-12",59.860001
"48","2007-03-13",59.18
"49","2007-03-14",59.169998
"50","2007-03-15",59.07
"51","2007-03-16",58.529999
"52","2007-03-19",59.650002
"53","2007-03-20",60.119999
"54","2007-03-21",59.57
"55","2007-03-22",62.310001
"56","2007-03-23",61.860001
"57","2007-03-26",63.060001
"58","2007-03-27",62.349998
"59","2007-03-28",62.990002
"60","2007-03-29",63.02
"61","2007-03-30",63.450001
"62","2007-04-02",63.119999
"63","2007-04-03",63.139999
"64","2007-04-04",63.290001
"65","2007-04-05",62.91
"66","2007-04-09",62.860001
"67","2007-04-10",62.93
"68","2007-04-11",62.73
"69","2007-04-12",63.09
"70","2007-04-13",63.709999
"71","2007-04-16",64
"72","2007-04-17",63.75
"73","2007-04-18",63.720001
"74","2007-04-19",63.32
"75","2007-04-20",63.049999
"76","2007-04-23",63.43
"77","2007-04-24",63.279999
"78","2007-04-25",63.759998
"79","2007-04-26",63.880001
