"","date","ONTX"
"1","2013-07-25",2982
"2","2013-07-26",3012
"3","2013-07-29",3225
"4","2013-07-30",3279
"5","2013-07-31",3268.5
"6","2013-08-01",3270
"7","2013-08-02",3538.5
"8","2013-08-05",4380
"9","2013-08-06",4162.5
"10","2013-08-07",4204.5
"11","2013-08-08",4330.5
"12","2013-08-09",4410
"13","2013-08-12",4321.5
"14","2013-08-13",4162.5
"15","2013-08-14",4150.5
"16","2013-08-15",4050
"17","2013-08-16",3853.5
"18","2013-08-19",3661.5
"19","2013-08-20",3652.5
"20","2013-08-21",3744
"21","2013-08-22",3864
"22","2013-08-23",4047
"23","2013-08-26",4074
"24","2013-08-27",3783
"25","2013-08-28",3804
"26","2013-08-29",3709.5
"27","2013-08-30",3651
"28","2013-09-03",3757.5
"29","2013-09-04",3781.5
"30","2013-09-05",3855
"31","2013-09-06",3903
"32","2013-09-09",3979.5
"33","2013-09-10",3960
"34","2013-09-11",3787.5
"35","2013-09-12",3735
"36","2013-09-13",3750
"37","2013-09-16",3772.5
"38","2013-09-17",3711
"39","2013-09-18",3747
"40","2013-09-19",3778.5
"41","2013-09-20",3699
"42","2013-09-23",3751.5
"43","2013-09-24",3661.5
"44","2013-09-25",3930
"45","2013-09-26",4162.5
"46","2013-09-27",4032
"47","2013-09-30",3970.5
"48","2013-10-01",4017
"49","2013-10-02",4113
"50","2013-10-03",4321.5
"51","2013-10-04",4371
"52","2013-10-07",4156.5
"53","2013-10-08",3996
"54","2013-10-09",3676.5
"55","2013-10-10",3687
"56","2013-10-11",3597
"57","2013-10-14",3396
"58","2013-10-15",3294
"59","2013-10-16",3277.5
"60","2013-10-17",3291
"61","2013-10-18",3102
"62","2013-10-21",2991
"63","2013-10-22",2815.5
"64","2013-10-23",2647.5
"65","2013-10-24",2499
"66","2013-10-25",2353.5
"67","2013-10-28",2502
"68","2013-10-29",2691
"69","2013-10-30",2452.5
"70","2013-10-31",2361
"71","2013-11-01",2247
"72","2013-11-04",2229
"73","2013-11-05",2445
"74","2013-11-06",2302.5
"75","2013-11-07",1987.5
"76","2013-11-08",1945.5
"77","2013-11-11",2008.5
"78","2013-11-12",1960.5
"79","2013-11-13",1972.5
"80","2013-11-14",1800
"81","2013-11-15",1795.5
"82","2013-11-18",1762.5
