"","date","SPNE"
"1","2015-06-17",20
"2","2015-06-18",20
"3","2015-06-19",21
"4","2015-06-22",21
"5","2015-06-23",21
"6","2015-06-24",21
"7","2015-06-25",22.5
"8","2015-06-26",22.5
"9","2015-06-29",22.5
"10","2015-06-30",24.01
"11","2015-07-01",19.110001
"12","2015-07-02",18.540001
"13","2015-07-06",16.82
"14","2015-07-07",16.360001
"15","2015-07-08",16
"16","2015-07-09",14.6
"17","2015-07-10",13.955
"18","2015-07-13",14.51
"19","2015-07-14",17.799999
"20","2015-07-15",17.49
"21","2015-07-16",17.459999
"22","2015-07-17",17
"23","2015-07-20",16.99
"24","2015-07-21",16.940001
"25","2015-07-22",16.99
"26","2015-07-23",16.75
"27","2015-07-24",16.5
"28","2015-07-27",16.190001
"29","2015-07-28",16.5
"30","2015-07-29",16.15
"31","2015-07-30",15.42
"32","2015-07-31",15.68
"33","2015-08-03",17.129999
"34","2015-08-04",16.1
"35","2015-08-05",16.42
"36","2015-08-06",16.299999
"37","2015-08-07",16.379999
"38","2015-08-10",16.809999
"39","2015-08-11",16.42
"40","2015-08-12",15.73
"41","2015-08-13",15.84
"42","2015-08-14",14.9
"43","2015-08-17",15.15
"44","2015-08-18",15.41
"45","2015-08-19",15.47
"46","2015-08-20",15.27
"47","2015-08-21",15.54
"48","2015-08-24",15.01
"49","2015-08-25",15.08
"50","2015-08-26",15.29
"51","2015-08-27",15.02
"52","2015-08-28",14.55
"53","2015-08-31",14.13
"54","2015-09-01",13.93
"55","2015-09-02",15.14
"56","2015-09-03",15.21
"57","2015-09-04",15.58
"58","2015-09-08",16.559999
"59","2015-09-09",16.559999
"60","2015-09-10",16.76
"61","2015-09-11",17.07
"62","2015-09-14",17.459999
"63","2015-09-15",18.9
"64","2015-09-16",18.67
"65","2015-09-17",18.99
"66","2015-09-18",18.42
"67","2015-09-21",17.59
"68","2015-09-22",17.049999
"69","2015-09-23",17.84
"70","2015-09-24",17.99
"71","2015-09-25",17
"72","2015-09-28",16.9
"73","2015-09-29",16.059999
"74","2015-09-30",16.200001
"75","2015-10-01",15.7
"76","2015-10-02",15.65
"77","2015-10-05",16.18
"78","2015-10-06",15.98
"79","2015-10-07",16.549999
"80","2015-10-08",16.33
"81","2015-10-09",16.16
"82","2015-10-12",15.6
"83","2015-10-13",15.51
"84","2015-10-14",15.53
"85","2015-10-15",16.139999
"86","2015-10-16",15.62
"87","2015-10-19",15.76
"88","2015-10-20",15.52
"89","2015-10-21",15.65
"90","2015-10-22",15.54
"91","2015-10-23",15.88
"92","2015-10-26",15.43
"93","2015-10-27",15.13
"94","2015-10-28",15.57
"95","2015-10-29",15.27
"96","2015-10-30",15.08
"97","2015-11-02",15.24
"98","2015-11-03",14.95
"99","2015-11-04",15.08
"100","2015-11-05",15.15
"101","2015-11-06",15.83
"102","2015-11-09",15.47
"103","2015-11-10",15.28
"104","2015-11-11",15.15
"105","2015-11-12",15.01
"106","2015-11-13",14.82
"107","2015-11-16",14.82
"108","2015-11-17",14.91
"109","2015-11-18",14.66
"110","2015-11-19",14.86
"111","2015-11-20",14.73
"112","2015-11-23",15.26
"113","2015-11-24",15.3
"114","2015-11-25",15.96
"115","2015-11-27",16.32
"116","2015-11-30",16.48
"117","2015-12-01",16.110001
"118","2015-12-02",15.86
"119","2015-12-03",15.81
"120","2015-12-04",16.049999
"121","2015-12-07",16.120001
"122","2015-12-08",16.219999
"123","2015-12-09",16.01
"124","2015-12-10",16.200001
"125","2015-12-11",16.059999
"126","2015-12-14",15.97
"127","2015-12-15",16.15
"128","2015-12-16",16.290001
"129","2015-12-17",16.32
"130","2015-12-18",16.110001
"131","2015-12-21",15.87
"132","2015-12-22",16.33
"133","2015-12-23",16.459999
"134","2015-12-24",16.93
"135","2015-12-28",16.59
"136","2015-12-29",16.790001
"137","2015-12-30",17.01
"138","2015-12-31",17.18
"139","2016-01-04",16.709999
"140","2016-01-05",16.360001
"141","2016-01-06",16.379999
"142","2016-01-07",15.8
"143","2016-01-08",15.1
"144","2016-01-11",14.4
"145","2016-01-12",14.66
"146","2016-01-13",14.04
"147","2016-01-14",14.41
"148","2016-01-15",14.39
"149","2016-01-19",14.14
"150","2016-01-20",14.56
"151","2016-01-21",14.12
"152","2016-01-22",14.22
"153","2016-01-25",13.94
"154","2016-01-26",14.1
"155","2016-01-27",14.19
"156","2016-01-28",13.82
"157","2016-01-29",14.46
"158","2016-02-01",14.48
"159","2016-02-02",14.01
"160","2016-02-03",13.98
"161","2016-02-04",14.17
"162","2016-02-05",13.67
"163","2016-02-08",13.22
"164","2016-02-09",12.41
"165","2016-02-10",12.47
"166","2016-02-11",12.18
"167","2016-02-12",12.34
"168","2016-02-16",12.11
"169","2016-02-17",12.52
"170","2016-02-18",12.25
"171","2016-02-19",12.77
"172","2016-02-22",12.59
"173","2016-02-23",12.06
"174","2016-02-24",12.43
"175","2016-02-25",12.77
"176","2016-02-26",13.07
"177","2016-02-29",12.6
"178","2016-03-01",12.93
"179","2016-03-02",12.91
"180","2016-03-03",13.06
"181","2016-03-04",14.03
"182","2016-03-07",14.7
"183","2016-03-08",14.21
"184","2016-03-09",13.7
"185","2016-03-10",13.73
"186","2016-03-11",14.49
"187","2016-03-14",14.52
"188","2016-03-15",13.7
"189","2016-03-16",13.26
"190","2016-03-17",13.87
"191","2016-03-18",14.46
"192","2016-03-21",14.78
"193","2016-03-22",14.47
"194","2016-03-23",14.23
"195","2016-03-24",14.08
"196","2016-03-28",14.21
"197","2016-03-29",14.77
"198","2016-03-30",14.61
"199","2016-03-31",14.64
"200","2016-04-01",14.49
"201","2016-04-04",14.25
"202","2016-04-05",14.34
"203","2016-04-06",14.39
"204","2016-04-07",14.22
"205","2016-04-08",14.1
"206","2016-04-11",13.99
"207","2016-04-12",14.17
"208","2016-04-13",14.45
"209","2016-04-14",14.18
"210","2016-04-15",14.21
"211","2016-04-18",14.64
"212","2016-04-19",14.22
"213","2016-04-20",14.37
"214","2016-04-21",14.54
"215","2016-04-22",14.36
"216","2016-04-25",14.56
"217","2016-04-26",14.78
"218","2016-04-27",14.93
"219","2016-04-28",14.82
"220","2016-04-29",14.92
"221","2016-05-02",14.9
"222","2016-05-03",14.76
"223","2016-05-04",14.31
"224","2016-05-05",14.01
"225","2016-05-06",14.02
"226","2016-05-09",13.99
"227","2016-05-10",14.13
"228","2016-05-11",13.79
"229","2016-05-12",13.15
"230","2016-05-13",12.01
"231","2016-05-16",10.61
"232","2016-05-17",10.45
"233","2016-05-18",10.39
"234","2016-05-19",10.2
"235","2016-05-20",10.35
"236","2016-05-23",9.95
"237","2016-05-24",10
"238","2016-05-25",10.11
"239","2016-05-26",10.39
"240","2016-05-27",10
"241","2016-05-31",9.98
"242","2016-06-01",10.09
"243","2016-06-02",10.36
"244","2016-06-03",10
"245","2016-06-06",9.99
"246","2016-06-07",9.99
"247","2016-06-08",10
"248","2016-06-09",9.93
"249","2016-06-10",9.6
"250","2016-06-13",9.84
"251","2016-06-14",9.57
"252","2016-06-15",9.58
"253","2016-06-16",9.6
"254","2016-06-17",9.59
"255","2016-06-20",9.49
"256","2016-06-21",9.5
"257","2016-06-22",9.54
"258","2016-06-23",9.97
"259","2016-06-24",9.75
"260","2016-06-27",9.99
"261","2016-06-28",10.05
"262","2016-06-29",10.43
"263","2016-06-30",10.48
"264","2016-07-01",11.06
"265","2016-07-05",12.14
"266","2016-07-06",11.56
"267","2016-07-07",10.92
"268","2016-07-08",11.14
"269","2016-07-11",10.82
"270","2016-07-12",11.12
"271","2016-07-13",10.87
"272","2016-07-14",10.65
"273","2016-07-15",10.19
"274","2016-07-18",10.63
"275","2016-07-19",10.3
"276","2016-07-20",10.25
"277","2016-07-21",10.25
"278","2016-07-22",10
"279","2016-07-25",9.82
"280","2016-07-26",9.41
"281","2016-07-27",9.4
"282","2016-07-28",9.61
"283","2016-07-29",9.62
"284","2016-08-01",9.75
"285","2016-08-02",9.82
"286","2016-08-03",9.86
"287","2016-08-04",9.9
"288","2016-08-05",9.84
"289","2016-08-08",9.75
"290","2016-08-09",9.75
"291","2016-08-10",10.22
"292","2016-08-11",10.53
"293","2016-08-12",10.39
"294","2016-08-15",10.53
"295","2016-08-16",10.51
"296","2016-08-17",10.1
"297","2016-08-18",10.47
"298","2016-08-19",11.17
"299","2016-08-22",11
"300","2016-08-23",11.04
"301","2016-08-24",10.39
"302","2016-08-25",10.48
"303","2016-08-26",10.11
"304","2016-08-29",10.1
"305","2016-08-30",10.47
"306","2016-08-31",10.39
"307","2016-09-01",10.36
"308","2016-09-02",10.62
"309","2016-09-06",10.41
"310","2016-09-07",10.67
"311","2016-09-08",10.5
"312","2016-09-09",10.6
"313","2016-09-12",10.31
"314","2016-09-13",10.1
"315","2016-09-14",9.81
"316","2016-09-15",9.99
"317","2016-09-16",9.96
"318","2016-09-19",10.05
"319","2016-09-20",10.29
"320","2016-09-21",10.19
"321","2016-09-22",10.44
"322","2016-09-23",10.35
"323","2016-09-26",10.11
"324","2016-09-27",10.07
"325","2016-09-28",10.08
"326","2016-09-29",10.01
"327","2016-09-30",10.11
"328","2016-10-03",10.55
"329","2016-10-04",10.33
"330","2016-10-05",10.75
"331","2016-10-06",10.53
