"","date","LHCG"
"1","2007-01-03",27.040001
"2","2007-01-04",27.16
"3","2007-01-05",27.26
"4","2007-01-08",26.66
"5","2007-01-09",25.280001
"6","2007-01-10",24.99
"7","2007-01-11",24.959999
"8","2007-01-12",25.559999
"9","2007-01-16",26.42
"10","2007-01-17",26.370001
"11","2007-01-18",25.870001
"12","2007-01-19",25.77
"13","2007-01-22",25.18
"14","2007-01-23",25.040001
"15","2007-01-24",24.870001
"16","2007-01-25",25.4
"17","2007-01-26",25.82
"18","2007-01-29",25.709999
"19","2007-01-30",25.98
"20","2007-01-31",26.030001
"21","2007-02-01",25.75
"22","2007-02-02",26.049999
"23","2007-02-05",25.5
"24","2007-02-06",25.99
"25","2007-02-07",26.700001
"26","2007-02-08",27.290001
"27","2007-02-09",26.459999
"28","2007-02-12",25.940001
"29","2007-02-13",26.719999
"30","2007-02-14",26.57
"31","2007-02-15",27.049999
"32","2007-02-16",27.860001
"33","2007-02-20",27.950001
"34","2007-02-21",28.15
"35","2007-02-22",28.16
"36","2007-02-23",28.059999
"37","2007-02-26",29.059999
"38","2007-02-27",27.76
"39","2007-02-28",28.68
"40","2007-03-01",30.43
"41","2007-03-02",31.700001
"42","2007-03-05",30.4
"43","2007-03-06",30.07
"44","2007-03-07",30.299999
"45","2007-03-08",30
"46","2007-03-09",29.51
"47","2007-03-12",29.5
"48","2007-03-13",29.16
"49","2007-03-14",28.85
"50","2007-03-15",29.049999
"51","2007-03-16",28.52
"52","2007-03-19",28.24
"53","2007-03-20",28.540001
"54","2007-03-21",29.1
"55","2007-03-22",30.209999
"56","2007-03-23",30.870001
"57","2007-03-26",32.5
"58","2007-03-27",32.529999
"59","2007-03-28",31.950001
"60","2007-03-29",31.98
"61","2007-03-30",32.43
"62","2007-04-02",32.919998
"63","2007-04-03",32.299999
"64","2007-04-04",32.150002
"65","2007-04-05",30.559999
"66","2007-04-09",28.559999
"67","2007-04-10",29.26
"68","2007-04-11",28.309999
"69","2007-04-12",28.99
"70","2007-04-13",28.299999
"71","2007-04-16",28.57
"72","2007-04-17",28.139999
"73","2007-04-18",26.940001
"74","2007-04-19",27.76
"75","2007-04-20",27.9
"76","2007-04-23",27.879999
"77","2007-04-24",27.780001
"78","2007-04-25",28.959999
"79","2007-04-26",28.16
"80","2007-04-27",27.540001
"81","2007-04-30",25.6
"82","2007-05-01",25.969999
"83","2007-05-02",27.290001
"84","2007-05-03",27.280001
"85","2007-05-04",27.09
"86","2007-05-07",28.709999
"87","2007-05-08",27.6
"88","2007-05-09",28.26
"89","2007-05-10",28.459999
"90","2007-05-11",28.889999
"91","2007-05-14",29.15
"92","2007-05-15",29.23
"93","2007-05-16",28.26
"94","2007-05-17",28.1
"95","2007-05-18",27.99
"96","2007-05-21",28.299999
"97","2007-05-22",29.209999
"98","2007-05-23",29.34
"99","2007-05-24",29.34
"100","2007-05-25",29
"101","2007-05-29",29.34
"102","2007-05-30",29.799999
"103","2007-05-31",29.360001
"104","2007-06-01",29.049999
"105","2007-06-04",29.02
"106","2007-06-05",28.27
"107","2007-06-06",28.23
"108","2007-06-07",28.01
"109","2007-06-08",28.040001
"110","2007-06-11",28.08
"111","2007-06-12",28.049999
"112","2007-06-13",27.76
"113","2007-06-14",27.139999
"114","2007-06-15",26.809999
"115","2007-06-18",27.07
"116","2007-06-19",26.120001
"117","2007-06-20",25.93
"118","2007-06-21",25.26
"119","2007-06-22",25.27
"120","2007-06-25",25.200001
