"","date","TGT"
"1","2007-01-03",57.18
"2","2007-01-04",57.59
"3","2007-01-05",57.27
"4","2007-01-08",57.349998
"5","2007-01-09",58.259998
"6","2007-01-10",58.310001
"7","2007-01-11",59.810001
"8","2007-01-12",60.310001
"9","2007-01-16",60.84
"10","2007-01-17",60.360001
"11","2007-01-18",61.509998
"12","2007-01-19",62.349998
"13","2007-01-22",61.5
"14","2007-01-23",61.43
"15","2007-01-24",61.48
"16","2007-01-25",60.68
"17","2007-01-26",60.189999
"18","2007-01-29",60.07
"19","2007-01-30",60.439999
"20","2007-01-31",61.360001
"21","2007-02-01",61.799999
"22","2007-02-02",62.029999
"23","2007-02-05",62.119999
"24","2007-02-06",62.709999
"25","2007-02-07",62.799999
"26","2007-02-08",62.259998
"27","2007-02-09",61.669998
"28","2007-02-12",61.799999
"29","2007-02-13",62.130001
"30","2007-02-14",62.439999
"31","2007-02-15",62.669998
"32","2007-02-16",62.91
"33","2007-02-20",64.32
"34","2007-02-21",63.610001
"35","2007-02-22",63.119999
"36","2007-02-23",63.099998
"37","2007-02-26",62.549999
"38","2007-02-27",59.400002
"39","2007-02-28",61.529999
"40","2007-03-01",60.900002
"41","2007-03-02",61.029999
"42","2007-03-05",59.790001
"43","2007-03-06",60.73
"44","2007-03-07",60.599998
"45","2007-03-08",61.689999
"46","2007-03-09",61.880001
"47","2007-03-12",62.23
"48","2007-03-13",60.470001
"49","2007-03-14",59.299999
"50","2007-03-15",59.580002
"51","2007-03-16",59.77
"52","2007-03-19",60.439999
"53","2007-03-20",61.139999
"54","2007-03-21",61.59
"55","2007-03-22",61.23
"56","2007-03-23",61.509998
"57","2007-03-26",61.560001
"58","2007-03-27",60.540001
"59","2007-03-28",59.950001
"60","2007-03-29",59.75
"61","2007-03-30",59.259998
"62","2007-04-02",59.93
"63","2007-04-03",60.82
"64","2007-04-04",60.59
"65","2007-04-05",61.110001
"66","2007-04-09",61.380001
"67","2007-04-10",60.560001
"68","2007-04-11",59.68
"69","2007-04-12",59.950001
"70","2007-04-13",59.650002
"71","2007-04-16",60.169998
"72","2007-04-17",60.610001
"73","2007-04-18",60.810001
"74","2007-04-19",61.259998
"75","2007-04-20",62.119999
"76","2007-04-23",61.43
"77","2007-04-24",60.330002
"78","2007-04-25",60.52
"79","2007-04-26",60.950001
"80","2007-04-27",60.77
"81","2007-04-30",59.369999
"82","2007-05-01",59.639999
"83","2007-05-02",58.950001
"84","2007-05-03",58.580002
"85","2007-05-04",58.98
"86","2007-05-07",59.349998
"87","2007-05-08",58.779999
"88","2007-05-09",59.16
"89","2007-05-10",58.720001
"90","2007-05-11",58.25
"91","2007-05-14",57.98
"92","2007-05-15",57.549999
"93","2007-05-16",57.310001
"94","2007-05-17",57.689999
"95","2007-05-18",58.150002
"96","2007-05-21",58.139999
"97","2007-05-22",58.040001
"98","2007-05-23",58.599998
"99","2007-05-24",60.16
"100","2007-05-25",60.759998
"101","2007-05-29",60.799999
"102","2007-05-30",61.080002
"103","2007-05-31",62.43
"104","2007-06-01",63.669998
"105","2007-06-04",63.849998
"106","2007-06-05",63.959999
"107","2007-06-06",64.099998
"108","2007-06-07",62.529999
"109","2007-06-08",63.369999
