"","date","ARVN"
"1","2018-09-27",16.049999
"2","2018-09-28",16.870001
"3","2018-10-01",16.01
"4","2018-10-02",14.81
"5","2018-10-03",15.65
"6","2018-10-04",15.4
"7","2018-10-05",15.01
"8","2018-10-08",14.87
"9","2018-10-09",14.79
"10","2018-10-10",14.44
"11","2018-10-11",13.7
"12","2018-10-12",14.45
"13","2018-10-15",15
"14","2018-10-16",15.45
"15","2018-10-17",15.75
"16","2018-10-18",15.45
"17","2018-10-19",15.56
"18","2018-10-22",14.79
"19","2018-10-23",14.29
"20","2018-10-24",14.93
"21","2018-10-25",16.110001
"22","2018-10-26",16.049999
"23","2018-10-29",16.889999
"24","2018-10-30",16.77
"25","2018-10-31",16.26
"26","2018-11-01",17.08
"27","2018-11-02",17.719999
"28","2018-11-05",18.15
"29","2018-11-06",18.26
"30","2018-11-07",18.559999
"31","2018-11-08",18.559999
"32","2018-11-09",18.4
"33","2018-11-12",16.26
"34","2018-11-13",17.059999
"35","2018-11-14",16.440001
"36","2018-11-15",15.66
"37","2018-11-16",16.43
"38","2018-11-19",17.209999
"39","2018-11-20",17.639999
"40","2018-11-21",16.959999
"41","2018-11-23",17.629999
"42","2018-11-26",18.35
"43","2018-11-27",17.25
"44","2018-11-28",18.07
"45","2018-11-29",16.9
"46","2018-11-30",16.91
"47","2018-12-03",15.29
"48","2018-12-04",17
"49","2018-12-06",15.79
"50","2018-12-07",16.59
"51","2018-12-10",17.049999
"52","2018-12-11",16.82
"53","2018-12-12",15.81
"54","2018-12-13",15.99
"55","2018-12-14",14.2
"56","2018-12-17",15.38
"57","2018-12-18",15.43
"58","2018-12-19",16.24
"59","2018-12-20",14.25
"60","2018-12-21",12.47
"61","2018-12-24",11.19
"62","2018-12-26",13.4
"63","2018-12-27",12.53
"64","2018-12-28",13.16
"65","2018-12-31",12.85
"66","2019-01-02",13.81
"67","2019-01-03",13.55
"68","2019-01-04",14.41
"69","2019-01-07",15.3
"70","2019-01-08",15.13
"71","2019-01-09",16.209999
"72","2019-01-10",16.27
"73","2019-01-11",16.469999
"74","2019-01-14",16.26
