"","date","SMAR"
"1","2018-04-27",19.5
"2","2018-04-30",19.299999
"3","2018-05-01",19.85
"4","2018-05-02",19.51
"5","2018-05-03",19.440001
"6","2018-05-04",18.879999
"7","2018-05-07",19.6
"8","2018-05-08",20.73
"9","2018-05-09",21.35
"10","2018-05-10",20.75
"11","2018-05-11",20.51
"12","2018-05-14",20.74
"13","2018-05-15",20.6
"14","2018-05-16",20
"15","2018-05-17",19.459999
"16","2018-05-18",19.889999
"17","2018-05-21",20.030001
"18","2018-05-22",20.25
"19","2018-05-23",20.26
"20","2018-05-24",22.23
"21","2018-05-25",22.530001
"22","2018-05-29",22.780001
"23","2018-05-30",22.870001
"24","2018-05-31",24.92
"25","2018-06-01",26.27
"26","2018-06-04",26.540001
"27","2018-06-05",28.950001
"28","2018-06-06",28.75
"29","2018-06-07",28.450001
"30","2018-06-08",27.65
"31","2018-06-11",27.110001
"32","2018-06-12",26.48
"33","2018-06-13",27.110001
"34","2018-06-14",28.43
"35","2018-06-15",30.129999
"36","2018-06-18",32.209999
"37","2018-06-19",28.91
"38","2018-06-20",27.07
"39","2018-06-21",26.52
"40","2018-06-22",24.309999
"41","2018-06-25",26.92
"42","2018-06-26",26.719999
"43","2018-06-27",25.040001
"44","2018-06-28",24.41
"45","2018-06-29",25.969999
"46","2018-07-02",24.360001
"47","2018-07-03",25.299999
"48","2018-07-05",24.610001
"49","2018-07-06",24.040001
"50","2018-07-09",23.360001
"51","2018-07-10",23.049999
"52","2018-07-11",23.629999
"53","2018-07-12",25.139999
"54","2018-07-13",25
"55","2018-07-16",23.75
"56","2018-07-17",23.25
"57","2018-07-18",24.49
"58","2018-07-19",23.76
"59","2018-07-20",22.76
"60","2018-07-23",23.5
"61","2018-07-24",22.9
"62","2018-07-25",22.790001
"63","2018-07-26",22.93
"64","2018-07-27",21.92
"65","2018-07-30",20.76
"66","2018-07-31",21.5
"67","2018-08-01",21.09
"68","2018-08-02",23.4
"69","2018-08-03",23.549999
"70","2018-08-06",24.5
"71","2018-08-07",25
"72","2018-08-08",24.33
"73","2018-08-09",26.219999
"74","2018-08-10",25.870001
"75","2018-08-13",27
"76","2018-08-14",26.93
"77","2018-08-15",25.559999
"78","2018-08-16",26
"79","2018-08-17",25.209999
"80","2018-08-20",26.49
"81","2018-08-21",28.049999
"82","2018-08-22",28.690001
"83","2018-08-23",28.950001
"84","2018-08-24",29.43
"85","2018-08-27",29.92
"86","2018-08-28",29.27
"87","2018-08-29",29.59
"88","2018-08-30",29.5
"89","2018-08-31",29.73
"90","2018-09-04",31.700001
