"","date","JCAP"
"1","2015-03-27",20.309999
"2","2015-03-30",20.75
"3","2015-03-31",20.75
"4","2015-04-01",21.469999
"5","2015-04-02",21.440001
"6","2015-04-06",21.200001
"7","2015-04-07",21.24
"8","2015-04-08",21.129999
"9","2015-04-09",21.25
"10","2015-04-10",21.299999
"11","2015-04-13",21.25
"12","2015-04-14",21.110001
"13","2015-04-15",21.059999
"14","2015-04-16",21.110001
"15","2015-04-17",21.290001
"16","2015-04-20",21.299999
"17","2015-04-21",21.610001
"18","2015-04-22",21.530001
"19","2015-04-23",21.374001
"20","2015-04-24",21.690001
"21","2015-04-27",21.25
"22","2015-04-28",21.27
"23","2015-04-29",21.440001
"24","2015-04-30",21.530001
"25","2015-05-01",21.17
"26","2015-05-04",20.9
"27","2015-05-05",20.700001
"28","2015-05-06",21.07
"29","2015-05-07",21.139999
"30","2015-05-08",21.440001
"31","2015-05-11",21.549999
"32","2015-05-12",21.57
"33","2015-05-13",21.42
"34","2015-05-14",21.32
"35","2015-05-15",21.290001
"36","2015-05-18",21.25
"37","2015-05-19",21.219999
"38","2015-05-20",21.26
"39","2015-05-21",21.219999
"40","2015-05-22",21.040001
"41","2015-05-26",20.65
"42","2015-05-27",20.25
"43","2015-05-28",20.26
"44","2015-05-29",20.440001
"45","2015-06-01",20.610001
"46","2015-06-02",20.66
"47","2015-06-03",20.690001
"48","2015-06-04",21.16
"49","2015-06-05",21.09
"50","2015-06-08",20.99
"51","2015-06-09",20.82
"52","2015-06-10",20.809999
"53","2015-06-11",20.59
"54","2015-06-12",20.67
"55","2015-06-15",20.74
"56","2015-06-16",20.18
"57","2015-06-17",20.1
"58","2015-06-18",20.34
"59","2015-06-19",20.32
"60","2015-06-22",20.700001
"61","2015-06-23",20.49
"62","2015-06-24",20.360001
"63","2015-06-25",20.51
"64","2015-06-26",20.6
"65","2015-06-29",20.200001
"66","2015-06-30",20.32
"67","2015-07-01",20.389999
"68","2015-07-02",20.299999
"69","2015-07-06",20.23
"70","2015-07-07",19.4
"71","2015-07-08",19.59
"72","2015-07-09",19.889999
"73","2015-07-10",19.719999
"74","2015-07-13",19.110001
"75","2015-07-14",19.25
"76","2015-07-15",18.620001
"77","2015-07-16",18.82
"78","2015-07-17",18.530001
"79","2015-07-20",17.610001
"80","2015-07-21",18.030001
"81","2015-07-22",18.299999
"82","2015-07-23",18.57
"83","2015-07-24",19.25
"84","2015-07-27",19.299999
"85","2015-07-28",18.780001
"86","2015-07-29",18.610001
"87","2015-07-30",18.5
"88","2015-07-31",18.83
"89","2015-08-03",18.66
"90","2015-08-04",18.68
"91","2015-08-05",18.75
"92","2015-08-06",18.629999
"93","2015-08-07",18.809999
"94","2015-08-10",18.5
"95","2015-08-11",18.120001
"96","2015-08-12",17.790001
"97","2015-08-13",17.879999
"98","2015-08-14",18
"99","2015-08-17",18.68
"100","2015-08-18",18.709999
"101","2015-08-19",18.85
"102","2015-08-20",18.16
"103","2015-08-21",17.940001
"104","2015-08-24",17.129999
"105","2015-08-25",17.16
"106","2015-08-26",17.280001
"107","2015-08-27",17.690001
"108","2015-08-28",18.42
"109","2015-08-31",18.950001
"110","2015-09-01",19.25
"111","2015-09-02",19
"112","2015-09-03",18.25
"113","2015-09-04",18.049999
"114","2015-09-08",17.51
"115","2015-09-09",17.219999
"116","2015-09-10",16.719999
"117","2015-09-11",17.57
"118","2015-09-14",17.66
"119","2015-09-15",17.51
"120","2015-09-16",17.74
"121","2015-09-17",18.049999
"122","2015-09-18",18.879999
"123","2015-09-21",18
"124","2015-09-22",18.190001
"125","2015-09-23",18.530001
"126","2015-09-24",18.5
"127","2015-09-25",18.450001
"128","2015-09-28",18.549999
"129","2015-09-29",17.691999
"130","2015-09-30",17.459999
"131","2015-10-01",18.4
"132","2015-10-02",18.549999
"133","2015-10-05",18.52
"134","2015-10-06",18.889999
"135","2015-10-07",18.91
"136","2015-10-08",18.58
"137","2015-10-09",18.790001
"138","2015-10-12",18.83
"139","2015-10-13",18.219999
"140","2015-10-14",18.309999
"141","2015-10-15",18.98
"142","2015-10-16",19
"143","2015-10-19",18.9
"144","2015-10-20",18.9
"145","2015-10-21",18.67
