"","date","SA"
"1","2007-01-03",12.9
"2","2007-01-04",12.62
"3","2007-01-05",12.27
"4","2007-01-08",12.35
"5","2007-01-09",11.97
"6","2007-01-10",11.68
"7","2007-01-11",11.92
"8","2007-01-12",12.39
"9","2007-01-16",11.71
"10","2007-01-17",12.09
"11","2007-01-18",11.61
"12","2007-01-19",11.74
"13","2007-01-22",11.75
"14","2007-01-23",12.18
"15","2007-01-24",12.03
"16","2007-01-25",12.04
"17","2007-01-26",11.78
"18","2007-01-29",11.24
"19","2007-01-30",11.88
"20","2007-01-31",12.19
"21","2007-02-01",12.6
"22","2007-02-02",12.62
"23","2007-02-05",13.06
"24","2007-02-06",13.15
"25","2007-02-07",13.08
"26","2007-02-08",13.07
"27","2007-02-09",13.22
"28","2007-02-12",13.08
"29","2007-02-13",13.15
"30","2007-02-14",13.3
"31","2007-02-15",13.54
"32","2007-02-16",13.4
"33","2007-02-20",15
"34","2007-02-21",15.7
"35","2007-02-22",16.200001
"36","2007-02-23",16.08
"37","2007-02-26",16.73
"38","2007-02-27",16.32
"39","2007-02-28",16.07
"40","2007-03-01",15.1
"41","2007-03-02",14.62
"42","2007-03-05",13.98
"43","2007-03-06",14.51
"44","2007-03-07",14.79
"45","2007-03-08",14.83
"46","2007-03-09",14.8
"47","2007-03-12",14.55
"48","2007-03-13",13.91
"49","2007-03-14",14.2
"50","2007-03-15",14.61
"51","2007-03-16",14.72
"52","2007-03-19",14.45
"53","2007-03-20",14.49
"54","2007-03-21",14.94
"55","2007-03-22",14.98
"56","2007-03-23",14.8
"57","2007-03-26",14.99
"58","2007-03-27",14.83
"59","2007-03-28",14.73
"60","2007-03-29",14.63
"61","2007-03-30",14.6
"62","2007-04-02",14.54
"63","2007-04-03",14.4
"64","2007-04-04",15.07
"65","2007-04-05",15.31
"66","2007-04-09",15.57
"67","2007-04-10",15.61
"68","2007-04-11",15.51
"69","2007-04-12",16.639999
"70","2007-04-13",17.780001
"71","2007-04-16",18.190001
"72","2007-04-17",17.690001
"73","2007-04-18",17.799999
"74","2007-04-19",17.200001
"75","2007-04-20",17.639999
"76","2007-04-23",17.67
"77","2007-04-24",16.73
"78","2007-04-25",16.9
"79","2007-04-26",16.139999
"80","2007-04-27",16.530001
"81","2007-04-30",16.299999
"82","2007-05-01",15.85
"83","2007-05-02",16
"84","2007-05-03",16.190001
"85","2007-05-04",16
"86","2007-05-07",16.49
"87","2007-05-08",16.25
"88","2007-05-09",15.9
"89","2007-05-10",14.96
"90","2007-05-11",15.66
"91","2007-05-14",15.49
"92","2007-05-15",15.65
"93","2007-05-16",14.81
"94","2007-05-17",14.95
"95","2007-05-18",15.75
"96","2007-05-21",15.85
"97","2007-05-22",15.35
"98","2007-05-23",15.47
"99","2007-05-24",14.79
"100","2007-05-25",15.09
"101","2007-05-29",14.8
"102","2007-05-30",14.66
"103","2007-05-31",15.54
"104","2007-06-01",16.1
"105","2007-06-04",16.18
"106","2007-06-05",15.99
"107","2007-06-06",16.1
"108","2007-06-07",16.530001
"109","2007-06-08",16.32
"110","2007-06-11",16.450001
"111","2007-06-12",16.049999
"112","2007-06-13",16.74
"113","2007-06-14",17.48
"114","2007-06-15",17.85
"115","2007-06-18",19.49
"116","2007-06-19",19.450001
"117","2007-06-20",18.9
"118","2007-06-21",18.700001
"119","2007-06-22",18.469999
"120","2007-06-25",18.23
"121","2007-06-26",18.299999
"122","2007-06-27",18.83
"123","2007-06-28",19.75
"124","2007-06-29",20.51
"125","2007-07-02",21.709999
"126","2007-07-03",21.77
"127","2007-07-05",23.1
"128","2007-07-06",25.190001
"129","2007-07-09",26.42
"130","2007-07-10",23.700001
"131","2007-07-11",24.75
"132","2007-07-12",25.9
"133","2007-07-13",25.34
"134","2007-07-16",25.34
"135","2007-07-17",23.75
"136","2007-07-18",25.92
"137","2007-07-19",26.34
"138","2007-07-20",25.799999
"139","2007-07-23",28.24
"140","2007-07-24",27.209999
"141","2007-07-25",27.950001
"142","2007-07-26",27.25
"143","2007-07-27",26.9
"144","2007-07-30",28.809999
"145","2007-07-31",29.209999
"146","2007-08-01",28.620001
"147","2007-08-02",29.200001
"148","2007-08-03",29.030001
"149","2007-08-06",28.1
"150","2007-08-07",28.040001
"151","2007-08-08",29.450001
"152","2007-08-09",29.09
"153","2007-08-10",30.870001
"154","2007-08-13",32.799999
"155","2007-08-14",31.690001
"156","2007-08-15",28.799999
"157","2007-08-16",25.35
"158","2007-08-17",25.219999
"159","2007-08-20",24.73
"160","2007-08-21",25.18
"161","2007-08-22",23.73
"162","2007-08-23",21.75
"163","2007-08-24",23.549999
"164","2007-08-27",22.43
"165","2007-08-28",21.6
"166","2007-08-29",22.040001
"167","2007-08-30",22.389999
"168","2007-08-31",23.42
"169","2007-09-04",25.85
"170","2007-09-05",25.110001
