"","date","CYCC"
"1","2007-01-03",11692.799805
"2","2007-01-04",11692.799805
"3","2007-01-05",11558.400391
"4","2007-01-08",13977.599609
"5","2007-01-09",13305.599609
"6","2007-01-10",13406.400391
"7","2007-01-11",13356
"8","2007-01-12",13440
"9","2007-01-16",13574.400391
"10","2007-01-17",13927.200195
"11","2007-01-18",14212.799805
"12","2007-01-19",14280
"13","2007-01-22",14313.599609
"14","2007-01-23",14280
"15","2007-01-24",13893.599609
"16","2007-01-25",13372.799805
"17","2007-01-26",13120.799805
"18","2007-01-29",13137.599609
"19","2007-01-30",12717.599609
"20","2007-01-31",13020
"21","2007-02-01",13440
"22","2007-02-02",13490.400391
"23","2007-02-05",12986.400391
"24","2007-02-06",13406.400391
"25","2007-02-07",13188
"26","2007-02-08",14128.799805
"27","2007-02-09",13641.599609
"28","2007-02-12",14280
"29","2007-02-13",13608
"30","2007-02-14",13776
"31","2007-02-15",13826.400391
"32","2007-02-16",13759.200195
"33","2007-02-20",13372.799805
"34","2007-02-21",13574.400391
"35","2007-02-22",13440
"36","2007-02-23",13272
"37","2007-02-26",13104
"38","2007-02-27",13020
"39","2007-02-28",13440
"40","2007-03-01",13440
"41","2007-03-02",13255.200195
"42","2007-03-05",12768
"43","2007-03-06",12499.200195
"44","2007-03-07",12700.799805
"45","2007-03-08",12684
"46","2007-03-09",13104
"47","2007-03-12",13524
"48","2007-03-13",13776
"49","2007-03-14",13843.200195
"50","2007-03-15",13423.200195
"51","2007-03-16",13440
"52","2007-03-19",13490.400391
"53","2007-03-20",13440
"54","2007-03-21",13440
"55","2007-03-22",13238.400391
"56","2007-03-23",13003.200195
"57","2007-03-26",12583.200195
"58","2007-03-27",12600
"59","2007-03-28",12684
"60","2007-03-29",12902.400391
"61","2007-03-30",13020
"62","2007-04-02",13020
"63","2007-04-03",13087.200195
"64","2007-04-04",13020
"65","2007-04-05",13020
"66","2007-04-09",12969.599609
"67","2007-04-10",13104
"68","2007-04-11",12684
"69","2007-04-12",12583.200195
"70","2007-04-13",13003.200195
"71","2007-04-16",12936
"72","2007-04-17",12751.200195
"73","2007-04-18",12751.200195
"74","2007-04-19",12684
"75","2007-04-20",12936
"76","2007-04-23",13087.200195
"77","2007-04-24",12852
"78","2007-04-25",13305.599609
"79","2007-04-26",13423.200195
"80","2007-04-27",13339.200195
"81","2007-04-30",13104
"82","2007-05-01",13104
"83","2007-05-02",13440
"84","2007-05-03",13221.599609
"85","2007-05-04",13104
"86","2007-05-07",13070.400391
"87","2007-05-08",12885.599609
"88","2007-05-09",12852
"89","2007-05-10",12936
"90","2007-05-11",12936
"91","2007-05-14",12751.200195
"92","2007-05-15",12600
"93","2007-05-16",12432
"94","2007-05-17",12364.799805
"95","2007-05-18",12852
"96","2007-05-21",13204.799805
"97","2007-05-22",13322.400391
"98","2007-05-23",13356
"99","2007-05-24",13440
"100","2007-05-25",13389.599609
"101","2007-05-29",13624.799805
"102","2007-05-30",13776
"103","2007-05-31",14246.400391
