"","date","BQ"
"1","2020-09-30",7.2
"2","2020-10-01",6.44
"3","2020-10-02",6.21
"4","2020-10-05",6.2
"5","2020-10-06",6.13
"6","2020-10-07",6.13
"7","2020-10-08",6.26
"8","2020-10-09",6.81
"9","2020-10-12",6.75
"10","2020-10-13",6.14
"11","2020-10-14",6.63
"12","2020-10-15",6.3
"13","2020-10-16",6.17
"14","2020-10-19",6.13
"15","2020-10-20",6.01
"16","2020-10-21",5.86
"17","2020-10-22",5.84
"18","2020-10-23",5.69
"19","2020-10-26",5.31
"20","2020-10-27",5.1
"21","2020-10-28",4.49
"22","2020-10-29",4.4
"23","2020-10-30",4.28
"24","2020-11-02",4.6
"25","2020-11-03",4.6
"26","2020-11-04",4.14
"27","2020-11-05",4.316
"28","2020-11-06",4.35
"29","2020-11-09",4.64
"30","2020-11-10",5.39
"31","2020-11-11",5.44
"32","2020-11-12",5.32
"33","2020-11-13",5.46
"34","2020-11-16",5.25
"35","2020-11-17",5.14
"36","2020-11-18",5.13
"37","2020-11-19",4.9
"38","2020-11-20",4.96
"39","2020-11-23",4.78
"40","2020-11-24",4.96
"41","2020-11-25",6.08
"42","2020-11-27",6.61
